Using device: cuda
EP   1 | time 31.18s | reward -30108.1 | evac  53 | died 427 | eps 0.935 | lr 0.00028 | loss  0.433
EP   2 | time 11.84s | reward -28339.6 | evac  58 | died 422 | eps 0.876 | lr 0.00026 | loss  0.134
EP   3 | time 10.69s | reward -20722.4 | evac  83 | died 397 | eps 0.827 | lr 0.00024 | loss  0.168
EP   4 | time 11.10s | reward -21414.6 | evac 113 | died 367 | eps 0.780 | lr 0.00023 | loss  0.309
EP   5 | time 11.71s | reward -25650.3 | evac 131 | died 349 | eps 0.732 | lr 0.00021 | loss  0.547
EP   6 | time 11.82s | reward -25368.5 | evac 149 | died 331 | eps 0.686 | lr 0.00020 | loss  0.939
EP   7 | time 11.43s | reward -22191.8 | evac 156 | died 324 | eps 0.646 | lr 0.00019 | loss  1.411
EP   8 | time 11.02s | reward -19721.3 | evac 177 | died 303 | eps 0.609 | lr 0.00017 | loss  1.862
EP   9 | time 11.87s | reward -24428.5 | evac 202 | died 278 | eps 0.572 | lr 0.00016 | loss  2.576
EP  10 | time 10.58s | reward -18498.5 | evac 249 | died 231 | eps 0.540 | lr 0.00015 | loss  3.802
EP  11 | time 10.53s | reward -21480.2 | evac 264 | died 216 | eps 0.507 | lr 0.00014 | loss  5.021
EP  12 | time 12.38s | reward -23232.0 | evac 268 | died 212 | eps 0.475 | lr 0.00013 | loss  6.682
EP  13 | time 11.69s | reward -21413.3 | evac 295 | died 185 | eps 0.446 | lr 0.00012 | loss  7.672
EP  14 | time 11.44s | reward -21222.4 | evac 296 | died 184 | eps 0.419 | lr 0.00012 | loss  9.612
EP  15 | time 10.91s | reward -20089.4 | evac 315 | died 165 | eps 0.394 | lr 0.00011 | loss 11.585
EP  16 | time 11.62s | reward -22312.0 | evac 320 | died 160 | eps 0.369 | lr 0.00010 | loss 13.622
EP  17 | time 10.00s | reward -15788.7 | evac 312 | died 168 | eps 0.349 | lr 0.00009 | loss 15.047
EP  18 | time 10.50s | reward -20430.4 | evac 313 | died 167 | eps 0.328 | lr 0.00009 | loss 17.233
EP  19 | time 10.61s | reward -18028.3 | evac 342 | died 138 | eps 0.309 | lr 0.00008 | loss 21.787
EP  20 | time 10.43s | reward -19338.2 | evac 367 | died 113 | eps 0.291 | lr 0.00008 | loss 24.449
EP  21 | time 10.94s | reward -22755.0 | evac 345 | died 135 | eps 0.272 | lr 0.00007 | loss 26.009
EP  22 | time 11.92s | reward -20929.1 | evac 345 | died 135 | eps 0.255 | lr 0.00007 | loss 31.341
EP  23 | time 11.42s | reward -20382.9 | evac 345 | died 135 | eps 0.240 | lr 0.00006 | loss 38.521
EP  24 | time 10.86s | reward -17745.9 | evac 363 | died 117 | eps 0.226 | lr 0.00006 | loss 41.658
EP  25 | time 10.95s | reward -16469.0 | evac 381 | died  99 | eps 0.213 | lr 0.00005 | loss 46.801
EP  26 | time 10.14s | reward -18255.6 | evac 374 | died 106 | eps 0.201 | lr 0.00005 | loss 47.230
EP  27 | time 10.55s | reward -19294.3 | evac 371 | died 109 | eps 0.189 | lr 0.00005 | loss 48.795
EP  28 | time 10.35s | reward -18751.2 | evac 369 | died 111 | eps 0.178 | lr 0.00004 | loss 49.637
EP  29 | time 10.00s | reward -18735.6 | evac 373 | died 107 | eps 0.167 | lr 0.00004 | loss 56.286
EP  30 | time 10.77s | reward -18494.4 | evac 374 | died 106 | eps 0.157 | lr 0.00004 | loss 57.144
EP  31 | time 11.85s | reward -20179.2 | evac 375 | died 105 | eps 0.147 | lr 0.00004 | loss 61.557
EP  32 | time 10.28s | reward -17432.6 | evac 378 | died 102 | eps 0.139 | lr 0.00003 | loss 62.060
EP  33 | time  9.95s | reward -19087.3 | evac 380 | died 100 | eps 0.130 | lr 0.00003 | loss 66.147
EP  34 | time 10.27s | reward -18835.4 | evac 388 | died  92 | eps 0.123 | lr 0.00003 | loss 65.698
EP  35 | time 10.72s | reward -22996.7 | evac 389 | died  91 | eps 0.115 | lr 0.00003 | loss 67.085
EP  36 | time 10.25s | reward -16942.6 | evac 388 | died  92 | eps 0.108 | lr 0.00003 | loss 66.900
EP  37 | time 10.58s | reward -19161.1 | evac 384 | died  96 | eps 0.102 | lr 0.00002 | loss 71.989
