Using device: cuda
EP   1 | time 32.53s | reward -18354.5 | evac  96 | died 384 | eps 0.944 | lr 0.00028 | loss  0.202
EP   2 | time  9.08s | reward  -4389.6 | evac 159 | died 321 | eps 0.895 | lr 0.00026 | loss  0.065
EP   3 | time 10.41s | reward  -2216.1 | evac 143 | died 337 | eps 0.843 | lr 0.00024 | loss  0.121
EP   4 | time  9.87s | reward   6034.6 | evac 201 | died 279 | eps 0.799 | lr 0.00023 | loss  0.220
EP   5 | time  9.60s | reward   8924.9 | evac 279 | died 201 | eps 0.758 | lr 0.00021 | loss  0.368
EP   6 | time  9.76s | reward  19938.2 | evac 350 | died 130 | eps 0.717 | lr 0.00020 | loss  0.536
EP   7 | time 10.49s | reward  22438.1 | evac 344 | died 136 | eps 0.678 | lr 0.00019 | loss  0.773
EP   8 | time  9.73s | reward  18758.8 | evac 277 | died 203 | eps 0.643 | lr 0.00017 | loss  1.043
EP   9 | time 10.47s | reward  28402.4 | evac 383 | died  97 | eps 0.607 | lr 0.00016 | loss  1.281
EP  10 | time 10.28s | reward  30024.8 | evac 347 | died 133 | eps 0.574 | lr 0.00015 | loss  1.539
EP  11 | time 10.31s | reward  27627.1 | evac 337 | died 143 | eps 0.545 | lr 0.00014 | loss  1.986
EP  12 | time 10.20s | reward  31769.6 | evac 385 | died  95 | eps 0.515 | lr 0.00013 | loss  2.374
EP  13 | time 10.84s | reward  33613.0 | evac 341 | died 139 | eps 0.486 | lr 0.00012 | loss  2.772
EP  14 | time 10.35s | reward  32260.9 | evac 343 | died 137 | eps 0.460 | lr 0.00012 | loss  3.078
EP  15 | time 11.17s | reward  39372.4 | evac 351 | died 129 | eps 0.434 | lr 0.00011 | loss  3.619
EP  16 | time 11.48s | reward  30261.0 | evac 301 | died 179 | eps 0.410 | lr 0.00010 | loss  3.984
EP  17 | time 11.29s | reward  34283.0 | evac 336 | died 144 | eps 0.388 | lr 0.00009 | loss  4.907
EP  18 | time 11.43s | reward  39376.0 | evac 365 | died 115 | eps 0.366 | lr 0.00009 | loss  4.935
EP  19 | time 11.16s | reward  36552.3 | evac 339 | died 141 | eps 0.345 | lr 0.00008 | loss  4.595
EP  20 | time 10.58s | reward  35461.3 | evac 378 | died 102 | eps 0.326 | lr 0.00008 | loss  5.090
EP  21 | time 10.70s | reward  28928.0 | evac 329 | died 151 | eps 0.310 | lr 0.00007 | loss  5.225
EP  22 | time 10.97s | reward  33240.5 | evac 328 | died 152 | eps 0.294 | lr 0.00007 | loss  4.268
EP  23 | time 10.79s | reward  34858.1 | evac 344 | died 136 | eps 0.279 | lr 0.00006 | loss  4.810
EP  24 | time 11.14s | reward  36333.8 | evac 349 | died 131 | eps 0.264 | lr 0.00006 | loss  4.712
EP  25 | time 11.48s | reward  35393.4 | evac 342 | died 138 | eps 0.249 | lr 0.00005 | loss  4.644
EP  26 | time 12.14s | reward  41572.7 | evac 377 | died 103 | eps 0.235 | lr 0.00005 | loss  4.989
EP  27 | time 11.97s | reward  41709.5 | evac 365 | died 115 | eps 0.222 | lr 0.00005 | loss  5.054
EP  28 | time 11.62s | reward  36683.2 | evac 364 | died 116 | eps 0.210 | lr 0.00004 | loss  4.798
EP  29 | time 13.72s | reward  27643.4 | evac 327 | died 153 | eps 0.199 | lr 0.00004 | loss  4.889
EP  30 | time 14.21s | reward  36568.7 | evac 340 | died 140 | eps 0.188 | lr 0.00004 | loss  4.939
EP  31 | time 13.05s | reward  38131.2 | evac 339 | died 141 | eps 0.178 | lr 0.00004 | loss  5.156
EP  32 | time 13.95s | reward  40398.6 | evac 350 | died 130 | eps 0.167 | lr 0.00003 | loss  4.863
EP  33 | time 12.38s | reward  35339.6 | evac 352 | died 128 | eps 0.159 | lr 0.00003 | loss  4.743
EP  34 | time 14.19s | reward  35548.2 | evac 334 | died 146 | eps 0.150 | lr 0.00003 | loss  4.570
EP  35 | time 13.42s | reward  38841.6 | evac 332 | died 148 | eps 0.142 | lr 0.00003 | loss  4.246
EP  36 | time 12.58s | reward  37264.0 | evac 346 | died 134 | eps 0.135 | lr 0.00003 | loss  4.035
EP  37 | time 12.85s | reward  38728.9 | evac 350 | died 130 | eps 0.128 | lr 0.00002 | loss  4.247
EP  38 | time 12.47s | reward  31958.6 | evac 337 | died 143 | eps 0.121 | lr 0.00002 | loss  4.279
EP  39 | time 12.74s | reward  35759.4 | evac 349 | died 131 | eps 0.115 | lr 0.00002 | loss  4.155
EP  40 | time 12.86s | reward  36488.7 | evac 349 | died 131 | eps 0.109 | lr 0.00002 | loss  4.046
EP  41 | time 13.26s | reward  40242.3 | evac 369 | died 111 | eps 0.103 | lr 0.00002 | loss  4.051
EP  42 | time 13.27s | reward  38627.5 | evac 345 | died 135 | eps 0.097 | lr 0.00002 | loss  3.977
EP  43 | time 10.90s | reward  32634.1 | evac 333 | died 147 | eps 0.092 | lr 0.00002 | loss  3.887
EP  44 | time 10.79s | reward  46349.5 | evac 358 | died 122 | eps 0.086 | lr 0.00002 | loss  3.283
EP  45 | time 10.68s | reward  34408.3 | evac 341 | died 139 | eps 0.082 | lr 0.00001 | loss  3.244
EP  46 | time 10.10s | reward  30173.8 | evac 323 | died 157 | eps 0.077 | lr 0.00001 | loss  2.943
EP  47 | time 11.00s | reward  35803.9 | evac 344 | died 136 | eps 0.073 | lr 0.00001 | loss  3.132
EP  48 | time 10.12s | reward  32029.5 | evac 339 | died 141 | eps 0.069 | lr 0.00001 | loss  2.835
EP  49 | time 10.07s | reward  33439.2 | evac 333 | died 147 | eps 0.065 | lr 0.00001 | loss  3.337
EP  50 | time  9.84s | reward  36451.8 | evac 349 | died 131 | eps 0.062 | lr 0.00001 | loss  3.055
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_20_DuelingDDQNPrioritized.csv
