Using device: cuda
EP   1 | time 22.90s | reward -16890.5 | evac  85 | died 395 | eps 0.950 | lr 0.00028 | loss  0.027
EP   2 | time 14.76s | reward -15834.8 | evac 114 | died 366 | eps 0.900 | lr 0.00026 | loss  0.033
EP   3 | time 15.20s | reward -13151.0 | evac 124 | died 356 | eps 0.855 | lr 0.00024 | loss  0.043
EP   4 | time 14.32s | reward  -8234.9 | evac 143 | died 337 | eps 0.814 | lr 0.00023 | loss  0.080
EP   5 | time 15.45s | reward  -9215.4 | evac 168 | died 312 | eps 0.771 | lr 0.00021 | loss  0.102
EP   6 | time 15.99s | reward  -8616.6 | evac 162 | died 318 | eps 0.729 | lr 0.00020 | loss  0.127
EP   7 | time 17.10s | reward  -3046.8 | evac 232 | died 248 | eps 0.686 | lr 0.00019 | loss  0.155
EP   8 | time 16.94s | reward    469.4 | evac 234 | died 246 | eps 0.649 | lr 0.00017 | loss  0.206
EP   9 | time 14.55s | reward   2597.2 | evac 228 | died 252 | eps 0.615 | lr 0.00016 | loss  0.246
EP  10 | time 16.12s | reward   3246.8 | evac 262 | died 218 | eps 0.582 | lr 0.00015 | loss  0.279
EP  11 | time 17.61s | reward  12863.1 | evac 314 | died 166 | eps 0.548 | lr 0.00014 | loss  0.309
EP  12 | time 17.75s | reward  17767.1 | evac 307 | died 173 | eps 0.516 | lr 0.00013 | loss  0.341
EP  13 | time 15.62s | reward  14091.8 | evac 301 | died 179 | eps 0.489 | lr 0.00012 | loss  0.367
EP  14 | time 15.55s | reward  24056.3 | evac 340 | died 140 | eps 0.463 | lr 0.00012 | loss  0.403
EP  15 | time 16.42s | reward  25109.8 | evac 338 | died 142 | eps 0.437 | lr 0.00011 | loss  0.427
EP  16 | time 15.05s | reward  21861.0 | evac 310 | died 170 | eps 0.414 | lr 0.00010 | loss  0.450
EP  17 | time 16.44s | reward  23994.0 | evac 322 | died 158 | eps 0.392 | lr 0.00009 | loss  0.491
EP  18 | time 15.61s | reward  27584.0 | evac 342 | died 138 | eps 0.370 | lr 0.00009 | loss  0.534
EP  19 | time 16.23s | reward  28509.1 | evac 356 | died 124 | eps 0.350 | lr 0.00008 | loss  0.561
EP  20 | time 14.90s | reward  27355.2 | evac 349 | died 131 | eps 0.332 | lr 0.00008 | loss  0.567
EP  21 | time 17.66s | reward  34614.9 | evac 356 | died 124 | eps 0.312 | lr 0.00007 | loss  0.595
EP  22 | time 15.45s | reward  32404.2 | evac 349 | died 131 | eps 0.295 | lr 0.00007 | loss  0.627
EP  23 | time 16.41s | reward  32550.8 | evac 351 | died 129 | eps 0.279 | lr 0.00006 | loss  0.687
EP  24 | time 15.18s | reward  33777.2 | evac 361 | died 119 | eps 0.264 | lr 0.00006 | loss  0.685
EP  25 | time 14.85s | reward  30948.4 | evac 346 | died 134 | eps 0.250 | lr 0.00005 | loss  0.675
EP  26 | time 17.09s | reward  39414.2 | evac 371 | died 109 | eps 0.236 | lr 0.00005 | loss  0.728
EP  27 | time 17.41s | reward  41112.5 | evac 374 | died 106 | eps 0.222 | lr 0.00005 | loss  0.707
EP  28 | time 16.21s | reward  42519.7 | evac 384 | died  96 | eps 0.210 | lr 0.00004 | loss  0.747
EP  29 | time 16.17s | reward  41447.6 | evac 378 | died 102 | eps 0.198 | lr 0.00004 | loss  0.776
EP  30 | time 14.69s | reward  37736.9 | evac 376 | died 104 | eps 0.187 | lr 0.00004 | loss  0.805
EP  31 | time 16.43s | reward  43404.2 | evac 384 | died  96 | eps 0.176 | lr 0.00004 | loss  0.846
EP  32 | time 15.66s | reward  44315.2 | evac 400 | died  80 | eps 0.166 | lr 0.00003 | loss  0.829
EP  33 | time 15.47s | reward  46149.8 | evac 409 | died  71 | eps 0.157 | lr 0.00003 | loss  0.862
EP  34 | time 10.57s | reward  46944.9 | evac 396 | died  84 | eps 0.147 | lr 0.00003 | loss  0.851
EP  35 | time 10.22s | reward  54799.9 | evac 405 | died  75 | eps 0.138 | lr 0.00003 | loss  0.886
EP  36 | time  9.66s | reward  48980.4 | evac 387 | died  93 | eps 0.130 | lr 0.00003 | loss  0.926
EP  37 | time  9.00s | reward  46219.1 | evac 397 | died  83 | eps 0.123 | lr 0.00002 | loss  0.963
EP  38 | time  9.70s | reward  50950.2 | evac 401 | died  79 | eps 0.116 | lr 0.00002 | loss  1.025
EP  39 | time  9.37s | reward  50885.6 | evac 397 | died  83 | eps 0.109 | lr 0.00002 | loss  1.065
EP  40 | time  8.20s | reward  41669.0 | evac 395 | died  85 | eps 0.104 | lr 0.00002 | loss  1.114
EP  41 | time  9.05s | reward  48101.2 | evac 395 | died  85 | eps 0.098 | lr 0.00002 | loss  1.149
EP  42 | time  9.84s | reward  49936.5 | evac 375 | died 105 | eps 0.093 | lr 0.00002 | loss  1.149
EP  43 | time  9.16s | reward  44253.2 | evac 372 | died 108 | eps 0.087 | lr 0.00002 | loss  1.162
EP  44 | time  9.61s | reward  43979.2 | evac 365 | died 115 | eps 0.083 | lr 0.00002 | loss  1.199
EP  45 | time  7.39s | reward  38431.5 | evac 356 | died 124 | eps 0.079 | lr 0.00001 | loss  1.236
EP  46 | time  7.69s | reward  40923.3 | evac 356 | died 124 | eps 0.074 | lr 0.00001 | loss  1.231
EP  47 | time  8.15s | reward  46626.6 | evac 360 | died 120 | eps 0.070 | lr 0.00001 | loss  1.287
EP  48 | time  7.45s | reward  43382.0 | evac 359 | died 121 | eps 0.066 | lr 0.00001 | loss  1.249
EP  49 | time  7.52s | reward  43953.5 | evac 361 | died 119 | eps 0.063 | lr 0.00001 | loss  1.298
EP  50 | time  8.03s | reward  46460.4 | evac 363 | died 117 | eps 0.059 | lr 0.00001 | loss  1.293
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_10_QRDQN.csv
