Using device: cuda
EP   1 | time 30.37s | reward -13179.6 | evac 143 | died 337 | eps 0.947 | lr 0.00028 | loss  0.295
EP   2 | time  8.43s | reward -10778.9 | evac  92 | died 388 | eps 0.901 | lr 0.00026 | loss  0.078
EP   3 | time  9.36s | reward  -1823.5 | evac 167 | died 313 | eps 0.853 | lr 0.00024 | loss  0.110
EP   4 | time  9.46s | reward   6024.2 | evac 200 | died 280 | eps 0.809 | lr 0.00023 | loss  0.154
EP   5 | time  9.62s | reward   2074.9 | evac 175 | died 305 | eps 0.765 | lr 0.00021 | loss  0.280
EP   6 | time  9.88s | reward   7535.5 | evac 231 | died 249 | eps 0.724 | lr 0.00020 | loss  0.353
EP   7 | time  9.46s | reward   8132.1 | evac 191 | died 289 | eps 0.688 | lr 0.00019 | loss  0.495
EP   8 | time  9.72s | reward  11922.2 | evac 206 | died 274 | eps 0.650 | lr 0.00017 | loss  0.569
EP   9 | time  9.67s | reward  15910.2 | evac 267 | died 213 | eps 0.616 | lr 0.00016 | loss  0.718
EP  10 | time 10.43s | reward  18890.9 | evac 243 | died 237 | eps 0.582 | lr 0.00015 | loss  0.929
EP  11 | time  9.78s | reward  23714.2 | evac 293 | died 187 | eps 0.552 | lr 0.00014 | loss  1.072
EP  12 | time  9.85s | reward  27545.0 | evac 341 | died 139 | eps 0.522 | lr 0.00013 | loss  1.323
EP  13 | time 10.99s | reward  30794.8 | evac 315 | died 165 | eps 0.493 | lr 0.00012 | loss  1.346
EP  14 | time 10.90s | reward  31586.8 | evac 344 | died 136 | eps 0.466 | lr 0.00012 | loss  1.344
EP  15 | time 10.63s | reward  34467.2 | evac 366 | died 114 | eps 0.441 | lr 0.00011 | loss  1.691
EP  16 | time 10.34s | reward  29424.6 | evac 366 | died 114 | eps 0.418 | lr 0.00010 | loss  1.657
EP  17 | time 10.62s | reward  31789.0 | evac 359 | died 121 | eps 0.396 | lr 0.00009 | loss  1.766
EP  18 | time 10.25s | reward  25070.1 | evac 327 | died 153 | eps 0.376 | lr 0.00009 | loss  1.905
EP  19 | time 10.68s | reward  28190.2 | evac 370 | died 110 | eps 0.355 | lr 0.00008 | loss  2.028
EP  20 | time  9.45s | reward  27058.7 | evac 332 | died 148 | eps 0.339 | lr 0.00008 | loss  2.107
EP  21 | time 10.85s | reward  25802.5 | evac 326 | died 154 | eps 0.321 | lr 0.00007 | loss  2.235
EP  22 | time 12.18s | reward  30691.6 | evac 356 | died 124 | eps 0.303 | lr 0.00007 | loss  2.370
EP  23 | time 11.04s | reward  33760.5 | evac 340 | died 140 | eps 0.286 | lr 0.00006 | loss  2.296
EP  24 | time  9.89s | reward  30580.1 | evac 329 | died 151 | eps 0.272 | lr 0.00006 | loss  2.676
EP  25 | time 12.35s | reward  39938.4 | evac 377 | died 103 | eps 0.256 | lr 0.00005 | loss  2.479
EP  26 | time 12.35s | reward  36695.0 | evac 346 | died 134 | eps 0.242 | lr 0.00005 | loss  2.361
EP  27 | time 11.56s | reward  38244.9 | evac 365 | died 115 | eps 0.228 | lr 0.00005 | loss  2.177
EP  28 | time 10.90s | reward  34881.6 | evac 348 | died 132 | eps 0.217 | lr 0.00004 | loss  2.143
EP  29 | time 11.70s | reward  35582.2 | evac 332 | died 148 | eps 0.205 | lr 0.00004 | loss  2.368
EP  30 | time 12.08s | reward  33785.6 | evac 347 | died 133 | eps 0.194 | lr 0.00004 | loss  2.220
EP  31 | time 12.85s | reward  33792.3 | evac 332 | died 148 | eps 0.184 | lr 0.00004 | loss  2.266
EP  32 | time 13.36s | reward  33426.8 | evac 314 | died 166 | eps 0.173 | lr 0.00003 | loss  2.139
EP  33 | time 12.73s | reward  36983.4 | evac 335 | died 145 | eps 0.163 | lr 0.00003 | loss  1.910
EP  34 | time 12.32s | reward  35768.9 | evac 336 | died 144 | eps 0.155 | lr 0.00003 | loss  2.113
EP  35 | time 12.24s | reward  33096.3 | evac 342 | died 138 | eps 0.147 | lr 0.00003 | loss  2.081
EP  36 | time 12.73s | reward  33087.8 | evac 334 | died 146 | eps 0.139 | lr 0.00003 | loss  2.080
EP  37 | time 14.30s | reward  31779.8 | evac 318 | died 162 | eps 0.130 | lr 0.00002 | loss  2.060
EP  38 | time 12.08s | reward  31623.6 | evac 338 | died 142 | eps 0.124 | lr 0.00002 | loss  1.881
EP  39 | time 13.23s | reward  34892.5 | evac 348 | died 132 | eps 0.117 | lr 0.00002 | loss  1.686
EP  40 | time 13.52s | reward  35272.3 | evac 350 | died 130 | eps 0.111 | lr 0.00002 | loss  1.766
EP  41 | time 11.94s | reward  33198.3 | evac 353 | died 127 | eps 0.106 | lr 0.00002 | loss  1.722
EP  42 | time 11.22s | reward  37745.2 | evac 360 | died 120 | eps 0.100 | lr 0.00002 | loss  1.631
EP  43 | time 10.88s | reward  34542.0 | evac 358 | died 122 | eps 0.095 | lr 0.00002 | loss  1.650
EP  44 | time  9.94s | reward  39559.8 | evac 356 | died 124 | eps 0.090 | lr 0.00002 | loss  1.623
EP  45 | time  9.69s | reward  37290.1 | evac 363 | died 117 | eps 0.085 | lr 0.00001 | loss  1.558
EP  46 | time 10.57s | reward  35117.2 | evac 331 | died 149 | eps 0.081 | lr 0.00001 | loss  1.565
EP  47 | time  9.75s | reward  36801.3 | evac 350 | died 130 | eps 0.076 | lr 0.00001 | loss  1.572
EP  48 | time 10.27s | reward  34534.2 | evac 344 | died 136 | eps 0.072 | lr 0.00001 | loss  1.422
EP  49 | time 10.12s | reward  35581.6 | evac 339 | died 141 | eps 0.068 | lr 0.00001 | loss  1.376
EP  50 | time  9.89s | reward  37482.9 | evac 340 | died 140 | eps 0.065 | lr 0.00001 | loss  1.305
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_19_DuelingDDQNPrioritized.csv
