Using device: cuda
EP   1 | time 20.15s | reward -10453.4 | evac  76 | died 404 | eps 0.950 | lr 0.00028 | loss  0.302
EP   2 | time 10.46s | reward  -4673.6 | evac 106 | died 374 | eps 0.899 | lr 0.00026 | loss  0.064
EP   3 | time 10.62s | reward   2388.4 | evac 191 | died 289 | eps 0.851 | lr 0.00024 | loss  0.104
EP   4 | time 11.45s | reward  12306.7 | evac 329 | died 151 | eps 0.805 | lr 0.00023 | loss  0.185
EP   5 | time 10.88s | reward  15854.2 | evac 305 | died 175 | eps 0.763 | lr 0.00021 | loss  0.307
EP   6 | time 10.94s | reward  20277.7 | evac 313 | died 167 | eps 0.720 | lr 0.00020 | loss  0.406
EP   7 | time 11.59s | reward  19906.7 | evac 312 | died 168 | eps 0.682 | lr 0.00019 | loss  0.612
EP   8 | time 11.39s | reward  21224.9 | evac 295 | died 185 | eps 0.644 | lr 0.00017 | loss  0.869
EP   9 | time 10.83s | reward  26194.9 | evac 336 | died 144 | eps 0.610 | lr 0.00016 | loss  1.251
EP  10 | time 11.59s | reward  22459.7 | evac 295 | died 185 | eps 0.579 | lr 0.00015 | loss  1.652
EP  11 | time 12.00s | reward  30997.4 | evac 331 | died 149 | eps 0.547 | lr 0.00014 | loss  1.911
EP  12 | time 11.32s | reward  29218.6 | evac 318 | died 162 | eps 0.517 | lr 0.00013 | loss  1.915
EP  13 | time 11.71s | reward  33300.9 | evac 314 | died 166 | eps 0.488 | lr 0.00012 | loss  2.500
EP  14 | time 11.05s | reward  30529.8 | evac 343 | died 137 | eps 0.464 | lr 0.00012 | loss  2.745
EP  15 | time 13.16s | reward  39116.3 | evac 355 | died 125 | eps 0.437 | lr 0.00011 | loss  3.113
EP  16 | time 12.41s | reward  41833.3 | evac 361 | died 119 | eps 0.412 | lr 0.00010 | loss  3.814
EP  17 | time 12.17s | reward  39389.5 | evac 364 | died 116 | eps 0.390 | lr 0.00009 | loss  3.596
EP  18 | time 11.82s | reward  41183.2 | evac 384 | died  96 | eps 0.370 | lr 0.00009 | loss  4.778
EP  19 | time 11.53s | reward  39249.6 | evac 390 | died  90 | eps 0.351 | lr 0.00008 | loss  5.344
EP  20 | time 12.35s | reward  45332.9 | evac 396 | died  84 | eps 0.331 | lr 0.00008 | loss  5.466
EP  21 | time 12.63s | reward  42509.5 | evac 386 | died  94 | eps 0.313 | lr 0.00007 | loss  5.997
EP  22 | time 11.88s | reward  37086.2 | evac 377 | died 103 | eps 0.297 | lr 0.00007 | loss  5.647
EP  23 | time 13.98s | reward  48157.4 | evac 429 | died  51 | eps 0.279 | lr 0.00006 | loss  6.113
EP  24 | time 13.26s | reward  41823.3 | evac 401 | died  79 | eps 0.263 | lr 0.00006 | loss  6.286
EP  25 | time 12.39s | reward  44810.5 | evac 413 | died  67 | eps 0.249 | lr 0.00005 | loss  6.351
EP  26 | time 12.31s | reward  41116.7 | evac 388 | died  92 | eps 0.236 | lr 0.00005 | loss  5.861
EP  27 | time 13.39s | reward  41831.8 | evac 381 | died  99 | eps 0.223 | lr 0.00005 | loss  5.525
EP  28 | time 13.86s | reward  41182.3 | evac 395 | died  85 | eps 0.211 | lr 0.00004 | loss  5.371
EP  29 | time 14.19s | reward  39516.3 | evac 392 | died  88 | eps 0.200 | lr 0.00004 | loss  5.457
EP  30 | time 14.14s | reward  50519.1 | evac 400 | died  80 | eps 0.188 | lr 0.00004 | loss  4.687
EP  31 | time 13.70s | reward  45471.9 | evac 400 | died  80 | eps 0.178 | lr 0.00004 | loss  5.089
EP  32 | time 14.44s | reward  53670.5 | evac 422 | died  58 | eps 0.167 | lr 0.00003 | loss  4.756
EP  33 | time 14.45s | reward  48833.1 | evac 415 | died  65 | eps 0.158 | lr 0.00003 | loss  4.694
EP  34 | time 14.00s | reward  44907.6 | evac 410 | died  70 | eps 0.150 | lr 0.00003 | loss  4.977
EP  35 | time 14.61s | reward  47889.3 | evac 415 | died  65 | eps 0.142 | lr 0.00003 | loss  4.342
EP  36 | time 14.74s | reward  50849.3 | evac 413 | died  67 | eps 0.134 | lr 0.00003 | loss  4.805
EP  37 | time 15.40s | reward  51174.4 | evac 411 | died  69 | eps 0.126 | lr 0.00002 | loss  4.360
EP  38 | time 14.20s | reward  51389.5 | evac 433 | died  47 | eps 0.119 | lr 0.00002 | loss  4.042
EP  39 | time 14.82s | reward  48641.0 | evac 409 | died  71 | eps 0.113 | lr 0.00002 | loss  4.180
EP  40 | time 16.03s | reward  49305.4 | evac 404 | died  76 | eps 0.106 | lr 0.00002 | loss  4.290
EP  41 | time 14.77s | reward  46729.4 | evac 389 | died  91 | eps 0.101 | lr 0.00002 | loss  3.888
EP  42 | time 11.67s | reward  46752.8 | evac 416 | died  64 | eps 0.095 | lr 0.00002 | loss  3.428
EP  43 | time 11.87s | reward  55414.6 | evac 412 | died  68 | eps 0.090 | lr 0.00002 | loss  3.647
EP  44 | time 11.14s | reward  48983.0 | evac 424 | died  56 | eps 0.085 | lr 0.00002 | loss  3.911
EP  45 | time 11.36s | reward  48088.3 | evac 409 | died  71 | eps 0.081 | lr 0.00001 | loss  3.527
EP  46 | time 11.64s | reward  47528.0 | evac 399 | died  81 | eps 0.076 | lr 0.00001 | loss  3.362
EP  47 | time 11.61s | reward  47338.2 | evac 401 | died  79 | eps 0.072 | lr 0.00001 | loss  3.726
EP  48 | time 12.18s | reward  49817.5 | evac 417 | died  63 | eps 0.068 | lr 0.00001 | loss  3.398
EP  49 | time 12.38s | reward  48046.2 | evac 409 | died  71 | eps 0.065 | lr 0.00001 | loss  3.365
EP  50 | time 11.95s | reward  50817.9 | evac 414 | died  66 | eps 0.061 | lr 0.00001 | loss  3.325
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_10_DuelingDDQNPrioritized.csv
