Using device: cuda
EP   1 | time 20.46s | reward -16945.6 | evac  69 | died 411 | eps 0.952 | lr 0.00028 | loss  0.023
EP   2 | time 14.70s | reward -17375.1 | evac  88 | died 392 | eps 0.904 | lr 0.00026 | loss  0.030
EP   3 | time 15.09s | reward -15331.6 | evac  99 | died 381 | eps 0.859 | lr 0.00024 | loss  0.039
EP   4 | time 14.82s | reward -14403.3 | evac 120 | died 360 | eps 0.815 | lr 0.00023 | loss  0.059
EP   5 | time 16.03s | reward -12624.6 | evac 134 | died 346 | eps 0.773 | lr 0.00021 | loss  0.099
EP   6 | time 16.90s | reward  -8938.4 | evac 165 | died 315 | eps 0.731 | lr 0.00020 | loss  0.129
EP   7 | time 15.38s | reward  -7243.0 | evac 156 | died 324 | eps 0.694 | lr 0.00019 | loss  0.169
EP   8 | time 16.13s | reward  -2432.2 | evac 205 | died 275 | eps 0.658 | lr 0.00017 | loss  0.259
EP   9 | time 15.81s | reward  -1922.4 | evac 227 | died 253 | eps 0.623 | lr 0.00016 | loss  0.329
EP  10 | time 15.56s | reward   1605.3 | evac 248 | died 232 | eps 0.590 | lr 0.00015 | loss  0.373
EP  11 | time 15.58s | reward   2805.1 | evac 255 | died 225 | eps 0.560 | lr 0.00014 | loss  0.430
EP  12 | time 16.82s | reward   3856.9 | evac 278 | died 202 | eps 0.530 | lr 0.00013 | loss  0.442
EP  13 | time 15.51s | reward   2468.6 | evac 244 | died 236 | eps 0.503 | lr 0.00012 | loss  0.500
EP  14 | time 15.78s | reward   3859.1 | evac 272 | died 208 | eps 0.476 | lr 0.00012 | loss  0.521
EP  15 | time 16.71s | reward  10041.5 | evac 293 | died 187 | eps 0.450 | lr 0.00011 | loss  0.557
EP  16 | time 16.58s | reward  10006.8 | evac 279 | died 201 | eps 0.425 | lr 0.00010 | loss  0.587
EP  17 | time 16.87s | reward  16505.4 | evac 334 | died 146 | eps 0.401 | lr 0.00009 | loss  0.629
EP  18 | time 16.68s | reward   9329.0 | evac 282 | died 198 | eps 0.380 | lr 0.00009 | loss  0.625
EP  19 | time 15.87s | reward  17769.1 | evac 327 | died 153 | eps 0.359 | lr 0.00008 | loss  0.656
EP  20 | time 16.77s | reward  21860.3 | evac 341 | died 139 | eps 0.339 | lr 0.00008 | loss  0.672
EP  21 | time 14.99s | reward  20601.3 | evac 344 | died 136 | eps 0.321 | lr 0.00007 | loss  0.693
EP  22 | time 16.18s | reward  19564.4 | evac 329 | died 151 | eps 0.303 | lr 0.00007 | loss  0.699
EP  23 | time 15.98s | reward  25246.7 | evac 350 | died 130 | eps 0.287 | lr 0.00006 | loss  0.701
EP  24 | time 15.12s | reward  22006.5 | evac 342 | died 138 | eps 0.272 | lr 0.00006 | loss  0.720
