Using device: cuda
EP   1 | time 30.86s | reward -17073.7 | evac  76 | died 404 | eps 0.951 | lr 0.00028 | loss  0.021
EP   2 | time 13.86s | reward -18819.7 | evac  94 | died 386 | eps 0.900 | lr 0.00026 | loss  0.021
EP   3 | time 15.46s | reward -20363.2 | evac 106 | died 374 | eps 0.847 | lr 0.00024 | loss  0.033
EP   4 | time 13.27s | reward -12914.6 | evac 107 | died 373 | eps 0.805 | lr 0.00023 | loss  0.054
EP   5 | time 14.53s | reward -11347.8 | evac 149 | died 331 | eps 0.761 | lr 0.00021 | loss  0.091
EP   6 | time 14.02s | reward  -7968.1 | evac 157 | died 323 | eps 0.721 | lr 0.00020 | loss  0.131
EP   7 | time 14.08s | reward  -5134.2 | evac 192 | died 288 | eps 0.684 | lr 0.00019 | loss  0.196
EP   8 | time 15.56s | reward  -3209.6 | evac 223 | died 257 | eps 0.644 | lr 0.00017 | loss  0.222
EP   9 | time 14.37s | reward    435.5 | evac 218 | died 262 | eps 0.610 | lr 0.00016 | loss  0.278
EP  10 | time 14.80s | reward   5976.8 | evac 270 | died 210 | eps 0.578 | lr 0.00015 | loss  0.343
EP  11 | time 14.65s | reward   6530.2 | evac 257 | died 223 | eps 0.546 | lr 0.00014 | loss  0.400
EP  12 | time 12.93s | reward   6900.2 | evac 270 | died 210 | eps 0.520 | lr 0.00013 | loss  0.441
EP  13 | time 13.11s | reward  11525.6 | evac 298 | died 182 | eps 0.495 | lr 0.00012 | loss  0.488
EP  14 | time 14.24s | reward  14224.5 | evac 293 | died 187 | eps 0.468 | lr 0.00012 | loss  0.552
EP  15 | time 14.86s | reward  15917.3 | evac 314 | died 166 | eps 0.442 | lr 0.00011 | loss  0.604
EP  16 | time 13.83s | reward  17953.3 | evac 308 | died 172 | eps 0.419 | lr 0.00010 | loss  0.630
EP  17 | time 14.52s | reward  20832.7 | evac 310 | died 170 | eps 0.397 | lr 0.00009 | loss  0.659
EP  18 | time 13.80s | reward  19233.0 | evac 307 | died 173 | eps 0.376 | lr 0.00009 | loss  0.697
EP  19 | time 14.78s | reward  25295.3 | evac 333 | died 147 | eps 0.355 | lr 0.00008 | loss  0.734
EP  20 | time 13.54s | reward  23754.8 | evac 330 | died 150 | eps 0.337 | lr 0.00008 | loss  0.742
