Using device: cuda
EP   1 | time 23.22s | reward -13607.1 | evac  68 | died 412 | eps  nan | lr 0.00028 | loss  1.005
EP   2 | time 12.22s | reward  36163.1 | evac 339 | died 141 | eps  nan | lr 0.00026 | loss  0.624
EP   3 | time 11.93s | reward  45932.9 | evac 381 | died  99 | eps  nan | lr 0.00024 | loss  0.487
EP   4 | time 12.33s | reward  41222.5 | evac 373 | died 107 | eps  nan | lr 0.00023 | loss  0.912
EP   5 | time 12.65s | reward  46986.3 | evac 343 | died 137 | eps  nan | lr 0.00021 | loss  1.211
EP   6 | time 11.96s | reward  58684.8 | evac 386 | died  94 | eps  nan | lr 0.00020 | loss  2.123
EP   7 | time 11.46s | reward  59587.7 | evac 423 | died  57 | eps  nan | lr 0.00019 | loss  2.812
EP   8 | time 12.51s | reward  60557.5 | evac 404 | died  76 | eps  nan | lr 0.00017 | loss  2.706
EP   9 | time 11.61s | reward  60293.8 | evac 432 | died  48 | eps  nan | lr 0.00016 | loss  3.130
EP  10 | time 11.30s | reward  65071.7 | evac 425 | died  55 | eps  nan | lr 0.00015 | loss  3.085
EP  11 | time 12.40s | reward  74094.6 | evac 434 | died  46 | eps  nan | lr 0.00014 | loss  3.603
EP  12 | time 10.78s | reward  52284.8 | evac 418 | died  62 | eps  nan | lr 0.00013 | loss  4.134
EP  13 | time 12.37s | reward  72210.4 | evac 430 | died  50 | eps  nan | lr 0.00012 | loss  4.677
EP  14 | time 11.84s | reward  64772.0 | evac 429 | died  51 | eps  nan | lr 0.00012 | loss  4.744
EP  15 | time 11.61s | reward  54867.8 | evac 403 | died  77 | eps  nan | lr 0.00011 | loss  5.369
EP  16 | time 10.48s | reward  49882.9 | evac 411 | died  69 | eps  nan | lr 0.00010 | loss  6.012
EP  17 | time 12.13s | reward  68260.6 | evac 441 | died  39 | eps  nan | lr 0.00009 | loss  5.888
EP  18 | time 12.06s | reward  62145.3 | evac 430 | died  50 | eps  nan | lr 0.00009 | loss  6.281
EP  19 | time 12.00s | reward  61051.5 | evac 422 | died  58 | eps  nan | lr 0.00008 | loss  6.069
EP  20 | time 11.02s | reward  50596.6 | evac 421 | died  59 | eps  nan | lr 0.00008 | loss  5.920
EP  21 | time 12.11s | reward  60849.2 | evac 429 | died  51 | eps  nan | lr 0.00007 | loss  6.055
EP  22 | time 11.96s | reward  57337.9 | evac 422 | died  58 | eps  nan | lr 0.00007 | loss  6.135
EP  23 | time 10.82s | reward  52889.0 | evac 424 | died  56 | eps  nan | lr 0.00006 | loss  6.398
EP  24 | time 11.46s | reward  58870.9 | evac 430 | died  50 | eps  nan | lr 0.00006 | loss  6.595
EP  25 | time 12.64s | reward  59448.0 | evac 407 | died  73 | eps  nan | lr 0.00005 | loss  6.954
EP  26 | time 10.74s | reward  57437.0 | evac 438 | died  42 | eps  nan | lr 0.00005 | loss  6.491
EP  27 | time 10.81s | reward  52960.9 | evac 427 | died  53 | eps  nan | lr 0.00005 | loss  6.752
EP  28 | time 13.00s | reward  69178.6 | evac 450 | died  30 | eps  nan | lr 0.00004 | loss  6.746
EP  29 | time 11.95s | reward  69328.2 | evac 449 | died  31 | eps  nan | lr 0.00004 | loss  6.844
EP  30 | time 11.30s | reward  60521.9 | evac 427 | died  53 | eps  nan | lr 0.00004 | loss  6.782
EP  31 | time 11.12s | reward  56149.2 | evac 435 | died  45 | eps  nan | lr 0.00004 | loss  6.688
EP  32 | time 11.73s | reward  58746.7 | evac 448 | died  32 | eps  nan | lr 0.00003 | loss  6.750
EP  33 | time 11.91s | reward  63756.3 | evac 443 | died  37 | eps  nan | lr 0.00003 | loss  6.885
EP  34 | time 11.76s | reward  61860.0 | evac 438 | died  42 | eps  nan | lr 0.00003 | loss  6.760
EP  35 | time 12.21s | reward  65845.9 | evac 438 | died  42 | eps  nan | lr 0.00003 | loss  7.008
EP  36 | time 11.63s | reward  53918.8 | evac 429 | died  51 | eps  nan | lr 0.00003 | loss  6.618
EP  37 | time 13.09s | reward  64002.5 | evac 426 | died  54 | eps  nan | lr 0.00002 | loss  6.446
EP  38 | time 11.47s | reward  58676.2 | evac 432 | died  48 | eps  nan | lr 0.00002 | loss  6.367
EP  39 | time 11.77s | reward  58304.6 | evac 429 | died  51 | eps  nan | lr 0.00002 | loss  6.296
EP  40 | time 11.56s | reward  57760.5 | evac 437 | died  43 | eps  nan | lr 0.00002 | loss  6.165
EP  41 | time 11.29s | reward  55072.0 | evac 433 | died  47 | eps  nan | lr 0.00002 | loss  5.824
EP  42 | time 11.27s | reward  57117.7 | evac 433 | died  47 | eps  nan | lr 0.00002 | loss  6.277
EP  43 | time 11.87s | reward  57524.3 | evac 425 | died  55 | eps  nan | lr 0.00002 | loss  6.420
