Using device: cuda
EP   1 | time 25.53s | reward -12342.9 | evac  76 | died 404 | eps 0.946 | lr 0.00028 | loss  0.247
EP   2 | time 10.62s | reward  -3592.3 | evac 135 | died 345 | eps 0.895 | lr 0.00026 | loss  0.084
EP   3 | time 11.78s | reward  -1013.0 | evac 192 | died 288 | eps 0.841 | lr 0.00024 | loss  0.111
EP   4 | time 11.46s | reward   7722.8 | evac 280 | died 200 | eps 0.795 | lr 0.00023 | loss  0.163
EP   5 | time 10.86s | reward   6449.0 | evac 234 | died 246 | eps 0.754 | lr 0.00021 | loss  0.230
EP   6 | time 12.04s | reward  16389.0 | evac 264 | died 216 | eps 0.708 | lr 0.00020 | loss  0.360
EP   7 | time 11.40s | reward   7223.3 | evac 213 | died 267 | eps 0.670 | lr 0.00019 | loss  0.598
EP   8 | time 11.89s | reward  12785.9 | evac 241 | died 239 | eps 0.633 | lr 0.00017 | loss  0.740
EP   9 | time 12.11s | reward   9881.3 | evac 217 | died 263 | eps 0.598 | lr 0.00016 | loss  0.836
EP  10 | time 11.86s | reward  16299.9 | evac 261 | died 219 | eps 0.565 | lr 0.00015 | loss  0.928
EP  11 | time 11.76s | reward  18410.1 | evac 275 | died 205 | eps 0.534 | lr 0.00014 | loss  0.941
EP  12 | time 11.95s | reward  19005.9 | evac 252 | died 228 | eps 0.504 | lr 0.00013 | loss  0.940
EP  13 | time 12.10s | reward  20684.8 | evac 288 | died 192 | eps 0.476 | lr 0.00012 | loss  1.119
EP  14 | time 12.07s | reward  22282.7 | evac 283 | died 197 | eps 0.449 | lr 0.00012 | loss  1.137
EP  15 | time 11.88s | reward  28620.0 | evac 309 | died 171 | eps 0.424 | lr 0.00011 | loss  1.290
EP  16 | time 12.04s | reward  28703.9 | evac 290 | died 190 | eps 0.401 | lr 0.00010 | loss  1.271
EP  17 | time 12.45s | reward  30343.2 | evac 293 | died 187 | eps 0.378 | lr 0.00009 | loss  1.315
EP  18 | time 12.31s | reward  32040.0 | evac 307 | died 173 | eps 0.357 | lr 0.00009 | loss  1.570
EP  19 | time 12.56s | reward  28158.1 | evac 302 | died 178 | eps 0.339 | lr 0.00008 | loss  1.640
EP  20 | time 12.10s | reward  32437.7 | evac 333 | died 147 | eps 0.321 | lr 0.00008 | loss  1.678
EP  21 | time 12.53s | reward  27239.1 | evac 297 | died 183 | eps 0.304 | lr 0.00007 | loss  1.689
EP  22 | time 13.30s | reward  29798.8 | evac 306 | died 174 | eps 0.287 | lr 0.00007 | loss  1.768
EP  23 | time 13.24s | reward  31196.0 | evac 306 | died 174 | eps 0.271 | lr 0.00006 | loss  1.997
EP  24 | time 13.22s | reward  37534.3 | evac 335 | died 145 | eps 0.256 | lr 0.00006 | loss  1.929
EP  25 | time 12.49s | reward  33246.2 | evac 324 | died 156 | eps 0.242 | lr 0.00005 | loss  1.973
EP  26 | time 14.45s | reward  36886.8 | evac 325 | died 155 | eps 0.227 | lr 0.00005 | loss  1.987
EP  27 | time 14.08s | reward  38062.2 | evac 336 | died 144 | eps 0.213 | lr 0.00005 | loss  1.889
EP  28 | time 13.35s | reward  34419.7 | evac 331 | died 149 | eps 0.201 | lr 0.00004 | loss  2.056
EP  29 | time 13.69s | reward  35540.2 | evac 336 | died 144 | eps 0.190 | lr 0.00004 | loss  1.941
EP  30 | time 13.94s | reward  35417.2 | evac 327 | died 153 | eps 0.179 | lr 0.00004 | loss  1.897
EP  31 | time 13.58s | reward  35220.3 | evac 333 | died 147 | eps 0.170 | lr 0.00004 | loss  1.855
EP  32 | time 15.87s | reward  44672.0 | evac 352 | died 128 | eps 0.159 | lr 0.00003 | loss  1.894
EP  33 | time 14.35s | reward  38176.8 | evac 340 | died 140 | eps 0.150 | lr 0.00003 | loss  1.900
EP  34 | time 14.17s | reward  35433.7 | evac 346 | died 134 | eps 0.142 | lr 0.00003 | loss  1.649
EP  35 | time 15.29s | reward  36221.4 | evac 351 | died 129 | eps 0.134 | lr 0.00003 | loss  1.777
EP  36 | time 15.22s | reward  31789.4 | evac 335 | died 145 | eps 0.127 | lr 0.00003 | loss  1.587
EP  37 | time 16.23s | reward  44305.6 | evac 363 | died 117 | eps 0.119 | lr 0.00002 | loss  1.504
EP  38 | time 16.80s | reward  40276.4 | evac 333 | died 147 | eps 0.111 | lr 0.00002 | loss  1.596
EP  39 | time 15.04s | reward  27748.8 | evac 335 | died 145 | eps 0.105 | lr 0.00002 | loss  1.525
EP  40 | time 15.31s | reward  35938.7 | evac 334 | died 146 | eps 0.099 | lr 0.00002 | loss  1.422
EP  41 | time 12.00s | reward  28330.9 | evac 328 | died 152 | eps 0.093 | lr 0.00002 | loss  1.379
EP  42 | time 11.41s | reward  33543.5 | evac 336 | died 144 | eps 0.088 | lr 0.00002 | loss  1.339
EP  43 | time 12.21s | reward  32701.4 | evac 326 | died 154 | eps 0.083 | lr 0.00002 | loss  1.395
EP  44 | time 11.95s | reward  30462.4 | evac 321 | died 159 | eps 0.079 | lr 0.00002 | loss  1.346
EP  45 | time 13.09s | reward  25777.3 | evac 325 | died 155 | eps 0.074 | lr 0.00001 | loss  1.120
EP  46 | time 12.73s | reward  30153.3 | evac 324 | died 156 | eps 0.070 | lr 0.00001 | loss  1.135
EP  47 | time 12.52s | reward  22054.1 | evac 308 | died 172 | eps 0.066 | lr 0.00001 | loss  1.042
EP  48 | time 13.61s | reward  26488.9 | evac 314 | died 166 | eps 0.062 | lr 0.00001 | loss  1.064
