Using device: cuda
EP   1 | time 26.61s | reward -19582.8 | evac  65 | died 415 | eps  nan | lr 0.00028 | loss  0.984
EP   2 | time 11.18s | reward  -7731.9 | evac 197 | died 283 | eps  nan | lr 0.00026 | loss  0.387
EP   3 | time 11.51s | reward  16899.3 | evac 265 | died 215 | eps  nan | lr 0.00024 | loss  0.286
EP   4 | time 11.06s | reward  41238.2 | evac 338 | died 142 | eps  nan | lr 0.00023 | loss  0.379
EP   5 | time 10.66s | reward  29144.1 | evac 333 | died 147 | eps  nan | lr 0.00021 | loss  0.585
EP   6 | time  9.39s | reward  43330.3 | evac 390 | died  90 | eps  nan | lr 0.00020 | loss  0.764
EP   7 | time 10.52s | reward  50836.3 | evac 393 | died  87 | eps  nan | lr 0.00019 | loss  0.775
EP   8 | time  9.70s | reward  48028.2 | evac 396 | died  84 | eps  nan | lr 0.00017 | loss  0.936
EP   9 | time  9.71s | reward  55740.1 | evac 427 | died  53 | eps  nan | lr 0.00016 | loss  1.110
EP  10 | time  9.78s | reward  56495.3 | evac 439 | died  41 | eps  nan | lr 0.00015 | loss  1.347
EP  11 | time  9.89s | reward  61666.4 | evac 433 | died  47 | eps  nan | lr 0.00014 | loss  1.675
EP  12 | time  9.72s | reward  55856.5 | evac 420 | died  60 | eps  nan | lr 0.00013 | loss  1.815
EP  13 | time  9.52s | reward  49644.4 | evac 415 | died  65 | eps  nan | lr 0.00012 | loss  1.793
EP  14 | time 10.35s | reward  53860.0 | evac 423 | died  57 | eps  nan | lr 0.00012 | loss  1.917
EP  15 | time 10.32s | reward  48235.8 | evac 412 | died  68 | eps  nan | lr 0.00011 | loss  2.094
EP  16 | time  9.99s | reward  52973.9 | evac 425 | died  55 | eps  nan | lr 0.00010 | loss  2.098
EP  17 | time  9.85s | reward  54162.9 | evac 412 | died  68 | eps  nan | lr 0.00009 | loss  2.304
EP  18 | time  9.40s | reward  51708.1 | evac 425 | died  55 | eps  nan | lr 0.00009 | loss  2.356
EP  19 | time 10.24s | reward  51149.5 | evac 399 | died  81 | eps  nan | lr 0.00008 | loss  2.504
EP  20 | time 10.33s | reward  52415.8 | evac 410 | died  70 | eps  nan | lr 0.00008 | loss  2.523
EP  21 | time  9.17s | reward  49154.8 | evac 426 | died  54 | eps  nan | lr 0.00007 | loss  2.524
EP  22 | time  9.26s | reward  51015.4 | evac 416 | died  64 | eps  nan | lr 0.00007 | loss  2.677
EP  23 | time 10.52s | reward  50728.6 | evac 423 | died  57 | eps  nan | lr 0.00006 | loss  2.726
EP  24 | time  9.66s | reward  52836.1 | evac 415 | died  65 | eps  nan | lr 0.00006 | loss  3.036
EP  25 | time 10.03s | reward  44922.6 | evac 407 | died  73 | eps  nan | lr 0.00005 | loss  2.921
EP  26 | time 11.06s | reward  52367.7 | evac 400 | died  80 | eps  nan | lr 0.00005 | loss  2.983
EP  27 | time 11.20s | reward  49866.8 | evac 401 | died  79 | eps  nan | lr 0.00005 | loss  3.216
EP  28 | time 12.30s | reward  62314.5 | evac 421 | died  59 | eps  nan | lr 0.00004 | loss  2.986
EP  29 | time 11.02s | reward  56186.0 | evac 414 | died  66 | eps  nan | lr 0.00004 | loss  3.020
