Using device: cuda
EP   1 | time 20.39s | reward -17263.4 | evac 161 | died 319 | eps 0.942 | lr 0.00028 | loss  0.203
EP   2 | time  9.83s | reward -12701.6 | evac 121 | died 359 | eps 0.886 | lr 0.00026 | loss  0.060
EP   3 | time  9.95s | reward   -654.5 | evac 179 | died 301 | eps 0.834 | lr 0.00024 | loss  0.085
EP   4 | time 10.67s | reward  15764.7 | evac 287 | died 193 | eps 0.783 | lr 0.00023 | loss  0.148
EP   5 | time 10.59s | reward  20424.5 | evac 332 | died 148 | eps 0.737 | lr 0.00021 | loss  0.229
EP   6 | time  9.85s | reward  18682.5 | evac 383 | died  97 | eps 0.696 | lr 0.00020 | loss  0.289
EP   7 | time 10.83s | reward  31627.8 | evac 387 | died  93 | eps 0.653 | lr 0.00019 | loss  0.505
EP   8 | time 10.01s | reward  27495.5 | evac 370 | died 110 | eps 0.617 | lr 0.00017 | loss  0.617
EP   9 | time 10.11s | reward  34042.3 | evac 389 | died  91 | eps 0.582 | lr 0.00016 | loss  0.706
EP  10 | time 10.72s | reward  37843.7 | evac 394 | died  86 | eps 0.547 | lr 0.00015 | loss  0.853
EP  11 | time 10.86s | reward  37446.4 | evac 362 | died 118 | eps 0.514 | lr 0.00014 | loss  0.927
EP  12 | time 10.58s | reward  38733.5 | evac 399 | died  81 | eps 0.484 | lr 0.00013 | loss  0.975
EP  13 | time  9.92s | reward  35092.5 | evac 384 | died  96 | eps 0.459 | lr 0.00012 | loss  0.917
EP  14 | time 10.26s | reward  36253.7 | evac 375 | died 105 | eps 0.433 | lr 0.00012 | loss  0.946
EP  15 | time 11.38s | reward  41953.9 | evac 369 | died 111 | eps 0.408 | lr 0.00011 | loss  1.018
EP  16 | time 11.06s | reward  43033.3 | evac 366 | died 114 | eps 0.384 | lr 0.00010 | loss  1.083
EP  17 | time  9.47s | reward  38742.7 | evac 402 | died  78 | eps 0.364 | lr 0.00009 | loss  1.253
EP  18 | time 10.29s | reward  47334.6 | evac 408 | died  72 | eps 0.344 | lr 0.00009 | loss  1.408
EP  19 | time 11.81s | reward  49182.0 | evac 419 | died  61 | eps 0.323 | lr 0.00008 | loss  1.513
