Using device: cuda
EP   1 | time 16.80s | reward -21449.7 | evac  88 | died 392 | eps 0.946 | lr 0.00028 | loss  0.030
EP   2 | time 13.52s | reward -17262.7 | evac  89 | died 391 | eps 0.898 | lr 0.00026 | loss  0.025
EP   3 | time 13.93s | reward -13346.1 | evac 111 | died 369 | eps 0.852 | lr 0.00024 | loss  0.032
EP   4 | time 13.99s | reward -12760.1 | evac 132 | died 348 | eps 0.808 | lr 0.00023 | loss  0.050
EP   5 | time 15.16s | reward -10992.7 | evac 166 | died 314 | eps 0.763 | lr 0.00021 | loss  0.069
EP   6 | time 13.47s | reward  -5839.2 | evac 163 | died 317 | eps 0.725 | lr 0.00020 | loss  0.104
EP   7 | time 14.41s | reward  -4204.0 | evac 181 | died 299 | eps 0.687 | lr 0.00019 | loss  0.157
EP   8 | time 14.78s | reward  -1441.4 | evac 216 | died 264 | eps 0.649 | lr 0.00017 | loss  0.214
EP   9 | time 13.91s | reward   4929.8 | evac 240 | died 240 | eps 0.615 | lr 0.00016 | loss  0.256
EP  10 | time 15.31s | reward   5280.6 | evac 257 | died 223 | eps 0.581 | lr 0.00015 | loss  0.316
EP  11 | time 15.22s | reward   5880.7 | evac 275 | died 205 | eps 0.550 | lr 0.00014 | loss  0.358
EP  12 | time 15.06s | reward  10198.8 | evac 272 | died 208 | eps 0.520 | lr 0.00013 | loss  0.404
EP  13 | time 14.92s | reward  13539.6 | evac 292 | died 188 | eps 0.491 | lr 0.00012 | loss  0.477
EP  14 | time 15.98s | reward  17211.5 | evac 290 | died 190 | eps 0.463 | lr 0.00012 | loss  0.514
EP  15 | time 14.98s | reward  20252.2 | evac 297 | died 183 | eps 0.439 | lr 0.00011 | loss  0.573
EP  16 | time 16.26s | reward  19290.1 | evac 306 | died 174 | eps 0.415 | lr 0.00010 | loss  0.630
EP  17 | time 16.24s | reward  20897.6 | evac 306 | died 174 | eps 0.392 | lr 0.00009 | loss  0.648
EP  18 | time 15.09s | reward  23004.2 | evac 325 | died 155 | eps 0.371 | lr 0.00009 | loss  0.690
EP  19 | time 14.88s | reward  25748.0 | evac 316 | died 164 | eps 0.351 | lr 0.00008 | loss  0.726
EP  20 | time 16.26s | reward  26131.5 | evac 323 | died 157 | eps 0.331 | lr 0.00008 | loss  0.738
EP  21 | time 14.55s | reward  21217.6 | evac 301 | died 179 | eps 0.314 | lr 0.00007 | loss  0.781
EP  22 | time 15.08s | reward  24713.2 | evac 314 | died 166 | eps 0.297 | lr 0.00007 | loss  0.762
EP  23 | time 14.54s | reward  25413.2 | evac 317 | died 163 | eps 0.281 | lr 0.00006 | loss  0.790
EP  24 | time 15.38s | reward  31708.0 | evac 338 | died 142 | eps 0.266 | lr 0.00006 | loss  0.794
EP  25 | time 14.03s | reward  31555.1 | evac 342 | died 138 | eps 0.252 | lr 0.00005 | loss  0.840
EP  26 | time 14.09s | reward  27266.4 | evac 320 | died 160 | eps 0.239 | lr 0.00005 | loss  0.790
EP  27 | time 14.77s | reward  31949.1 | evac 328 | died 152 | eps 0.226 | lr 0.00005 | loss  0.841
EP  28 | time 15.47s | reward  36072.4 | evac 348 | died 132 | eps 0.213 | lr 0.00004 | loss  0.840
EP  29 | time 15.36s | reward  34474.8 | evac 347 | died 133 | eps 0.202 | lr 0.00004 | loss  0.863
EP  30 | time 12.07s | reward  36570.2 | evac 354 | died 126 | eps 0.190 | lr 0.00004 | loss  0.893
EP  31 | time 12.79s | reward  38040.9 | evac 345 | died 135 | eps 0.180 | lr 0.00004 | loss  0.915
EP  32 | time 11.37s | reward  34341.1 | evac 334 | died 146 | eps 0.170 | lr 0.00003 | loss  0.923
EP  33 | time 11.11s | reward  32889.6 | evac 336 | died 144 | eps 0.162 | lr 0.00003 | loss  0.897
EP  34 | time 12.70s | reward  40999.7 | evac 367 | died 113 | eps 0.152 | lr 0.00003 | loss  0.885
EP  35 | time  8.65s | reward  37678.6 | evac 351 | died 129 | eps 0.145 | lr 0.00003 | loss  0.972
EP  36 | time  8.88s | reward  37281.6 | evac 344 | died 136 | eps 0.137 | lr 0.00003 | loss  0.956
EP  37 | time  8.58s | reward  36586.1 | evac 348 | died 132 | eps 0.130 | lr 0.00002 | loss  0.985
EP  38 | time  9.59s | reward  43926.4 | evac 363 | died 117 | eps 0.123 | lr 0.00002 | loss  1.021
EP  39 | time  9.17s | reward  39394.7 | evac 353 | died 127 | eps 0.116 | lr 0.00002 | loss  1.004
EP  40 | time  9.54s | reward  44943.7 | evac 350 | died 130 | eps 0.109 | lr 0.00002 | loss  0.998
EP  41 | time  8.63s | reward  42810.2 | evac 365 | died 115 | eps 0.103 | lr 0.00002 | loss  0.990
EP  42 | time  9.44s | reward  41240.5 | evac 355 | died 125 | eps 0.098 | lr 0.00002 | loss  1.039
EP  43 | time  9.05s | reward  42085.8 | evac 361 | died 119 | eps 0.092 | lr 0.00002 | loss  1.054
EP  44 | time  8.56s | reward  44043.4 | evac 371 | died 109 | eps 0.088 | lr 0.00002 | loss  1.081
EP  45 | time  8.56s | reward  45143.4 | evac 381 | died  99 | eps 0.083 | lr 0.00001 | loss  1.066
EP  46 | time  8.33s | reward  41061.2 | evac 356 | died 124 | eps 0.079 | lr 0.00001 | loss  1.101
EP  47 | time  7.56s | reward  43941.2 | evac 350 | died 130 | eps 0.074 | lr 0.00001 | loss  1.096
