Using device: cuda
EP   1 | time 14.68s | reward -19677.6 | evac  60 | died 420 | eps 0.944 | lr 0.00028 | loss  0.237
EP   2 | time  9.06s | reward  -6578.0 | evac 181 | died 299 | eps 0.893 | lr 0.00026 | loss  0.062
EP   3 | time 10.19s | reward   -269.7 | evac 239 | died 241 | eps 0.842 | lr 0.00024 | loss  0.080
EP   4 | time 10.28s | reward   4803.0 | evac 209 | died 271 | eps 0.794 | lr 0.00023 | loss  0.147
EP   5 | time  9.73s | reward   6240.3 | evac 205 | died 275 | eps 0.751 | lr 0.00021 | loss  0.215
EP   6 | time  9.65s | reward  15493.5 | evac 271 | died 209 | eps 0.708 | lr 0.00020 | loss  0.331
EP   7 | time 10.90s | reward  19168.1 | evac 276 | died 204 | eps 0.667 | lr 0.00019 | loss  0.370
EP   8 | time 10.53s | reward  17421.5 | evac 266 | died 214 | eps 0.628 | lr 0.00017 | loss  0.542
EP   9 | time 10.84s | reward  26893.9 | evac 298 | died 182 | eps 0.589 | lr 0.00016 | loss  0.689
EP  10 | time 10.37s | reward  27196.3 | evac 287 | died 193 | eps 0.554 | lr 0.00015 | loss  0.865
EP  11 | time 10.38s | reward  25522.0 | evac 309 | died 171 | eps 0.525 | lr 0.00014 | loss  0.911
EP  12 | time 10.43s | reward  30278.9 | evac 323 | died 157 | eps 0.495 | lr 0.00013 | loss  1.192
EP  13 | time 10.67s | reward  37471.2 | evac 361 | died 119 | eps 0.466 | lr 0.00012 | loss  1.501
EP  14 | time 10.60s | reward  36264.4 | evac 367 | died 113 | eps 0.440 | lr 0.00012 | loss  1.873
EP  15 | time 12.93s | reward  48393.0 | evac 393 | died  87 | eps 0.413 | lr 0.00011 | loss  2.444
EP  16 | time 10.93s | reward  46056.9 | evac 391 | died  89 | eps 0.389 | lr 0.00010 | loss  2.805
EP  17 | time 10.61s | reward  41500.3 | evac 397 | died  83 | eps 0.368 | lr 0.00009 | loss  3.273
EP  18 | time 12.65s | reward  47533.3 | evac 379 | died 101 | eps 0.345 | lr 0.00009 | loss  3.458
EP  19 | time 11.93s | reward  42477.7 | evac 397 | died  83 | eps 0.325 | lr 0.00008 | loss  3.751
EP  20 | time 11.76s | reward  35686.3 | evac 340 | died 140 | eps 0.307 | lr 0.00008 | loss  3.552
EP  21 | time 10.84s | reward  35831.7 | evac 373 | died 107 | eps 0.292 | lr 0.00007 | loss  4.218
EP  22 | time 11.83s | reward  44540.0 | evac 408 | died  72 | eps 0.276 | lr 0.00007 | loss  3.972
EP  23 | time 12.82s | reward  42855.3 | evac 374 | died 106 | eps 0.262 | lr 0.00006 | loss  3.860
EP  24 | time 11.56s | reward  43088.2 | evac 390 | died  90 | eps 0.248 | lr 0.00006 | loss  4.225
EP  25 | time 11.87s | reward  38345.5 | evac 388 | died  92 | eps 0.235 | lr 0.00005 | loss  4.790
EP  26 | time 12.78s | reward  38113.0 | evac 369 | died 111 | eps 0.221 | lr 0.00005 | loss  4.415
EP  27 | time 13.08s | reward  46543.5 | evac 401 | died  79 | eps 0.209 | lr 0.00005 | loss  4.328
EP  28 | time 12.99s | reward  45398.3 | evac 421 | died  59 | eps 0.198 | lr 0.00004 | loss  4.276
EP  29 | time 11.90s | reward  40069.4 | evac 399 | died  81 | eps 0.188 | lr 0.00004 | loss  4.077
EP  30 | time 13.58s | reward  51105.8 | evac 423 | died  57 | eps 0.177 | lr 0.00004 | loss  4.016
EP  31 | time 13.67s | reward  50068.5 | evac 419 | died  61 | eps 0.167 | lr 0.00004 | loss  4.047
EP  32 | time 12.95s | reward  54286.9 | evac 439 | died  41 | eps 0.157 | lr 0.00003 | loss  3.776
EP  33 | time 12.45s | reward  45738.5 | evac 431 | died  49 | eps 0.149 | lr 0.00003 | loss  3.785
EP  34 | time 13.34s | reward  49028.6 | evac 432 | died  48 | eps 0.141 | lr 0.00003 | loss  3.694
EP  35 | time 13.31s | reward  45486.9 | evac 414 | died  66 | eps 0.133 | lr 0.00003 | loss  3.700
