Using device: cuda
EP   1 | time 26.56s | reward -21884.4 | evac  52 | died 428 | eps 0.945 | lr 0.00028 | loss  0.643
EP   2 | time 10.73s | reward -21377.8 | evac  57 | died 423 | eps 0.895 | lr 0.00026 | loss  0.108
EP   3 | time 10.64s | reward -20872.4 | evac  73 | died 407 | eps 0.846 | lr 0.00024 | loss  0.169
EP   4 | time 11.00s | reward -20199.9 | evac  89 | died 391 | eps 0.800 | lr 0.00023 | loss  0.251
EP   5 | time 11.42s | reward -21892.9 | evac 120 | died 360 | eps 0.754 | lr 0.00021 | loss  0.413
EP   6 | time 10.51s | reward -19037.2 | evac 144 | died 336 | eps 0.713 | lr 0.00020 | loss  0.611
EP   7 | time 10.58s | reward -19850.1 | evac 168 | died 312 | eps 0.674 | lr 0.00019 | loss  1.000
EP   8 | time 11.71s | reward -21255.1 | evac 180 | died 300 | eps 0.635 | lr 0.00017 | loss  1.443
EP   9 | time 11.29s | reward -19349.0 | evac 195 | died 285 | eps 0.600 | lr 0.00016 | loss  2.010
EP  10 | time 10.10s | reward -18234.4 | evac 209 | died 271 | eps 0.568 | lr 0.00015 | loss  2.628
EP  11 | time 11.02s | reward -20403.0 | evac 235 | died 245 | eps 0.535 | lr 0.00014 | loss  3.584
EP  12 | time 10.38s | reward -18033.6 | evac 256 | died 224 | eps 0.506 | lr 0.00013 | loss  4.614
EP  13 | time 10.23s | reward -19777.5 | evac 253 | died 227 | eps 0.477 | lr 0.00012 | loss  5.795
EP  14 | time 10.49s | reward -19180.2 | evac 278 | died 202 | eps 0.450 | lr 0.00012 | loss  6.731
EP  15 | time 10.74s | reward -18288.7 | evac 279 | died 201 | eps 0.425 | lr 0.00011 | loss  8.052
EP  16 | time  9.77s | reward -18332.3 | evac 292 | died 188 | eps 0.401 | lr 0.00010 | loss  9.938
EP  17 | time 10.61s | reward -18391.2 | evac 299 | died 181 | eps 0.379 | lr 0.00009 | loss 11.958
EP  18 | time  9.61s | reward -16408.7 | evac 315 | died 165 | eps 0.358 | lr 0.00009 | loss 13.572
EP  19 | time 10.16s | reward -19108.7 | evac 310 | died 170 | eps 0.338 | lr 0.00008 | loss 14.661
EP  20 | time 10.80s | reward -17933.2 | evac 325 | died 155 | eps 0.319 | lr 0.00008 | loss 15.753
EP  21 | time 11.45s | reward -21259.1 | evac 334 | died 146 | eps 0.299 | lr 0.00007 | loss 18.032
EP  22 | time 10.97s | reward -19823.4 | evac 335 | died 145 | eps 0.281 | lr 0.00007 | loss 21.270
EP  23 | time 10.34s | reward -17379.9 | evac 330 | died 150 | eps 0.266 | lr 0.00006 | loss 21.137
EP  24 | time  9.89s | reward -17046.8 | evac 342 | died 138 | eps 0.251 | lr 0.00006 | loss 24.042
EP  25 | time  9.88s | reward -17270.6 | evac 335 | died 145 | eps 0.237 | lr 0.00005 | loss 26.658
EP  26 | time 10.26s | reward -17371.2 | evac 345 | died 135 | eps 0.223 | lr 0.00005 | loss 28.213
EP  27 | time  8.84s | reward -14237.5 | evac 343 | died 137 | eps 0.212 | lr 0.00005 | loss 30.193
EP  28 | time 10.17s | reward -20855.7 | evac 341 | died 139 | eps 0.199 | lr 0.00004 | loss 30.900
EP  29 | time  9.98s | reward -18457.1 | evac 342 | died 138 | eps 0.188 | lr 0.00004 | loss 34.965
EP  30 | time 10.06s | reward -19293.4 | evac 344 | died 136 | eps 0.177 | lr 0.00004 | loss 36.241
EP  31 | time 10.13s | reward -18769.5 | evac 351 | died 129 | eps 0.167 | lr 0.00004 | loss 37.690
EP  32 | time 10.68s | reward -21963.0 | evac 345 | died 135 | eps 0.156 | lr 0.00003 | loss 40.030
EP  33 | time  9.84s | reward -18202.7 | evac 347 | died 133 | eps 0.147 | lr 0.00003 | loss 40.712
EP  34 | time  9.27s | reward -15226.8 | evac 356 | died 124 | eps 0.139 | lr 0.00003 | loss 44.838
EP  35 | time  9.85s | reward -15229.7 | evac 358 | died 122 | eps 0.132 | lr 0.00003 | loss 46.913
EP  36 | time  9.63s | reward -18154.3 | evac 364 | died 116 | eps 0.124 | lr 0.00003 | loss 49.206
