Using device: cuda
EP   1 | time 30.93s | reward -13378.6 | evac  53 | died 427 | eps  nan | lr 0.00028 | loss  0.906
EP   2 | time 10.53s | reward  -3846.3 | evac  99 | died 381 | eps  nan | lr 0.00026 | loss  0.522
EP   3 | time 10.95s | reward  -1887.6 | evac  78 | died 402 | eps  nan | lr 0.00024 | loss  0.463
EP   4 | time 10.47s | reward  13198.3 | evac 177 | died 303 | eps  nan | lr 0.00023 | loss  0.451
EP   5 | time 10.79s | reward   9396.8 | evac 128 | died 352 | eps  nan | lr 0.00021 | loss  0.649
EP   6 | time 10.83s | reward  15703.8 | evac 205 | died 275 | eps  nan | lr 0.00020 | loss  0.702
EP   7 | time 10.54s | reward  18572.7 | evac 300 | died 180 | eps  nan | lr 0.00019 | loss  0.925
EP   8 | time 10.02s | reward  49003.6 | evac 388 | died  92 | eps  nan | lr 0.00017 | loss  1.251
EP   9 | time  9.07s | reward  46648.4 | evac 387 | died  93 | eps  nan | lr 0.00016 | loss  1.862
EP  10 | time  8.06s | reward  45938.2 | evac 411 | died  69 | eps  nan | lr 0.00015 | loss  2.860
EP  11 | time  9.49s | reward  57975.3 | evac 421 | died  59 | eps  nan | lr 0.00014 | loss  3.971
EP  12 | time  8.89s | reward  58908.3 | evac 424 | died  56 | eps  nan | lr 0.00013 | loss  4.532
EP  13 | time  9.76s | reward  64459.8 | evac 437 | died  43 | eps  nan | lr 0.00012 | loss  4.772
EP  14 | time  8.91s | reward  53046.2 | evac 434 | died  46 | eps  nan | lr 0.00012 | loss  5.181
EP  15 | time  8.74s | reward  58972.3 | evac 427 | died  53 | eps  nan | lr 0.00011 | loss  5.399
EP  16 | time  8.70s | reward  51437.8 | evac 405 | died  75 | eps  nan | lr 0.00010 | loss  5.470
EP  17 | time  9.79s | reward  58707.8 | evac 413 | died  67 | eps  nan | lr 0.00009 | loss  5.318
EP  18 | time  9.05s | reward  51330.4 | evac 381 | died  99 | eps  nan | lr 0.00009 | loss  5.358
EP  19 | time  9.39s | reward  59739.4 | evac 419 | died  61 | eps  nan | lr 0.00008 | loss  5.746
EP  20 | time  9.44s | reward  56859.4 | evac 413 | died  67 | eps  nan | lr 0.00008 | loss  6.019
EP  21 | time  9.05s | reward  48890.5 | evac 387 | died  93 | eps  nan | lr 0.00007 | loss  6.221
EP  22 | time  9.30s | reward  50837.0 | evac 410 | died  70 | eps  nan | lr 0.00007 | loss  6.317
EP  23 | time 10.36s | reward  61786.9 | evac 406 | died  74 | eps  nan | lr 0.00006 | loss  6.324
EP  24 | time  8.47s | reward  48254.1 | evac 407 | died  73 | eps  nan | lr 0.00006 | loss  6.594
EP  25 | time  9.27s | reward  48356.7 | evac 407 | died  73 | eps  nan | lr 0.00005 | loss  6.001
EP  26 | time  9.49s | reward  56453.4 | evac 414 | died  66 | eps  nan | lr 0.00005 | loss  5.890
EP  27 | time  9.35s | reward  50520.6 | evac 390 | died  90 | eps  nan | lr 0.00005 | loss  5.829
EP  28 | time  9.64s | reward  52400.3 | evac 404 | died  76 | eps  nan | lr 0.00004 | loss  5.601
EP  29 | time  9.25s | reward  40173.3 | evac 351 | died 129 | eps  nan | lr 0.00004 | loss  5.549
EP  30 | time  8.99s | reward  44550.4 | evac 399 | died  81 | eps  nan | lr 0.00004 | loss  5.475
EP  31 | time  9.68s | reward  49709.8 | evac 394 | died  86 | eps  nan | lr 0.00004 | loss  5.326
EP  32 | time  9.74s | reward  46094.0 | evac 352 | died 128 | eps  nan | lr 0.00003 | loss  5.308
EP  33 | time  9.41s | reward  50844.9 | evac 388 | died  92 | eps  nan | lr 0.00003 | loss  5.119
EP  34 | time 10.28s | reward  41802.8 | evac 367 | died 113 | eps  nan | lr 0.00003 | loss  5.067
EP  35 | time  9.45s | reward  55498.0 | evac 408 | died  72 | eps  nan | lr 0.00003 | loss  4.866
EP  36 | time  9.44s | reward  47178.2 | evac 381 | died  99 | eps  nan | lr 0.00003 | loss  4.564
EP  37 | time  9.93s | reward  50866.4 | evac 390 | died  90 | eps  nan | lr 0.00002 | loss  4.803
EP  38 | time  9.47s | reward  44990.9 | evac 370 | died 110 | eps  nan | lr 0.00002 | loss  4.588
EP  39 | time  9.89s | reward  50002.0 | evac 368 | died 112 | eps  nan | lr 0.00002 | loss  4.448
EP  40 | time 10.52s | reward  38193.6 | evac 328 | died 152 | eps  nan | lr 0.00002 | loss  4.640
EP  41 | time  9.22s | reward  40625.1 | evac 348 | died 132 | eps  nan | lr 0.00002 | loss  4.474
EP  42 | time 10.33s | reward  42910.6 | evac 353 | died 127 | eps  nan | lr 0.00002 | loss  4.183
EP  43 | time  9.16s | reward  42888.5 | evac 362 | died 118 | eps  nan | lr 0.00002 | loss  4.256
EP  44 | time 10.83s | reward  53806.2 | evac 387 | died  93 | eps  nan | lr 0.00002 | loss  4.137
EP  45 | time 10.26s | reward  48451.3 | evac 373 | died 107 | eps  nan | lr 0.00001 | loss  4.161
EP  46 | time  9.43s | reward  40598.8 | evac 339 | died 141 | eps  nan | lr 0.00001 | loss  4.053
EP  47 | time 10.45s | reward  51843.7 | evac 366 | died 114 | eps  nan | lr 0.00001 | loss  4.296
EP  48 | time  8.09s | reward  43898.4 | evac 361 | died 119 | eps  nan | lr 0.00001 | loss  4.167
EP  49 | time  8.41s | reward  39891.9 | evac 327 | died 153 | eps  nan | lr 0.00001 | loss  4.281
EP  50 | time  8.02s | reward  44579.3 | evac 366 | died 114 | eps  nan | lr 0.00001 | loss  4.395
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_19_NoisyDuelingDDQN.csv
