Using device: cuda
EP   1 | time 15.84s | reward -21309.0 | evac  50 | died 430 | eps 0.950 | lr 0.00028 | loss  0.543
EP   2 | time  9.99s | reward -26773.1 | evac  60 | died 420 | eps 0.895 | lr 0.00026 | loss  0.117
EP   3 | time 10.05s | reward -23569.2 | evac  80 | died 400 | eps 0.847 | lr 0.00024 | loss  0.197
EP   4 | time  9.82s | reward -23728.6 | evac  98 | died 382 | eps 0.801 | lr 0.00023 | loss  0.335
EP   5 | time  9.72s | reward -23797.7 | evac 104 | died 376 | eps 0.756 | lr 0.00021 | loss  0.515
EP   6 | time 10.49s | reward -23848.7 | evac 130 | died 350 | eps 0.714 | lr 0.00020 | loss  0.742
EP   7 | time  9.39s | reward -21155.3 | evac 143 | died 337 | eps 0.676 | lr 0.00019 | loss  1.059
EP   8 | time  9.82s | reward -21968.8 | evac 170 | died 310 | eps 0.639 | lr 0.00017 | loss  1.868
EP   9 | time 10.29s | reward -25062.8 | evac 182 | died 298 | eps 0.602 | lr 0.00016 | loss  2.289
EP  10 | time  9.56s | reward -20728.0 | evac 200 | died 280 | eps 0.569 | lr 0.00015 | loss  2.967
EP  11 | time 10.38s | reward -23391.5 | evac 218 | died 262 | eps 0.536 | lr 0.00014 | loss  4.054
EP  12 | time 10.92s | reward -23201.0 | evac 252 | died 228 | eps 0.505 | lr 0.00013 | loss  5.202
EP  13 | time  9.14s | reward -17956.1 | evac 256 | died 224 | eps 0.479 | lr 0.00012 | loss  7.493
EP  14 | time 10.10s | reward -21625.1 | evac 277 | died 203 | eps 0.452 | lr 0.00012 | loss 10.080
EP  15 | time  9.75s | reward -19893.3 | evac 292 | died 188 | eps 0.428 | lr 0.00011 | loss 12.247
EP  16 | time 10.77s | reward -24527.5 | evac 292 | died 188 | eps 0.402 | lr 0.00010 | loss 14.319
EP  17 | time 10.82s | reward -22482.2 | evac 279 | died 201 | eps 0.379 | lr 0.00009 | loss 16.539
EP  18 | time  9.78s | reward -23626.8 | evac 308 | died 172 | eps 0.357 | lr 0.00009 | loss 20.952
EP  19 | time 10.52s | reward -23783.0 | evac 297 | died 183 | eps 0.336 | lr 0.00008 | loss 29.542
EP  20 | time 10.24s | reward -22521.0 | evac 328 | died 152 | eps 0.317 | lr 0.00008 | loss 36.058
