Using device: cuda
EP   1 | time 31.45s | reward -13959.9 | evac  78 | died 402 | eps  nan | lr 0.00028 | loss  1.181
EP   2 | time  7.88s | reward  20590.7 | evac 294 | died 186 | eps  nan | lr 0.00026 | loss  0.453
EP   3 | time 10.27s | reward  45881.7 | evac 399 | died  81 | eps  nan | lr 0.00024 | loss  0.752
EP   4 | time  8.74s | reward  51076.8 | evac 407 | died  73 | eps  nan | lr 0.00023 | loss  0.952
EP   5 | time  8.91s | reward  60814.3 | evac 429 | died  51 | eps  nan | lr 0.00021 | loss  1.402
EP   6 | time  9.29s | reward  62557.6 | evac 442 | died  38 | eps  nan | lr 0.00020 | loss  2.444
EP   7 | time  8.88s | reward  62682.6 | evac 434 | died  46 | eps  nan | lr 0.00019 | loss  3.161
EP   8 | time  7.77s | reward  52386.1 | evac 444 | died  36 | eps  nan | lr 0.00017 | loss  5.000
EP   9 | time  9.08s | reward  61868.4 | evac 436 | died  44 | eps  nan | lr 0.00016 | loss  7.226
EP  10 | time  7.83s | reward  50879.3 | evac 436 | died  44 | eps  nan | lr 0.00015 | loss  8.030
EP  11 | time  8.83s | reward  58951.9 | evac 452 | died  28 | eps  nan | lr 0.00014 | loss  9.103
EP  12 | time  8.00s | reward  55929.4 | evac 444 | died  36 | eps  nan | lr 0.00013 | loss  9.945
EP  13 | time  9.00s | reward  56224.5 | evac 440 | died  40 | eps  nan | lr 0.00012 | loss  9.756
EP  14 | time  9.55s | reward  53403.1 | evac 383 | died  97 | eps  nan | lr 0.00012 | loss  9.515
EP  15 | time  8.47s | reward  51098.7 | evac 428 | died  52 | eps  nan | lr 0.00011 | loss  9.117
EP  16 | time  8.60s | reward  54773.3 | evac 438 | died  42 | eps  nan | lr 0.00010 | loss 10.831
EP  17 | time  8.77s | reward  55383.9 | evac 438 | died  42 | eps  nan | lr 0.00009 | loss 11.898
EP  18 | time  9.13s | reward  50628.8 | evac 424 | died  56 | eps  nan | lr 0.00009 | loss 11.700
EP  19 | time  8.79s | reward  58228.9 | evac 440 | died  40 | eps  nan | lr 0.00008 | loss 11.653
EP  20 | time  9.42s | reward  54441.3 | evac 426 | died  54 | eps  nan | lr 0.00008 | loss 10.587
EP  21 | time  9.20s | reward  55215.0 | evac 415 | died  65 | eps  nan | lr 0.00007 | loss 10.339
EP  22 | time  9.22s | reward  58456.0 | evac 427 | died  53 | eps  nan | lr 0.00007 | loss 11.288
EP  23 | time  9.58s | reward  52324.7 | evac 407 | died  73 | eps  nan | lr 0.00006 | loss 11.822
EP  24 | time  8.71s | reward  50374.5 | evac 410 | died  70 | eps  nan | lr 0.00006 | loss 11.647
