Using device: cuda
EP   1 | time 18.18s | reward -14906.8 | evac  76 | died 404 | eps 0.952 | lr 0.00028 | loss  0.030
EP   2 | time 15.13s | reward -15762.3 | evac 107 | died 373 | eps 0.903 | lr 0.00026 | loss  0.023
EP   3 | time 15.20s | reward -16798.3 | evac 103 | died 377 | eps 0.854 | lr 0.00024 | loss  0.026
EP   4 | time 16.20s | reward -13344.5 | evac 135 | died 345 | eps 0.808 | lr 0.00023 | loss  0.037
EP   5 | time 15.22s | reward -12426.6 | evac 132 | died 348 | eps 0.764 | lr 0.00021 | loss  0.070
EP   6 | time 15.77s | reward  -7928.8 | evac 174 | died 306 | eps 0.722 | lr 0.00020 | loss  0.102
EP   7 | time 15.24s | reward  -3597.2 | evac 213 | died 267 | eps 0.684 | lr 0.00019 | loss  0.134
EP   8 | time 16.94s | reward  -4599.4 | evac 197 | died 283 | eps 0.644 | lr 0.00017 | loss  0.186
EP   9 | time 15.04s | reward     91.0 | evac 206 | died 274 | eps 0.611 | lr 0.00016 | loss  0.262
EP  10 | time 16.38s | reward  -3043.1 | evac 205 | died 275 | eps 0.578 | lr 0.00015 | loss  0.289
EP  11 | time 16.49s | reward   4797.8 | evac 253 | died 227 | eps 0.547 | lr 0.00014 | loss  0.364
EP  12 | time 15.88s | reward   2988.9 | evac 251 | died 229 | eps 0.518 | lr 0.00013 | loss  0.434
EP  13 | time 17.57s | reward  -1943.2 | evac 247 | died 233 | eps 0.486 | lr 0.00012 | loss  0.462
EP  14 | time 16.09s | reward   3364.6 | evac 258 | died 222 | eps 0.459 | lr 0.00012 | loss  0.559
EP  15 | time 15.48s | reward   3750.0 | evac 246 | died 234 | eps 0.435 | lr 0.00011 | loss  0.614
EP  16 | time 16.54s | reward  10976.2 | evac 284 | died 196 | eps 0.410 | lr 0.00010 | loss  0.667
EP  17 | time 16.43s | reward  13397.9 | evac 296 | died 184 | eps 0.389 | lr 0.00009 | loss  0.728
EP  18 | time 15.85s | reward  12391.3 | evac 279 | died 201 | eps 0.368 | lr 0.00009 | loss  0.783
EP  19 | time 16.50s | reward  11685.8 | evac 293 | died 187 | eps 0.347 | lr 0.00008 | loss  0.840
EP  20 | time 17.03s | reward  12782.2 | evac 303 | died 177 | eps 0.326 | lr 0.00008 | loss  0.887
EP  21 | time 16.57s | reward  16478.7 | evac 306 | died 174 | eps 0.308 | lr 0.00007 | loss  0.883
EP  22 | time 16.79s | reward  14921.6 | evac 306 | died 174 | eps 0.291 | lr 0.00007 | loss  0.946
EP  23 | time 16.30s | reward  26353.1 | evac 311 | died 169 | eps 0.275 | lr 0.00006 | loss  1.007
EP  24 | time 15.39s | reward  21146.1 | evac 327 | died 153 | eps 0.259 | lr 0.00006 | loss  1.087
EP  25 | time 15.43s | reward  23303.0 | evac 327 | died 153 | eps 0.245 | lr 0.00005 | loss  1.106
EP  26 | time 15.46s | reward  30377.0 | evac 332 | died 148 | eps 0.232 | lr 0.00005 | loss  1.119
EP  27 | time 15.75s | reward  30697.6 | evac 340 | died 140 | eps 0.219 | lr 0.00005 | loss  1.210
EP  28 | time 15.57s | reward  27822.5 | evac 333 | died 147 | eps 0.206 | lr 0.00004 | loss  1.208
EP  29 | time 15.87s | reward  23060.4 | evac 300 | died 180 | eps 0.196 | lr 0.00004 | loss  1.301
EP  30 | time 16.43s | reward  31285.1 | evac 320 | died 160 | eps 0.185 | lr 0.00004 | loss  1.303
EP  31 | time 14.47s | reward  34641.7 | evac 341 | died 139 | eps 0.174 | lr 0.00004 | loss  1.362
EP  32 | time 12.72s | reward  35194.7 | evac 331 | died 149 | eps 0.165 | lr 0.00003 | loss  1.409
EP  33 | time 10.31s | reward  34385.1 | evac 324 | died 156 | eps 0.155 | lr 0.00003 | loss  1.401
EP  34 | time  9.01s | reward  35370.2 | evac 366 | died 114 | eps 0.147 | lr 0.00003 | loss  1.458
EP  35 | time  9.69s | reward  34114.8 | evac 311 | died 169 | eps 0.139 | lr 0.00003 | loss  1.469
EP  36 | time  9.59s | reward  38902.3 | evac 332 | died 148 | eps 0.130 | lr 0.00003 | loss  1.439
EP  37 | time  9.77s | reward  38693.7 | evac 323 | died 157 | eps 0.123 | lr 0.00002 | loss  1.407
EP  38 | time  9.02s | reward  35774.9 | evac 334 | died 146 | eps 0.116 | lr 0.00002 | loss  1.458
EP  39 | time 10.11s | reward  40390.3 | evac 318 | died 162 | eps 0.109 | lr 0.00002 | loss  1.549
EP  40 | time  9.23s | reward  39362.3 | evac 339 | died 141 | eps 0.103 | lr 0.00002 | loss  1.520
EP  41 | time  7.76s | reward  37938.8 | evac 336 | died 144 | eps 0.097 | lr 0.00002 | loss  1.501
EP  42 | time  7.85s | reward  38403.3 | evac 332 | died 148 | eps 0.091 | lr 0.00002 | loss  1.476
EP  43 | time  7.90s | reward  40017.0 | evac 332 | died 148 | eps 0.086 | lr 0.00002 | loss  1.463
EP  44 | time  7.34s | reward  37356.8 | evac 346 | died 134 | eps 0.082 | lr 0.00002 | loss  1.447
EP  45 | time  7.37s | reward  39158.2 | evac 348 | died 132 | eps 0.077 | lr 0.00001 | loss  1.464
EP  46 | time  7.78s | reward  41688.4 | evac 338 | died 142 | eps 0.073 | lr 0.00001 | loss  1.531
EP  47 | time  7.83s | reward  39160.4 | evac 325 | died 155 | eps 0.069 | lr 0.00001 | loss  1.526
EP  48 | time  7.59s | reward  40970.6 | evac 339 | died 141 | eps 0.065 | lr 0.00001 | loss  1.582
EP  49 | time  8.01s | reward  45244.9 | evac 353 | died 127 | eps 0.061 | lr 0.00001 | loss  1.547
EP  50 | time  7.50s | reward  39362.3 | evac 336 | died 144 | eps 0.058 | lr 0.00001 | loss  1.607
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_6_QRDQN.csv
