Using device: cuda
EP   1 | time 23.07s | reward  -2287.6 | evac 307 | died 173 | eps  nan | lr 0.00028 | loss  1.466
EP   2 | time 11.55s | reward  -7355.7 | evac 165 | died 315 | eps  nan | lr 0.00026 | loss  0.293
EP   3 | time 11.70s | reward  33736.6 | evac 327 | died 153 | eps  nan | lr 0.00024 | loss  0.275
EP   4 | time 11.40s | reward  46520.0 | evac 377 | died 103 | eps  nan | lr 0.00023 | loss  0.465
EP   5 | time 11.36s | reward  54818.3 | evac 367 | died 113 | eps  nan | lr 0.00021 | loss  0.458
EP   6 | time  9.13s | reward  52996.9 | evac 418 | died  62 | eps  nan | lr 0.00020 | loss  0.687
EP   7 | time 10.67s | reward  42102.9 | evac 372 | died 108 | eps  nan | lr 0.00019 | loss  0.787
EP   8 | time  9.76s | reward  49182.5 | evac 399 | died  81 | eps  nan | lr 0.00017 | loss  0.942
EP   9 | time  9.88s | reward  50130.8 | evac 418 | died  62 | eps  nan | lr 0.00016 | loss  1.302
EP  10 | time 10.23s | reward  55462.8 | evac 419 | died  61 | eps  nan | lr 0.00015 | loss  1.640
EP  11 | time  9.15s | reward  62177.4 | evac 430 | died  50 | eps  nan | lr 0.00014 | loss  1.940
EP  12 | time  9.34s | reward  52911.0 | evac 431 | died  49 | eps  nan | lr 0.00013 | loss  2.699
EP  13 | time  9.34s | reward  55475.0 | evac 426 | died  54 | eps  nan | lr 0.00012 | loss  3.020
EP  14 | time 10.37s | reward  62857.1 | evac 432 | died  48 | eps  nan | lr 0.00012 | loss  3.955
EP  15 | time  9.44s | reward  57420.7 | evac 429 | died  51 | eps  nan | lr 0.00011 | loss  4.133
EP  16 | time  8.34s | reward  51192.3 | evac 424 | died  56 | eps  nan | lr 0.00010 | loss  4.810
EP  17 | time  9.82s | reward  57091.5 | evac 424 | died  56 | eps  nan | lr 0.00009 | loss  5.659
EP  18 | time 10.22s | reward  61478.5 | evac 431 | died  49 | eps  nan | lr 0.00009 | loss  6.521
EP  19 | time 11.14s | reward  60596.6 | evac 428 | died  52 | eps  nan | lr 0.00008 | loss  8.087
EP  20 | time  9.78s | reward  59570.9 | evac 430 | died  50 | eps  nan | lr 0.00008 | loss  8.594
EP  21 | time  9.91s | reward  63241.0 | evac 442 | died  38 | eps  nan | lr 0.00007 | loss  9.571
EP  22 | time 10.83s | reward  68182.8 | evac 439 | died  41 | eps  nan | lr 0.00007 | loss 10.670
EP  23 | time  9.37s | reward  56319.6 | evac 432 | died  48 | eps  nan | lr 0.00006 | loss 11.534
EP  24 | time 10.34s | reward  60330.1 | evac 429 | died  51 | eps  nan | lr 0.00006 | loss 12.872
EP  25 | time 11.05s | reward  67445.1 | evac 450 | died  30 | eps  nan | lr 0.00005 | loss 14.020
EP  26 | time 10.08s | reward  64631.1 | evac 448 | died  32 | eps  nan | lr 0.00005 | loss 15.109
EP  27 | time  8.83s | reward  48536.3 | evac 433 | died  47 | eps  nan | lr 0.00005 | loss 16.515
EP  28 | time  9.97s | reward  64759.7 | evac 456 | died  24 | eps  nan | lr 0.00004 | loss 17.361
EP  29 | time  9.68s | reward  56420.6 | evac 442 | died  38 | eps  nan | lr 0.00004 | loss 19.054
EP  30 | time  9.48s | reward  54875.9 | evac 450 | died  30 | eps  nan | lr 0.00004 | loss 20.004
EP  31 | time  9.45s | reward  55623.0 | evac 445 | died  35 | eps  nan | lr 0.00004 | loss 20.525
EP  32 | time 10.21s | reward  61316.0 | evac 446 | died  34 | eps  nan | lr 0.00003 | loss 22.549
EP  33 | time  9.37s | reward  55621.4 | evac 442 | died  38 | eps  nan | lr 0.00003 | loss 22.701
