Using device: cuda
EP   1 | time 24.73s | reward -20238.5 | evac  68 | died 412 | eps 0.943 | lr 0.00028 | loss  0.301
EP   2 | time 12.50s | reward  -3539.0 | evac 132 | died 348 | eps 0.892 | lr 0.00026 | loss  0.080
EP   3 | time 12.75s | reward   -198.5 | evac 202 | died 278 | eps 0.843 | lr 0.00024 | loss  0.156
EP   4 | time 13.23s | reward  10744.9 | evac 262 | died 218 | eps 0.794 | lr 0.00023 | loss  0.231
EP   5 | time 13.30s | reward  15983.6 | evac 302 | died 178 | eps 0.748 | lr 0.00021 | loss  0.429
EP   6 | time 13.02s | reward  18693.8 | evac 304 | died 176 | eps 0.708 | lr 0.00020 | loss  0.568
EP   7 | time 14.05s | reward  21345.4 | evac 316 | died 164 | eps 0.667 | lr 0.00019 | loss  0.733
EP   8 | time 14.01s | reward  27834.0 | evac 320 | died 160 | eps 0.626 | lr 0.00017 | loss  0.957
EP   9 | time 13.43s | reward  20789.0 | evac 247 | died 233 | eps 0.590 | lr 0.00016 | loss  1.093
EP  10 | time 13.63s | reward  30195.3 | evac 338 | died 142 | eps 0.557 | lr 0.00015 | loss  1.482
EP  11 | time 13.94s | reward  34360.9 | evac 364 | died 116 | eps 0.524 | lr 0.00014 | loss  1.492
EP  12 | time 14.42s | reward  37348.6 | evac 372 | died 108 | eps 0.494 | lr 0.00013 | loss  1.862
EP  13 | time 13.28s | reward  32540.1 | evac 344 | died 136 | eps 0.469 | lr 0.00012 | loss  2.287
EP  14 | time 13.64s | reward  35865.3 | evac 353 | died 127 | eps 0.443 | lr 0.00012 | loss  2.558
EP  15 | time 13.88s | reward  39354.9 | evac 380 | died 100 | eps 0.418 | lr 0.00011 | loss  2.998
EP  16 | time 13.82s | reward  37947.8 | evac 365 | died 115 | eps 0.396 | lr 0.00010 | loss  3.289
EP  17 | time 13.32s | reward  37461.4 | evac 358 | died 122 | eps 0.375 | lr 0.00009 | loss  3.293
EP  18 | time 14.42s | reward  40397.9 | evac 359 | died 121 | eps 0.355 | lr 0.00009 | loss  4.044
EP  19 | time 13.72s | reward  42537.8 | evac 385 | died  95 | eps 0.336 | lr 0.00008 | loss  4.794
EP  20 | time 13.71s | reward  43977.6 | evac 382 | died  98 | eps 0.318 | lr 0.00008 | loss  4.870
EP  21 | time 15.14s | reward  49862.7 | evac 361 | died 119 | eps 0.298 | lr 0.00007 | loss  4.925
EP  22 | time 13.76s | reward  37277.0 | evac 343 | died 137 | eps 0.283 | lr 0.00007 | loss  5.193
EP  23 | time 13.97s | reward  40646.8 | evac 375 | died 105 | eps 0.268 | lr 0.00006 | loss  5.268
EP  24 | time 15.39s | reward  47134.1 | evac 357 | died 123 | eps 0.253 | lr 0.00006 | loss  5.033
EP  25 | time 15.88s | reward  49734.9 | evac 384 | died  96 | eps 0.238 | lr 0.00005 | loss  5.318
EP  26 | time 14.71s | reward  46837.5 | evac 402 | died  78 | eps 0.225 | lr 0.00005 | loss  4.918
EP  27 | time 15.36s | reward  46406.9 | evac 399 | died  81 | eps 0.213 | lr 0.00005 | loss  5.053
EP  28 | time 15.82s | reward  43331.0 | evac 381 | died  99 | eps 0.201 | lr 0.00004 | loss  4.924
EP  29 | time 16.34s | reward  49288.5 | evac 390 | died  90 | eps 0.190 | lr 0.00004 | loss  4.898
EP  30 | time 17.10s | reward  53924.8 | evac 395 | died  85 | eps 0.178 | lr 0.00004 | loss  4.603
EP  31 | time 16.74s | reward  54394.9 | evac 396 | died  84 | eps 0.168 | lr 0.00004 | loss  4.913
EP  32 | time 15.12s | reward  48848.7 | evac 387 | died  93 | eps 0.159 | lr 0.00003 | loss  4.787
EP  33 | time 15.77s | reward  52471.6 | evac 403 | died  77 | eps 0.150 | lr 0.00003 | loss  4.934
EP  34 | time 15.44s | reward  52118.6 | evac 394 | died  86 | eps 0.141 | lr 0.00003 | loss  4.470
EP  35 | time 15.80s | reward  49928.7 | evac 383 | died  97 | eps 0.133 | lr 0.00003 | loss  4.703
EP  36 | time 16.39s | reward  52611.5 | evac 414 | died  66 | eps 0.126 | lr 0.00003 | loss  4.640
EP  37 | time 17.33s | reward  56101.7 | evac 396 | died  84 | eps 0.118 | lr 0.00002 | loss  4.345
EP  38 | time 16.89s | reward  54089.6 | evac 397 | died  83 | eps 0.111 | lr 0.00002 | loss  4.548
EP  39 | time 16.67s | reward  51628.2 | evac 389 | died  91 | eps 0.105 | lr 0.00002 | loss  4.206
EP  40 | time 16.44s | reward  47627.7 | evac 379 | died 101 | eps 0.099 | lr 0.00002 | loss  4.209
EP  41 | time 11.25s | reward  54308.8 | evac 397 | died  83 | eps 0.093 | lr 0.00002 | loss  4.415
EP  42 | time  9.85s | reward  54808.8 | evac 394 | died  86 | eps 0.088 | lr 0.00002 | loss  3.910
EP  43 | time  8.89s | reward  48869.8 | evac 398 | died  82 | eps 0.083 | lr 0.00002 | loss  3.850
EP  44 | time  8.75s | reward  47855.9 | evac 379 | died 101 | eps 0.078 | lr 0.00002 | loss  3.586
EP  45 | time  8.74s | reward  51492.7 | evac 392 | died  88 | eps 0.074 | lr 0.00001 | loss  4.014
EP  46 | time  8.59s | reward  49014.9 | evac 388 | died  92 | eps 0.070 | lr 0.00001 | loss  3.718
EP  47 | time  8.20s | reward  47762.2 | evac 389 | died  91 | eps 0.066 | lr 0.00001 | loss  3.695
EP  48 | time  8.91s | reward  52662.6 | evac 400 | died  80 | eps 0.062 | lr 0.00001 | loss  3.511
EP  49 | time  9.09s | reward  52359.1 | evac 408 | died  72 | eps 0.058 | lr 0.00001 | loss  3.142
EP  50 | time  8.31s | reward  39117.3 | evac 365 | died 115 | eps 0.055 | lr 0.00001 | loss  3.284
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_7_DuelingDDQNPrioritized.csv
