Using device: cuda
EP   1 | time 28.01s | reward  -8584.4 | evac  90 | died 390 | eps 0.945 | lr 0.00028 | loss  0.235
EP   2 | time 10.28s | reward  -5341.6 | evac 138 | died 342 | eps 0.890 | lr 0.00026 | loss  0.067
EP   3 | time  9.14s | reward   3503.3 | evac 197 | died 283 | eps 0.843 | lr 0.00024 | loss  0.107
EP   4 | time  9.65s | reward   4738.7 | evac 163 | died 317 | eps 0.799 | lr 0.00023 | loss  0.183
EP   5 | time 10.29s | reward  14173.9 | evac 309 | died 171 | eps 0.754 | lr 0.00021 | loss  0.329
EP   6 | time  9.80s | reward   7913.8 | evac 197 | died 283 | eps 0.713 | lr 0.00020 | loss  0.496
EP   7 | time 11.02s | reward  12829.4 | evac 216 | died 264 | eps 0.672 | lr 0.00019 | loss  0.679
EP   8 | time 10.10s | reward  20068.7 | evac 307 | died 173 | eps 0.637 | lr 0.00017 | loss  0.823
EP   9 | time 10.12s | reward  23015.9 | evac 292 | died 188 | eps 0.602 | lr 0.00016 | loss  0.957
EP  10 | time  9.97s | reward  18791.0 | evac 284 | died 196 | eps 0.571 | lr 0.00015 | loss  1.293
EP  11 | time 10.65s | reward  25229.5 | evac 330 | died 150 | eps 0.540 | lr 0.00014 | loss  1.253
EP  12 | time 10.75s | reward  31809.7 | evac 334 | died 146 | eps 0.510 | lr 0.00013 | loss  1.530
EP  13 | time 10.66s | reward  27142.4 | evac 306 | died 174 | eps 0.483 | lr 0.00012 | loss  1.611
EP  14 | time 11.24s | reward  28082.7 | evac 296 | died 184 | eps 0.456 | lr 0.00012 | loss  1.649
EP  15 | time 10.81s | reward  33807.6 | evac 354 | died 126 | eps 0.431 | lr 0.00011 | loss  1.791
EP  16 | time 11.12s | reward  33544.8 | evac 319 | died 161 | eps 0.407 | lr 0.00010 | loss  1.904
EP  17 | time 11.47s | reward  33575.6 | evac 356 | died 124 | eps 0.385 | lr 0.00009 | loss  1.892
EP  18 | time 11.59s | reward  35142.8 | evac 337 | died 143 | eps 0.364 | lr 0.00009 | loss  1.719
EP  19 | time 11.28s | reward  37662.8 | evac 348 | died 132 | eps 0.344 | lr 0.00008 | loss  1.826
EP  20 | time 11.64s | reward  41446.8 | evac 347 | died 133 | eps 0.324 | lr 0.00008 | loss  1.938
EP  21 | time 11.15s | reward  40834.5 | evac 361 | died 119 | eps 0.306 | lr 0.00007 | loss  2.040
EP  22 | time 11.41s | reward  40627.1 | evac 378 | died 102 | eps 0.290 | lr 0.00007 | loss  2.227
EP  23 | time 10.82s | reward  41677.2 | evac 388 | died  92 | eps 0.275 | lr 0.00006 | loss  2.500
EP  24 | time 11.27s | reward  45097.9 | evac 375 | died 105 | eps 0.260 | lr 0.00006 | loss  2.712
EP  25 | time 12.07s | reward  50980.1 | evac 390 | died  90 | eps 0.245 | lr 0.00005 | loss  2.805
EP  26 | time 11.71s | reward  43164.8 | evac 381 | died  99 | eps 0.232 | lr 0.00005 | loss  3.023
EP  27 | time 12.74s | reward  51087.9 | evac 398 | died  82 | eps 0.219 | lr 0.00005 | loss  3.331
EP  28 | time 12.37s | reward  48881.1 | evac 372 | died 108 | eps 0.206 | lr 0.00004 | loss  3.257
EP  29 | time 12.50s | reward  54181.4 | evac 395 | died  85 | eps 0.194 | lr 0.00004 | loss  3.088
EP  30 | time 13.29s | reward  51638.7 | evac 370 | died 110 | eps 0.182 | lr 0.00004 | loss  2.966
EP  31 | time 12.25s | reward  49233.4 | evac 370 | died 110 | eps 0.172 | lr 0.00004 | loss  3.228
EP  32 | time 11.29s | reward  41181.0 | evac 390 | died  90 | eps 0.163 | lr 0.00003 | loss  3.440
EP  33 | time 12.92s | reward  47883.1 | evac 395 | died  85 | eps 0.154 | lr 0.00003 | loss  3.131
EP  34 | time 12.41s | reward  46775.1 | evac 389 | died  91 | eps 0.146 | lr 0.00003 | loss  2.874
EP  35 | time 13.70s | reward  52156.4 | evac 390 | died  90 | eps 0.137 | lr 0.00003 | loss  2.573
EP  36 | time 13.59s | reward  53102.9 | evac 400 | died  80 | eps 0.129 | lr 0.00003 | loss  2.801
EP  37 | time 14.38s | reward  52467.1 | evac 389 | died  91 | eps 0.121 | lr 0.00002 | loss  2.699
EP  38 | time 14.80s | reward  50119.5 | evac 399 | died  81 | eps 0.114 | lr 0.00002 | loss  2.537
EP  39 | time 15.01s | reward  51939.3 | evac 396 | died  84 | eps 0.107 | lr 0.00002 | loss  2.289
EP  40 | time 14.85s | reward  46685.6 | evac 355 | died 125 | eps 0.101 | lr 0.00002 | loss  2.284
EP  41 | time 13.60s | reward  41193.0 | evac 358 | died 122 | eps 0.095 | lr 0.00002 | loss  2.244
EP  42 | time 10.41s | reward  43968.7 | evac 366 | died 114 | eps 0.090 | lr 0.00002 | loss  2.362
EP  43 | time  9.63s | reward  36261.5 | evac 350 | died 130 | eps 0.086 | lr 0.00002 | loss  2.268
EP  44 | time 10.15s | reward  39862.5 | evac 371 | died 109 | eps 0.081 | lr 0.00002 | loss  2.351
EP  45 | time 10.62s | reward  45595.1 | evac 377 | died 103 | eps 0.077 | lr 0.00001 | loss  2.029
EP  46 | time 10.31s | reward  33829.0 | evac 336 | died 144 | eps 0.073 | lr 0.00001 | loss  1.747
EP  47 | time  9.62s | reward  43274.9 | evac 352 | died 128 | eps 0.068 | lr 0.00001 | loss  1.944
EP  48 | time  8.87s | reward  43798.0 | evac 363 | died 117 | eps 0.065 | lr 0.00001 | loss  1.590
EP  49 | time  9.18s | reward  46311.4 | evac 367 | died 113 | eps 0.061 | lr 0.00001 | loss  1.870
