Using device: cuda
EP   1 | time 12.94s | reward -21713.0 | evac  59 | died 421 | eps 0.950 | lr 0.00028 | loss  0.596
EP   2 | time  8.03s | reward -21201.5 | evac  62 | died 418 | eps 0.901 | lr 0.00026 | loss  0.161
EP   3 | time  9.34s | reward -25691.3 | evac  74 | died 406 | eps 0.850 | lr 0.00024 | loss  0.170
EP   4 | time  8.98s | reward -21853.1 | evac  76 | died 404 | eps 0.805 | lr 0.00023 | loss  0.234
EP   5 | time  8.74s | reward -21812.4 | evac  98 | died 382 | eps 0.763 | lr 0.00021 | loss  0.410
EP   6 | time  8.29s | reward -20068.6 | evac 127 | died 353 | eps 0.724 | lr 0.00020 | loss  0.600
EP   7 | time  9.16s | reward -23784.5 | evac 146 | died 334 | eps 0.682 | lr 0.00019 | loss  1.133
EP   8 | time  8.53s | reward -20790.5 | evac 161 | died 319 | eps 0.646 | lr 0.00017 | loss  1.769
EP   9 | time  9.04s | reward -21827.3 | evac 178 | died 302 | eps 0.611 | lr 0.00016 | loss  2.241
EP  10 | time  8.79s | reward -20059.9 | evac 208 | died 272 | eps 0.578 | lr 0.00015 | loss  2.720
EP  11 | time  8.21s | reward -21215.0 | evac 232 | died 248 | eps 0.547 | lr 0.00014 | loss  3.933
EP  12 | time  9.13s | reward -21853.1 | evac 239 | died 241 | eps 0.516 | lr 0.00013 | loss  5.625
EP  13 | time  9.11s | reward -22508.1 | evac 254 | died 226 | eps 0.486 | lr 0.00012 | loss  6.627
EP  14 | time  8.85s | reward -18994.5 | evac 272 | died 208 | eps 0.460 | lr 0.00012 | loss  8.553
EP  15 | time  8.96s | reward -19522.9 | evac 280 | died 200 | eps 0.435 | lr 0.00011 | loss 12.966
EP  16 | time  8.27s | reward -19839.5 | evac 286 | died 194 | eps 0.412 | lr 0.00010 | loss 14.872
EP  17 | time  9.50s | reward -21082.3 | evac 308 | died 172 | eps 0.388 | lr 0.00009 | loss 16.942
EP  18 | time  9.41s | reward -22233.1 | evac 295 | died 185 | eps 0.366 | lr 0.00009 | loss 19.245
EP  19 | time  8.34s | reward -19400.1 | evac 301 | died 179 | eps 0.346 | lr 0.00008 | loss 24.038
EP  20 | time  9.33s | reward -18903.4 | evac 318 | died 162 | eps 0.327 | lr 0.00008 | loss 28.578
EP  21 | time 10.21s | reward -21832.5 | evac 331 | died 149 | eps 0.308 | lr 0.00007 | loss 36.999
EP  22 | time  7.83s | reward -17253.9 | evac 321 | died 159 | eps 0.292 | lr 0.00007 | loss 44.568
EP  23 | time  8.86s | reward -18588.2 | evac 329 | died 151 | eps 0.276 | lr 0.00006 | loss 48.089
EP  24 | time  9.11s | reward -20444.4 | evac 333 | died 147 | eps 0.261 | lr 0.00006 | loss 51.009
EP  25 | time  7.97s | reward -15815.1 | evac 329 | died 151 | eps 0.248 | lr 0.00005 | loss 56.194
EP  26 | time  8.18s | reward -17263.0 | evac 329 | died 151 | eps 0.235 | lr 0.00005 | loss 61.700
EP  27 | time  9.03s | reward -21590.8 | evac 346 | died 134 | eps 0.221 | lr 0.00005 | loss 67.139
EP  28 | time  8.42s | reward -18829.7 | evac 343 | died 137 | eps 0.210 | lr 0.00004 | loss 71.847
EP  29 | time  8.01s | reward -17098.5 | evac 344 | died 136 | eps 0.198 | lr 0.00004 | loss 79.974
EP  30 | time  8.27s | reward -15374.3 | evac 348 | died 132 | eps 0.188 | lr 0.00004 | loss 86.506
EP  31 | time  9.57s | reward -25435.9 | evac 352 | died 128 | eps 0.176 | lr 0.00004 | loss 86.802
EP  32 | time  7.77s | reward -15049.4 | evac 357 | died 123 | eps 0.168 | lr 0.00003 | loss 99.223
EP  33 | time  8.46s | reward -17842.3 | evac 360 | died 120 | eps 0.159 | lr 0.00003 | loss 107.965
EP  34 | time  8.23s | reward -19374.7 | evac 361 | died 119 | eps 0.150 | lr 0.00003 | loss 105.172
EP  35 | time  8.22s | reward -18343.6 | evac 366 | died 114 | eps 0.142 | lr 0.00003 | loss 114.860
EP  36 | time  8.53s | reward -21094.2 | evac 361 | died 119 | eps 0.134 | lr 0.00003 | loss 125.593
EP  37 | time  7.21s | reward -15042.2 | evac 355 | died 125 | eps 0.127 | lr 0.00002 | loss 129.041
EP  38 | time  8.15s | reward -18664.6 | evac 362 | died 118 | eps 0.120 | lr 0.00002 | loss 139.795
EP  39 | time  7.85s | reward -20955.9 | evac 366 | died 114 | eps 0.113 | lr 0.00002 | loss 140.523
EP  40 | time  7.42s | reward -13997.9 | evac 370 | died 110 | eps 0.108 | lr 0.00002 | loss 149.836
EP  41 | time  7.93s | reward -16397.6 | evac 362 | died 118 | eps 0.102 | lr 0.00002 | loss 151.645
EP  42 | time  7.93s | reward -20554.2 | evac 368 | died 112 | eps 0.096 | lr 0.00002 | loss 159.328
EP  43 | time  8.87s | reward -23175.6 | evac 358 | died 122 | eps 0.091 | lr 0.00002 | loss 156.497
EP  44 | time  8.22s | reward -18978.7 | evac 359 | died 121 | eps 0.086 | lr 0.00002 | loss 161.476
