Using device: cuda
EP   1 | time 23.60s | reward -21916.9 | evac  64 | died 416 | eps 0.948 | lr 0.00028 | loss  0.728
EP   2 | time  9.24s | reward -18899.0 | evac  64 | died 416 | eps 0.902 | lr 0.00026 | loss  0.141
EP   3 | time 10.58s | reward -23914.7 | evac  95 | died 385 | eps 0.852 | lr 0.00024 | loss  0.259
EP   4 | time 11.30s | reward -21342.8 | evac 111 | died 369 | eps 0.807 | lr 0.00023 | loss  0.439
EP   5 | time  9.31s | reward -18062.0 | evac 139 | died 341 | eps 0.768 | lr 0.00021 | loss  0.746
EP   6 | time  9.57s | reward -18377.3 | evac 144 | died 336 | eps 0.730 | lr 0.00020 | loss  0.999
EP   7 | time  9.73s | reward -21333.3 | evac 166 | died 314 | eps 0.691 | lr 0.00019 | loss  1.601
EP   8 | time  9.14s | reward -15694.2 | evac 189 | died 291 | eps 0.658 | lr 0.00017 | loss  2.089
EP   9 | time 10.73s | reward -21708.6 | evac 197 | died 283 | eps 0.621 | lr 0.00016 | loss  3.220
EP  10 | time  9.05s | reward -15273.6 | evac 224 | died 256 | eps 0.592 | lr 0.00015 | loss  3.721
EP  11 | time 10.14s | reward -16389.2 | evac 248 | died 232 | eps 0.562 | lr 0.00014 | loss  4.553
EP  12 | time  9.67s | reward -18051.8 | evac 263 | died 217 | eps 0.533 | lr 0.00013 | loss  6.100
EP  13 | time  8.78s | reward -15191.8 | evac 255 | died 225 | eps 0.507 | lr 0.00012 | loss  6.372
EP  14 | time 10.02s | reward -18499.1 | evac 285 | died 195 | eps 0.480 | lr 0.00012 | loss  7.214
EP  15 | time  9.37s | reward -16518.5 | evac 287 | died 193 | eps 0.455 | lr 0.00011 | loss  8.898
EP  16 | time  9.48s | reward -14548.1 | evac 310 | died 170 | eps 0.433 | lr 0.00010 | loss  9.384
EP  17 | time  9.67s | reward -18203.3 | evac 299 | died 181 | eps 0.410 | lr 0.00009 | loss 10.472
EP  18 | time  9.60s | reward -18374.9 | evac 318 | died 162 | eps 0.389 | lr 0.00009 | loss 10.873
EP  19 | time  9.64s | reward -15558.1 | evac 315 | died 165 | eps 0.369 | lr 0.00008 | loss 12.317
EP  20 | time  9.45s | reward -16161.0 | evac 329 | died 151 | eps 0.351 | lr 0.00008 | loss 13.765
EP  21 | time  9.81s | reward -16668.4 | evac 332 | died 148 | eps 0.333 | lr 0.00007 | loss 14.351
