Using device: cuda
EP   1 | time 19.78s | reward -15889.5 | evac 155 | died 325 | eps  nan | lr 0.00028 | loss  1.067
EP   2 | time  9.93s | reward  -7783.1 | evac 139 | died 341 | eps  nan | lr 0.00026 | loss  0.487
EP   3 | time  9.72s | reward  41906.0 | evac 382 | died  98 | eps  nan | lr 0.00024 | loss  0.379
EP   4 | time  9.35s | reward  33932.2 | evac 346 | died 134 | eps  nan | lr 0.00023 | loss  0.493
EP   5 | time  8.65s | reward  44189.5 | evac 376 | died 104 | eps  nan | lr 0.00021 | loss  0.884
EP   6 | time  8.29s | reward  49665.1 | evac 411 | died  69 | eps  nan | lr 0.00020 | loss  1.626
EP   7 | time  8.62s | reward  51758.0 | evac 430 | died  50 | eps  nan | lr 0.00019 | loss  1.985
EP   8 | time  8.10s | reward  48265.0 | evac 430 | died  50 | eps  nan | lr 0.00017 | loss  2.459
EP   9 | time  9.35s | reward  56297.3 | evac 429 | died  51 | eps  nan | lr 0.00016 | loss  2.610
EP  10 | time  8.78s | reward  47199.3 | evac 413 | died  67 | eps  nan | lr 0.00015 | loss  3.029
EP  11 | time  8.62s | reward  49436.7 | evac 401 | died  79 | eps  nan | lr 0.00014 | loss  3.901
EP  12 | time  9.24s | reward  53093.4 | evac 424 | died  56 | eps  nan | lr 0.00013 | loss  3.704
EP  13 | time  9.48s | reward  58630.2 | evac 441 | died  39 | eps  nan | lr 0.00012 | loss  4.105
EP  14 | time  9.57s | reward  51879.6 | evac 416 | died  64 | eps  nan | lr 0.00012 | loss  3.907
EP  15 | time  9.32s | reward  54408.3 | evac 430 | died  50 | eps  nan | lr 0.00011 | loss  4.095
EP  16 | time  8.77s | reward  52454.3 | evac 439 | died  41 | eps  nan | lr 0.00010 | loss  3.786
EP  17 | time  9.10s | reward  53741.3 | evac 440 | died  40 | eps  nan | lr 0.00009 | loss  3.264
EP  18 | time  8.89s | reward  47068.5 | evac 404 | died  76 | eps  nan | lr 0.00009 | loss  2.991
EP  19 | time  7.91s | reward  43705.3 | evac 400 | died  80 | eps  nan | lr 0.00008 | loss  2.758
EP  20 | time  9.19s | reward  47429.9 | evac 411 | died  69 | eps  nan | lr 0.00008 | loss  2.715
EP  21 | time  8.67s | reward  45215.3 | evac 403 | died  77 | eps  nan | lr 0.00007 | loss  2.689
EP  22 | time  9.53s | reward  49276.1 | evac 410 | died  70 | eps  nan | lr 0.00007 | loss  2.509
EP  23 | time  9.23s | reward  52803.6 | evac 403 | died  77 | eps  nan | lr 0.00006 | loss  2.562
EP  24 | time  8.72s | reward  48552.3 | evac 399 | died  81 | eps  nan | lr 0.00006 | loss  2.503
EP  25 | time  8.84s | reward  44843.3 | evac 412 | died  68 | eps  nan | lr 0.00005 | loss  2.330
EP  26 | time  8.83s | reward  44675.7 | evac 409 | died  71 | eps  nan | lr 0.00005 | loss  2.344
EP  27 | time  9.40s | reward  49570.6 | evac 393 | died  87 | eps  nan | lr 0.00005 | loss  2.265
EP  28 | time  8.90s | reward  49535.9 | evac 413 | died  67 | eps  nan | lr 0.00004 | loss  2.284
EP  29 | time  8.76s | reward  40901.1 | evac 379 | died 101 | eps  nan | lr 0.00004 | loss  2.238
EP  30 | time  8.91s | reward  40005.1 | evac 388 | died  92 | eps  nan | lr 0.00004 | loss  2.248
EP  31 | time  9.10s | reward  45997.3 | evac 389 | died  91 | eps  nan | lr 0.00004 | loss  2.271
EP  32 | time  8.93s | reward  45917.4 | evac 397 | died  83 | eps  nan | lr 0.00003 | loss  2.316
EP  33 | time  9.21s | reward  42775.2 | evac 388 | died  92 | eps  nan | lr 0.00003 | loss  2.320
EP  34 | time  9.16s | reward  45906.6 | evac 386 | died  94 | eps  nan | lr 0.00003 | loss  2.144
EP  35 | time 10.09s | reward  46137.5 | evac 394 | died  86 | eps  nan | lr 0.00003 | loss  2.202
EP  36 | time  9.91s | reward  46586.4 | evac 399 | died  81 | eps  nan | lr 0.00003 | loss  2.252
EP  37 | time  9.06s | reward  43674.7 | evac 389 | died  91 | eps  nan | lr 0.00002 | loss  2.375
EP  38 | time  9.11s | reward  47723.4 | evac 422 | died  58 | eps  nan | lr 0.00002 | loss  2.282
EP  39 | time  9.27s | reward  44478.6 | evac 420 | died  60 | eps  nan | lr 0.00002 | loss  2.410
EP  40 | time  8.35s | reward  44241.9 | evac 414 | died  66 | eps  nan | lr 0.00002 | loss  2.576
EP  41 | time  9.20s | reward  45301.2 | evac 425 | died  55 | eps  nan | lr 0.00002 | loss  2.569
EP  42 | time  8.94s | reward  49544.8 | evac 407 | died  73 | eps  nan | lr 0.00002 | loss  2.626
EP  43 | time  8.45s | reward  43003.6 | evac 405 | died  75 | eps  nan | lr 0.00002 | loss  2.697
EP  44 | time  8.58s | reward  47964.8 | evac 422 | died  58 | eps  nan | lr 0.00002 | loss  2.804
EP  45 | time  8.45s | reward  53623.2 | evac 429 | died  51 | eps  nan | lr 0.00001 | loss  2.734
EP  46 | time  9.53s | reward  46229.1 | evac 424 | died  56 | eps  nan | lr 0.00001 | loss  2.741
EP  47 | time  8.24s | reward  42028.1 | evac 406 | died  74 | eps  nan | lr 0.00001 | loss  2.741
EP  48 | time  8.53s | reward  47193.6 | evac 426 | died  54 | eps  nan | lr 0.00001 | loss  2.661
EP  49 | time  8.86s | reward  46126.2 | evac 426 | died  54 | eps  nan | lr 0.00001 | loss  2.744
EP  50 | time  8.61s | reward  49633.7 | evac 422 | died  58 | eps  nan | lr 0.00001 | loss  2.707
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_9_NoisyDuelingDDQN.csv
