Using device: cuda
EP   1 | time 26.79s | reward -17786.5 | evac  20 | died 460 | eps  nan | lr 0.00028 | loss  1.155
EP   2 | time 10.51s | reward -17822.8 | evac  46 | died 434 | eps  nan | lr 0.00026 | loss  0.348
EP   3 | time 10.57s | reward  -9422.9 | evac  71 | died 409 | eps  nan | lr 0.00024 | loss  0.238
EP   4 | time 10.29s | reward  -6204.6 | evac  90 | died 390 | eps  nan | lr 0.00023 | loss  0.324
EP   5 | time 10.37s | reward   5212.1 | evac 192 | died 288 | eps  nan | lr 0.00021 | loss  0.364
EP   6 | time 10.03s | reward   8962.5 | evac 188 | died 292 | eps  nan | lr 0.00020 | loss  0.466
EP   7 | time  8.84s | reward  26969.8 | evac 308 | died 172 | eps  nan | lr 0.00019 | loss  0.787
EP   8 | time  9.20s | reward  47293.7 | evac 377 | died 103 | eps  nan | lr 0.00017 | loss  1.246
EP   9 | time  9.15s | reward  44951.8 | evac 368 | died 112 | eps  nan | lr 0.00016 | loss  1.964
EP  10 | time  9.34s | reward  46828.9 | evac 346 | died 134 | eps  nan | lr 0.00015 | loss  2.710
EP  11 | time  9.24s | reward  51015.3 | evac 385 | died  95 | eps  nan | lr 0.00014 | loss  3.516
EP  12 | time  8.54s | reward  48358.6 | evac 376 | died 104 | eps  nan | lr 0.00013 | loss  4.578
EP  13 | time  9.17s | reward  53638.7 | evac 387 | died  93 | eps  nan | lr 0.00012 | loss  5.582
EP  14 | time  9.29s | reward  53989.9 | evac 401 | died  79 | eps  nan | lr 0.00012 | loss  6.297
EP  15 | time  8.21s | reward  43374.1 | evac 374 | died 106 | eps  nan | lr 0.00011 | loss  7.152
EP  16 | time  8.47s | reward  48649.5 | evac 391 | died  89 | eps  nan | lr 0.00010 | loss  9.292
EP  17 | time  9.70s | reward  53444.5 | evac 388 | died  92 | eps  nan | lr 0.00009 | loss 10.450
EP  18 | time  8.79s | reward  54995.9 | evac 417 | died  63 | eps  nan | lr 0.00009 | loss 11.854
EP  19 | time  9.54s | reward  51612.5 | evac 408 | died  72 | eps  nan | lr 0.00008 | loss 12.410
EP  20 | time  8.58s | reward  49154.4 | evac 409 | died  71 | eps  nan | lr 0.00008 | loss 14.951
EP  21 | time  8.49s | reward  51198.4 | evac 409 | died  71 | eps  nan | lr 0.00007 | loss 15.320
EP  22 | time  9.24s | reward  51264.5 | evac 395 | died  85 | eps  nan | lr 0.00007 | loss 18.861
EP  23 | time  9.18s | reward  53155.5 | evac 409 | died  71 | eps  nan | lr 0.00006 | loss 20.450
EP  24 | time  9.37s | reward  53788.5 | evac 419 | died  61 | eps  nan | lr 0.00006 | loss 22.343
EP  25 | time  9.04s | reward  48914.3 | evac 410 | died  70 | eps  nan | lr 0.00005 | loss 24.415
EP  26 | time  8.58s | reward  51227.1 | evac 431 | died  49 | eps  nan | lr 0.00005 | loss 26.360
EP  27 | time  9.10s | reward  56487.3 | evac 416 | died  64 | eps  nan | lr 0.00005 | loss 27.950
EP  28 | time  8.97s | reward  51870.5 | evac 417 | died  63 | eps  nan | lr 0.00004 | loss 29.668
EP  29 | time  8.39s | reward  47911.4 | evac 409 | died  71 | eps  nan | lr 0.00004 | loss 31.679
EP  30 | time  8.89s | reward  54069.0 | evac 404 | died  76 | eps  nan | lr 0.00004 | loss 31.919
EP  31 | time  8.83s | reward  52095.9 | evac 414 | died  66 | eps  nan | lr 0.00004 | loss 30.449
EP  32 | time  8.43s | reward  49722.7 | evac 406 | died  74 | eps  nan | lr 0.00003 | loss 34.508
EP  33 | time  9.02s | reward  54162.3 | evac 408 | died  72 | eps  nan | lr 0.00003 | loss 32.341
EP  34 | time  9.49s | reward  48140.2 | evac 376 | died 104 | eps  nan | lr 0.00003 | loss 33.301
EP  35 | time  9.60s | reward  53885.8 | evac 408 | died  72 | eps  nan | lr 0.00003 | loss 32.714
EP  36 | time  8.77s | reward  50818.2 | evac 407 | died  73 | eps  nan | lr 0.00003 | loss 33.810
EP  37 | time  8.93s | reward  49933.5 | evac 402 | died  78 | eps  nan | lr 0.00002 | loss 34.019
EP  38 | time  8.90s | reward  42969.6 | evac 383 | died  97 | eps  nan | lr 0.00002 | loss 32.054
EP  39 | time  8.96s | reward  47916.0 | evac 402 | died  78 | eps  nan | lr 0.00002 | loss 33.430
EP  40 | time  9.17s | reward  53443.3 | evac 415 | died  65 | eps  nan | lr 0.00002 | loss 33.663
EP  41 | time  9.62s | reward  48106.0 | evac 395 | died  85 | eps  nan | lr 0.00002 | loss 33.359
EP  42 | time  9.47s | reward  48280.1 | evac 398 | died  82 | eps  nan | lr 0.00002 | loss 33.988
EP  43 | time  9.12s | reward  48630.9 | evac 393 | died  87 | eps  nan | lr 0.00002 | loss 34.906
EP  44 | time  9.89s | reward  47757.2 | evac 409 | died  71 | eps  nan | lr 0.00002 | loss 36.393
EP  45 | time  9.03s | reward  51656.8 | evac 409 | died  71 | eps  nan | lr 0.00001 | loss 33.924
EP  46 | time  9.82s | reward  49270.5 | evac 401 | died  79 | eps  nan | lr 0.00001 | loss 36.875
EP  47 | time  8.82s | reward  45225.4 | evac 403 | died  77 | eps  nan | lr 0.00001 | loss 36.452
EP  48 | time  8.08s | reward  53401.4 | evac 403 | died  77 | eps  nan | lr 0.00001 | loss 37.658
EP  49 | time  6.97s | reward  46133.4 | evac 396 | died  84 | eps  nan | lr 0.00001 | loss 38.472
EP  50 | time  7.74s | reward  46084.9 | evac 393 | died  87 | eps  nan | lr 0.00001 | loss 38.722
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_15_NoisyDuelingDDQN.csv
