Using device: cuda
EP   1 | time 21.89s | reward -15435.6 | evac  56 | died 424 | eps  nan | lr 0.00028 | loss  1.177
EP   2 | time 11.55s | reward  10931.3 | evac 193 | died 287 | eps  nan | lr 0.00026 | loss  0.494
EP   3 | time 11.00s | reward  21513.2 | evac 225 | died 255 | eps  nan | lr 0.00024 | loss  0.536
EP   4 | time 11.31s | reward  31885.6 | evac 307 | died 173 | eps  nan | lr 0.00023 | loss  0.922
EP   5 | time 10.01s | reward  47951.5 | evac 385 | died  95 | eps  nan | lr 0.00021 | loss  1.712
EP   6 | time  9.54s | reward  49250.9 | evac 387 | died  93 | eps  nan | lr 0.00020 | loss  2.605
EP   7 | time  9.59s | reward  51983.7 | evac 421 | died  59 | eps  nan | lr 0.00019 | loss  3.269
EP   8 | time  9.68s | reward  51846.9 | evac 420 | died  60 | eps  nan | lr 0.00017 | loss  3.197
EP   9 | time  9.44s | reward  53294.6 | evac 411 | died  69 | eps  nan | lr 0.00016 | loss  4.927
EP  10 | time 10.34s | reward  59392.6 | evac 414 | died  66 | eps  nan | lr 0.00015 | loss  7.221
EP  11 | time  9.71s | reward  55105.6 | evac 411 | died  69 | eps  nan | lr 0.00014 | loss  7.167
EP  12 | time  9.83s | reward  51475.7 | evac 415 | died  65 | eps  nan | lr 0.00013 | loss  7.959
EP  13 | time  9.42s | reward  50938.7 | evac 407 | died  73 | eps  nan | lr 0.00012 | loss  8.857
EP  14 | time 10.06s | reward  54790.2 | evac 413 | died  67 | eps  nan | lr 0.00012 | loss  8.931
EP  15 | time 10.47s | reward  54714.8 | evac 409 | died  71 | eps  nan | lr 0.00011 | loss 10.576
EP  16 | time 10.35s | reward  57950.2 | evac 401 | died  79 | eps  nan | lr 0.00010 | loss 11.444
EP  17 | time 10.83s | reward  53886.0 | evac 390 | died  90 | eps  nan | lr 0.00009 | loss 12.123
EP  18 | time 10.29s | reward  50900.9 | evac 384 | died  96 | eps  nan | lr 0.00009 | loss 12.449
EP  19 | time 10.64s | reward  53336.4 | evac 394 | died  86 | eps  nan | lr 0.00008 | loss 13.790
EP  20 | time 10.46s | reward  48606.7 | evac 391 | died  89 | eps  nan | lr 0.00008 | loss 14.250
EP  21 | time 10.21s | reward  53210.4 | evac 403 | died  77 | eps  nan | lr 0.00007 | loss 14.736
EP  22 | time 10.58s | reward  57761.2 | evac 409 | died  71 | eps  nan | lr 0.00007 | loss 15.479
EP  23 | time 12.08s | reward  63652.5 | evac 412 | died  68 | eps  nan | lr 0.00006 | loss 16.488
EP  24 | time  9.91s | reward  52183.8 | evac 400 | died  80 | eps  nan | lr 0.00006 | loss 16.824
EP  25 | time  9.38s | reward  53689.7 | evac 423 | died  57 | eps  nan | lr 0.00005 | loss 16.483
EP  26 | time 10.38s | reward  48624.3 | evac 385 | died  95 | eps  nan | lr 0.00005 | loss 18.267
EP  27 | time  9.99s | reward  57198.2 | evac 409 | died  71 | eps  nan | lr 0.00005 | loss 18.360
EP  28 | time 10.13s | reward  53224.9 | evac 411 | died  69 | eps  nan | lr 0.00004 | loss 17.510
EP  29 | time 10.81s | reward  52462.9 | evac 395 | died  85 | eps  nan | lr 0.00004 | loss 16.029
EP  30 | time 10.04s | reward  49396.6 | evac 390 | died  90 | eps  nan | lr 0.00004 | loss 15.128
EP  31 | time 10.59s | reward  55977.3 | evac 397 | died  83 | eps  nan | lr 0.00004 | loss 14.641
EP  32 | time 11.56s | reward  54958.7 | evac 402 | died  78 | eps  nan | lr 0.00003 | loss 13.355
EP  33 | time 10.10s | reward  49782.5 | evac 383 | died  97 | eps  nan | lr 0.00003 | loss 12.920
EP  34 | time 10.30s | reward  50110.5 | evac 395 | died  85 | eps  nan | lr 0.00003 | loss 11.857
EP  35 | time 11.19s | reward  49738.8 | evac 396 | died  84 | eps  nan | lr 0.00003 | loss 10.928
EP  36 | time 10.27s | reward  41960.0 | evac 370 | died 110 | eps  nan | lr 0.00003 | loss 10.827
EP  37 | time 11.22s | reward  38632.9 | evac 336 | died 144 | eps  nan | lr 0.00002 | loss  9.919
EP  38 | time 10.28s | reward  39537.7 | evac 356 | died 124 | eps  nan | lr 0.00002 | loss 10.371
EP  39 | time 10.79s | reward  41316.8 | evac 359 | died 121 | eps  nan | lr 0.00002 | loss  9.769
EP  40 | time 10.90s | reward  38642.0 | evac 347 | died 133 | eps  nan | lr 0.00002 | loss  9.099
EP  41 | time 12.74s | reward  47625.6 | evac 380 | died 100 | eps  nan | lr 0.00002 | loss  9.297
EP  42 | time 10.30s | reward  38029.2 | evac 357 | died 123 | eps  nan | lr 0.00002 | loss  8.705
EP  43 | time 11.56s | reward  32546.6 | evac 301 | died 179 | eps  nan | lr 0.00002 | loss  8.367
EP  44 | time 10.91s | reward  37937.5 | evac 361 | died 119 | eps  nan | lr 0.00002 | loss  7.937
EP  45 | time 10.81s | reward  40022.8 | evac 348 | died 132 | eps  nan | lr 0.00001 | loss  8.115
EP  46 | time 10.84s | reward  38736.5 | evac 359 | died 121 | eps  nan | lr 0.00001 | loss  7.776
EP  47 | time 10.48s | reward  46091.7 | evac 381 | died  99 | eps  nan | lr 0.00001 | loss  7.639
EP  48 | time 11.24s | reward  42202.9 | evac 363 | died 117 | eps  nan | lr 0.00001 | loss  7.469
EP  49 | time 10.15s | reward  42453.4 | evac 346 | died 134 | eps  nan | lr 0.00001 | loss  7.204
EP  50 | time  9.28s | reward  43511.3 | evac 365 | died 115 | eps  nan | lr 0.00001 | loss  7.110
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_10_NoisyDuelingDDQN.csv
