Using device: cuda
EP   1 | time 23.45s | reward -12969.3 | evac  70 | died 410 | eps 0.949 | lr 0.00028 | loss  0.293
EP   2 | time 10.69s | reward  -5589.1 | evac 121 | died 359 | eps 0.895 | lr 0.00026 | loss  0.080
EP   3 | time 10.72s | reward   -868.1 | evac 160 | died 320 | eps 0.847 | lr 0.00024 | loss  0.125
EP   4 | time 12.17s | reward   4711.0 | evac 201 | died 279 | eps 0.800 | lr 0.00023 | loss  0.205
EP   5 | time 11.21s | reward  11406.9 | evac 293 | died 187 | eps 0.756 | lr 0.00021 | loss  0.373
EP   6 | time 10.42s | reward  13945.3 | evac 265 | died 215 | eps 0.715 | lr 0.00020 | loss  0.545
EP   7 | time 11.53s | reward  22266.7 | evac 336 | died 144 | eps 0.675 | lr 0.00019 | loss  0.679
EP   8 | time 10.85s | reward  18449.8 | evac 313 | died 167 | eps 0.639 | lr 0.00017 | loss  0.750
EP   9 | time 10.88s | reward  15296.4 | evac 277 | died 203 | eps 0.605 | lr 0.00016 | loss  0.914
EP  10 | time 11.29s | reward  15911.8 | evac 281 | died 199 | eps 0.573 | lr 0.00015 | loss  0.943
EP  11 | time 10.98s | reward  18468.2 | evac 299 | died 181 | eps 0.544 | lr 0.00014 | loss  1.023
EP  12 | time 11.40s | reward  18383.1 | evac 270 | died 210 | eps 0.514 | lr 0.00013 | loss  1.137
EP  13 | time 11.78s | reward  19076.2 | evac 260 | died 220 | eps 0.486 | lr 0.00012 | loss  1.090
EP  14 | time 11.90s | reward  22830.6 | evac 278 | died 202 | eps 0.460 | lr 0.00012 | loss  1.338
EP  15 | time 11.50s | reward  20465.1 | evac 263 | died 217 | eps 0.435 | lr 0.00011 | loss  1.464
EP  16 | time 11.89s | reward  28530.2 | evac 334 | died 146 | eps 0.412 | lr 0.00010 | loss  1.318
EP  17 | time 12.94s | reward  26701.3 | evac 299 | died 181 | eps 0.389 | lr 0.00009 | loss  1.373
EP  18 | time 12.66s | reward  21931.4 | evac 276 | died 204 | eps 0.367 | lr 0.00009 | loss  1.493
EP  19 | time 11.80s | reward  26160.5 | evac 301 | died 179 | eps 0.348 | lr 0.00008 | loss  1.445
EP  20 | time 12.03s | reward  25470.6 | evac 311 | died 169 | eps 0.329 | lr 0.00008 | loss  1.470
EP  21 | time 13.07s | reward  27392.4 | evac 296 | died 184 | eps 0.311 | lr 0.00007 | loss  1.366
EP  22 | time 12.72s | reward  23119.0 | evac 300 | died 180 | eps 0.295 | lr 0.00007 | loss  1.277
EP  23 | time 12.65s | reward  23547.6 | evac 304 | died 176 | eps 0.279 | lr 0.00006 | loss  1.314
EP  24 | time 12.14s | reward  22595.8 | evac 313 | died 167 | eps 0.265 | lr 0.00006 | loss  1.367
EP  25 | time 12.72s | reward  28198.0 | evac 311 | died 169 | eps 0.250 | lr 0.00005 | loss  1.342
EP  26 | time 12.60s | reward  23035.2 | evac 311 | died 169 | eps 0.237 | lr 0.00005 | loss  1.289
EP  27 | time 13.51s | reward  24884.7 | evac 324 | died 156 | eps 0.224 | lr 0.00005 | loss  1.323
EP  28 | time 13.86s | reward  27799.3 | evac 320 | died 160 | eps 0.212 | lr 0.00004 | loss  1.243
EP  29 | time 14.17s | reward  27474.6 | evac 321 | died 159 | eps 0.200 | lr 0.00004 | loss  1.345
EP  30 | time 14.86s | reward  31233.9 | evac 326 | died 154 | eps 0.188 | lr 0.00004 | loss  1.250
EP  31 | time 14.28s | reward  31561.9 | evac 331 | died 149 | eps 0.178 | lr 0.00004 | loss  1.191
EP  32 | time 14.43s | reward  30211.4 | evac 323 | died 157 | eps 0.168 | lr 0.00003 | loss  1.172
EP  33 | time 14.35s | reward  32169.4 | evac 345 | died 135 | eps 0.158 | lr 0.00003 | loss  1.182
EP  34 | time 14.58s | reward  31333.6 | evac 340 | died 140 | eps 0.149 | lr 0.00003 | loss  1.195
EP  35 | time 14.53s | reward  30042.7 | evac 357 | died 123 | eps 0.141 | lr 0.00003 | loss  1.107
EP  36 | time 14.29s | reward  30304.2 | evac 338 | died 142 | eps 0.133 | lr 0.00003 | loss  1.086
EP  37 | time 15.59s | reward  35173.7 | evac 354 | died 126 | eps 0.126 | lr 0.00002 | loss  1.082
