Using device: cuda
EP   1 | time 14.06s | reward -18381.4 | evac  60 | died 420 | eps  nan | lr 0.00028 | loss  1.035
EP   2 | time  8.84s | reward   -886.6 | evac 225 | died 255 | eps  nan | lr 0.00026 | loss  0.405
EP   3 | time  9.11s | reward  17568.5 | evac 313 | died 167 | eps  nan | lr 0.00024 | loss  0.343
EP   4 | time  9.05s | reward  34088.1 | evac 326 | died 154 | eps  nan | lr 0.00023 | loss  0.352
EP   5 | time 10.07s | reward  45765.9 | evac 335 | died 145 | eps  nan | lr 0.00021 | loss  0.506
EP   6 | time  8.90s | reward  40929.7 | evac 362 | died 118 | eps  nan | lr 0.00020 | loss  0.622
EP   7 | time  9.23s | reward  41142.6 | evac 320 | died 160 | eps  nan | lr 0.00019 | loss  0.743
EP   8 | time  9.18s | reward  39509.2 | evac 327 | died 153 | eps  nan | lr 0.00017 | loss  0.760
EP   9 | time  9.43s | reward  41265.8 | evac 318 | died 162 | eps  nan | lr 0.00016 | loss  0.697
EP  10 | time  9.75s | reward  39131.5 | evac 320 | died 160 | eps  nan | lr 0.00015 | loss  0.809
EP  11 | time  9.00s | reward  41173.7 | evac 341 | died 139 | eps  nan | lr 0.00014 | loss  1.071
EP  12 | time  9.31s | reward  41372.3 | evac 339 | died 141 | eps  nan | lr 0.00013 | loss  1.179
EP  13 | time  9.40s | reward  42934.8 | evac 341 | died 139 | eps  nan | lr 0.00012 | loss  1.748
EP  14 | time  8.68s | reward  42073.0 | evac 346 | died 134 | eps  nan | lr 0.00012 | loss  1.949
EP  15 | time  9.10s | reward  44595.6 | evac 350 | died 130 | eps  nan | lr 0.00011 | loss  2.632
EP  16 | time  8.49s | reward  41347.4 | evac 333 | died 147 | eps  nan | lr 0.00010 | loss  3.194
EP  17 | time  9.80s | reward  47968.0 | evac 346 | died 134 | eps  nan | lr 0.00009 | loss  3.912
EP  18 | time  9.08s | reward  43203.1 | evac 342 | died 138 | eps  nan | lr 0.00009 | loss  4.717
EP  19 | time  9.58s | reward  42663.3 | evac 346 | died 134 | eps  nan | lr 0.00008 | loss  5.223
EP  20 | time  9.35s | reward  48172.2 | evac 365 | died 115 | eps  nan | lr 0.00008 | loss  5.969
EP  21 | time  8.27s | reward  43296.4 | evac 353 | died 127 | eps  nan | lr 0.00007 | loss  7.147
EP  22 | time  9.43s | reward  43390.8 | evac 348 | died 132 | eps  nan | lr 0.00007 | loss  8.171
EP  23 | time  8.94s | reward  43755.4 | evac 348 | died 132 | eps  nan | lr 0.00006 | loss 10.480
EP  24 | time  8.42s | reward  44707.2 | evac 360 | died 120 | eps  nan | lr 0.00006 | loss 10.685
EP  25 | time  9.01s | reward  40076.6 | evac 345 | died 135 | eps  nan | lr 0.00005 | loss 11.935
EP  26 | time  9.21s | reward  46628.4 | evac 352 | died 128 | eps  nan | lr 0.00005 | loss 12.642
EP  27 | time  9.38s | reward  46328.4 | evac 359 | died 121 | eps  nan | lr 0.00005 | loss 14.590
EP  28 | time  8.43s | reward  43474.6 | evac 348 | died 132 | eps  nan | lr 0.00004 | loss 15.070
EP  29 | time  9.21s | reward  44538.9 | evac 356 | died 124 | eps  nan | lr 0.00004 | loss 16.264
EP  30 | time 10.24s | reward  48180.4 | evac 349 | died 131 | eps  nan | lr 0.00004 | loss 17.474
EP  31 | time  8.94s | reward  42750.7 | evac 344 | died 136 | eps  nan | lr 0.00004 | loss 17.310
EP  32 | time  9.08s | reward  43071.4 | evac 348 | died 132 | eps  nan | lr 0.00003 | loss 16.935
EP  33 | time  8.65s | reward  41853.8 | evac 346 | died 134 | eps  nan | lr 0.00003 | loss 17.618
EP  34 | time  9.03s | reward  39594.4 | evac 341 | died 139 | eps  nan | lr 0.00003 | loss 17.036
EP  35 | time  9.60s | reward  44137.4 | evac 346 | died 134 | eps  nan | lr 0.00003 | loss 18.116
EP  36 | time  8.84s | reward  38934.9 | evac 330 | died 150 | eps  nan | lr 0.00003 | loss 19.149
