Using device: cuda
EP   1 | time 13.41s | reward -19181.6 | evac  92 | died 388 | eps 0.948 | lr 0.00028 | loss  0.028
EP   2 | time 14.48s | reward -17363.7 | evac 118 | died 362 | eps 0.895 | lr 0.00026 | loss  0.025
EP   3 | time 13.86s | reward -16003.1 | evac 125 | died 355 | eps 0.846 | lr 0.00024 | loss  0.031
EP   4 | time 13.81s | reward -10249.9 | evac 151 | died 329 | eps 0.802 | lr 0.00023 | loss  0.059
EP   5 | time 13.21s | reward  -6621.4 | evac 176 | died 304 | eps 0.761 | lr 0.00021 | loss  0.104
EP   6 | time 14.91s | reward  -6825.8 | evac 199 | died 281 | eps 0.718 | lr 0.00020 | loss  0.135
EP   7 | time 13.78s | reward  -4355.7 | evac 218 | died 262 | eps 0.680 | lr 0.00019 | loss  0.202
EP   8 | time 14.79s | reward  -1364.4 | evac 246 | died 234 | eps 0.642 | lr 0.00017 | loss  0.233
EP   9 | time 14.70s | reward   -407.5 | evac 257 | died 223 | eps 0.605 | lr 0.00016 | loss  0.274
EP  10 | time 13.35s | reward   4711.8 | evac 262 | died 218 | eps 0.573 | lr 0.00015 | loss  0.320
EP  11 | time 13.29s | reward   3475.6 | evac 254 | died 226 | eps 0.543 | lr 0.00014 | loss  0.433
EP  12 | time 14.55s | reward  10830.9 | evac 287 | died 193 | eps 0.513 | lr 0.00013 | loss  0.513
EP  13 | time 13.88s | reward  12342.6 | evac 310 | died 170 | eps 0.485 | lr 0.00012 | loss  0.568
EP  14 | time 13.36s | reward  14848.1 | evac 313 | died 167 | eps 0.459 | lr 0.00012 | loss  0.610
EP  15 | time 14.48s | reward  16879.6 | evac 314 | died 166 | eps 0.433 | lr 0.00011 | loss  0.694
EP  16 | time 13.85s | reward  15981.2 | evac 320 | died 160 | eps 0.410 | lr 0.00010 | loss  0.735
EP  17 | time 13.45s | reward  19229.7 | evac 339 | died 141 | eps 0.388 | lr 0.00009 | loss  0.803
EP  18 | time 14.57s | reward  22566.3 | evac 349 | died 131 | eps 0.366 | lr 0.00009 | loss  0.846
EP  19 | time 13.97s | reward  22213.9 | evac 343 | died 137 | eps 0.346 | lr 0.00008 | loss  0.956
EP  20 | time 13.92s | reward  23847.8 | evac 343 | died 137 | eps 0.326 | lr 0.00008 | loss  0.943
EP  21 | time 13.56s | reward  24748.3 | evac 357 | died 123 | eps 0.308 | lr 0.00007 | loss  0.933
EP  22 | time 14.04s | reward  25529.7 | evac 340 | died 140 | eps 0.291 | lr 0.00007 | loss  0.990
EP  23 | time 14.04s | reward  28667.5 | evac 361 | died 119 | eps 0.275 | lr 0.00006 | loss  0.998
EP  24 | time 15.41s | reward  35988.3 | evac 378 | died 102 | eps 0.259 | lr 0.00006 | loss  1.043
EP  25 | time 16.31s | reward  33505.0 | evac 374 | died 106 | eps 0.245 | lr 0.00005 | loss  1.067
EP  26 | time 15.17s | reward  36582.0 | evac 381 | died  99 | eps 0.232 | lr 0.00005 | loss  1.079
EP  27 | time 15.88s | reward  36395.0 | evac 387 | died  93 | eps 0.219 | lr 0.00005 | loss  1.051
EP  28 | time 14.08s | reward  36189.6 | evac 403 | died  77 | eps 0.207 | lr 0.00004 | loss  1.074
EP  29 | time 12.72s | reward  36386.8 | evac 378 | died 102 | eps 0.196 | lr 0.00004 | loss  1.089
EP  30 | time 11.24s | reward  32948.9 | evac 382 | died  98 | eps 0.185 | lr 0.00004 | loss  1.073
EP  31 | time  9.10s | reward  35243.9 | evac 376 | died 104 | eps 0.175 | lr 0.00004 | loss  1.109
EP  32 | time  9.24s | reward  42068.0 | evac 387 | died  93 | eps 0.165 | lr 0.00003 | loss  1.132
