Using device: cuda
EP   1 | time 31.34s | reward -11875.8 | evac  92 | died 388 | eps 0.942 | lr 0.00028 | loss  0.238
EP   2 | time 10.63s | reward  -1977.6 | evac 160 | died 320 | eps 0.888 | lr 0.00026 | loss  0.071
EP   3 | time 11.45s | reward   5416.4 | evac 224 | died 256 | eps 0.835 | lr 0.00024 | loss  0.116
EP   4 | time 11.84s | reward   6988.4 | evac 280 | died 200 | eps 0.786 | lr 0.00023 | loss  0.200
EP   5 | time 11.26s | reward   7408.0 | evac 187 | died 293 | eps 0.741 | lr 0.00021 | loss  0.306
EP   6 | time 12.01s | reward  13587.3 | evac 263 | died 217 | eps 0.696 | lr 0.00020 | loss  0.319
EP   7 | time 12.24s | reward  18137.5 | evac 262 | died 218 | eps 0.657 | lr 0.00019 | loss  0.369
EP   8 | time 11.84s | reward  24668.2 | evac 324 | died 156 | eps 0.619 | lr 0.00017 | loss  0.472
EP   9 | time 12.29s | reward  24094.8 | evac 301 | died 179 | eps 0.583 | lr 0.00016 | loss  0.595
EP  10 | time 12.87s | reward  22219.8 | evac 269 | died 211 | eps 0.550 | lr 0.00015 | loss  0.726
EP  11 | time 11.41s | reward  27877.6 | evac 333 | died 147 | eps 0.520 | lr 0.00014 | loss  0.882
EP  12 | time 12.16s | reward  29231.9 | evac 320 | died 160 | eps 0.492 | lr 0.00013 | loss  1.085
EP  13 | time 13.91s | reward  30786.9 | evac 324 | died 156 | eps 0.462 | lr 0.00012 | loss  1.225
EP  14 | time 14.15s | reward  31834.5 | evac 314 | died 166 | eps 0.435 | lr 0.00012 | loss  1.483
EP  15 | time 12.40s | reward  37190.4 | evac 338 | died 142 | eps 0.409 | lr 0.00011 | loss  1.702
EP  16 | time 12.60s | reward  30618.4 | evac 317 | died 163 | eps 0.387 | lr 0.00010 | loss  1.812
EP  17 | time 12.59s | reward  35490.6 | evac 360 | died 120 | eps 0.365 | lr 0.00009 | loss  1.880
EP  18 | time 12.82s | reward  40003.7 | evac 375 | died 105 | eps 0.344 | lr 0.00009 | loss  1.992
EP  19 | time 12.29s | reward  41108.7 | evac 382 | died  98 | eps 0.324 | lr 0.00008 | loss  2.273
EP  20 | time 14.49s | reward  45691.8 | evac 375 | died 105 | eps 0.305 | lr 0.00008 | loss  2.388
EP  21 | time 15.43s | reward  43580.2 | evac 349 | died 131 | eps 0.285 | lr 0.00007 | loss  2.494
EP  22 | time 13.26s | reward  43398.1 | evac 400 | died  80 | eps 0.269 | lr 0.00007 | loss  2.568
EP  23 | time 14.50s | reward  42550.4 | evac 380 | died 100 | eps 0.254 | lr 0.00006 | loss  2.478
EP  24 | time 13.52s | reward  44029.2 | evac 353 | died 127 | eps 0.239 | lr 0.00006 | loss  2.412
EP  25 | time 13.16s | reward  40317.2 | evac 379 | died 101 | eps 0.226 | lr 0.00005 | loss  2.236
EP  26 | time 12.38s | reward  35166.7 | evac 359 | died 121 | eps 0.215 | lr 0.00005 | loss  2.417
EP  27 | time 13.33s | reward  39436.3 | evac 386 | died  94 | eps 0.203 | lr 0.00005 | loss  2.157
EP  28 | time 14.34s | reward  39635.0 | evac 371 | died 109 | eps 0.192 | lr 0.00004 | loss  2.187
EP  29 | time 16.99s | reward  44668.6 | evac 396 | died  84 | eps 0.180 | lr 0.00004 | loss  2.231
EP  30 | time 15.02s | reward  47328.2 | evac 390 | died  90 | eps 0.170 | lr 0.00004 | loss  1.960
EP  31 | time 14.50s | reward  50004.0 | evac 417 | died  63 | eps 0.160 | lr 0.00004 | loss  2.069
EP  32 | time 13.62s | reward  46768.6 | evac 402 | died  78 | eps 0.151 | lr 0.00003 | loss  2.089
EP  33 | time 11.47s | reward  45773.5 | evac 408 | died  72 | eps 0.142 | lr 0.00003 | loss  2.076
EP  34 | time 11.66s | reward  40050.5 | evac 396 | died  84 | eps 0.134 | lr 0.00003 | loss  1.985
EP  35 | time 12.42s | reward  43400.8 | evac 401 | died  79 | eps 0.126 | lr 0.00003 | loss  1.839
EP  36 | time 12.38s | reward  45752.4 | evac 400 | died  80 | eps 0.118 | lr 0.00003 | loss  1.801
EP  37 | time 12.46s | reward  42415.1 | evac 375 | died 105 | eps 0.111 | lr 0.00002 | loss  1.593
EP  38 | time 13.28s | reward  47501.3 | evac 409 | died  71 | eps 0.104 | lr 0.00002 | loss  1.538
EP  39 | time 12.49s | reward  39456.3 | evac 368 | died 112 | eps 0.098 | lr 0.00002 | loss  1.564
EP  40 | time 11.62s | reward  43591.1 | evac 384 | died  96 | eps 0.092 | lr 0.00002 | loss  1.546
EP  41 | time 12.13s | reward  31754.0 | evac 375 | died 105 | eps 0.086 | lr 0.00002 | loss  1.503
EP  42 | time 11.62s | reward  38228.4 | evac 381 | died  99 | eps 0.081 | lr 0.00002 | loss  1.452
EP  43 | time 11.24s | reward  34427.9 | evac 371 | died 109 | eps 0.076 | lr 0.00002 | loss  1.354
EP  44 | time 12.04s | reward  36640.0 | evac 380 | died 100 | eps 0.072 | lr 0.00002 | loss  1.421
EP  45 | time 12.27s | reward  32593.4 | evac 369 | died 111 | eps 0.068 | lr 0.00001 | loss  1.212
EP  46 | time  8.00s | reward  36395.4 | evac 369 | died 111 | eps 0.064 | lr 0.00001 | loss  1.298
EP  47 | time  7.10s | reward  28490.4 | evac 353 | died 127 | eps 0.060 | lr 0.00001 | loss  1.136
EP  48 | time  7.45s | reward  37541.9 | evac 372 | died 108 | eps 0.056 | lr 0.00001 | loss  1.191
EP  49 | time  7.53s | reward  34649.5 | evac 371 | died 109 | eps 0.053 | lr 0.00001 | loss  1.094
EP  50 | time  7.24s | reward  34713.8 | evac 379 | died 101 | eps 0.050 | lr 0.00001 | loss  1.103
