Using device: cuda
EP   1 | time 13.48s | reward -13010.0 | evac  58 | died 422 | eps 0.953 | lr 0.00028 | loss  0.239
EP   2 | time  8.23s | reward  -6294.4 | evac 154 | died 326 | eps 0.907 | lr 0.00026 | loss  0.077
EP   3 | time  9.02s | reward   -469.4 | evac 184 | died 296 | eps 0.860 | lr 0.00024 | loss  0.122
EP   4 | time  8.27s | reward  -1211.1 | evac 159 | died 321 | eps 0.820 | lr 0.00023 | loss  0.161
EP   5 | time  9.54s | reward   4267.4 | evac 176 | died 304 | eps 0.778 | lr 0.00021 | loss  0.220
EP   6 | time  8.94s | reward   7711.9 | evac 232 | died 248 | eps 0.741 | lr 0.00020 | loss  0.315
EP   7 | time  9.60s | reward  14147.1 | evac 310 | died 170 | eps 0.705 | lr 0.00019 | loss  0.513
EP   8 | time  9.36s | reward  15062.0 | evac 298 | died 182 | eps 0.671 | lr 0.00017 | loss  0.761
EP   9 | time  9.32s | reward  16351.3 | evac 279 | died 201 | eps 0.637 | lr 0.00016 | loss  0.914
EP  10 | time  9.74s | reward  24124.0 | evac 371 | died 109 | eps 0.606 | lr 0.00015 | loss  1.231
EP  11 | time  9.37s | reward  24945.1 | evac 357 | died 123 | eps 0.577 | lr 0.00014 | loss  1.591
EP  12 | time 10.31s | reward  32589.8 | evac 379 | died 101 | eps 0.547 | lr 0.00013 | loss  2.155
EP  13 | time  9.50s | reward  26543.5 | evac 332 | died 148 | eps 0.520 | lr 0.00012 | loss  2.363
EP  14 | time  9.60s | reward  25911.3 | evac 317 | died 163 | eps 0.494 | lr 0.00012 | loss  2.508
EP  15 | time  9.66s | reward  27340.2 | evac 326 | died 154 | eps 0.469 | lr 0.00011 | loss  2.977
EP  16 | time  9.01s | reward  27343.7 | evac 332 | died 148 | eps 0.447 | lr 0.00010 | loss  3.216
EP  17 | time 10.03s | reward  29940.0 | evac 342 | died 138 | eps 0.425 | lr 0.00009 | loss  3.874
EP  18 | time 10.48s | reward  34809.1 | evac 354 | died 126 | eps 0.403 | lr 0.00009 | loss  3.703
