Using device: cuda
EP   1 | time 27.48s | reward -17548.8 | evac 111 | died 369 | eps  nan | lr 0.00028 | loss  1.231
EP   2 | time 10.35s | reward    409.0 | evac 224 | died 256 | eps  nan | lr 0.00026 | loss  0.406
EP   3 | time 10.34s | reward   2459.9 | evac 141 | died 339 | eps  nan | lr 0.00024 | loss  0.352
EP   4 | time 10.42s | reward  26956.4 | evac 297 | died 183 | eps  nan | lr 0.00023 | loss  0.352
EP   5 | time  9.97s | reward  41793.0 | evac 328 | died 152 | eps  nan | lr 0.00021 | loss  0.462
EP   6 | time  9.65s | reward  42030.1 | evac 341 | died 139 | eps  nan | lr 0.00020 | loss  0.680
EP   7 | time  9.62s | reward  51622.5 | evac 394 | died  86 | eps  nan | lr 0.00019 | loss  0.841
EP   8 | time  9.89s | reward  50621.5 | evac 363 | died 117 | eps  nan | lr 0.00017 | loss  0.947
EP   9 | time  8.70s | reward  51188.6 | evac 403 | died  77 | eps  nan | lr 0.00016 | loss  1.273
EP  10 | time  9.07s | reward  54482.1 | evac 412 | died  68 | eps  nan | lr 0.00015 | loss  2.034
EP  11 | time  8.68s | reward  62236.8 | evac 423 | died  57 | eps  nan | lr 0.00014 | loss  2.975
EP  12 | time  9.77s | reward  65824.4 | evac 434 | died  46 | eps  nan | lr 0.00013 | loss  3.973
EP  13 | time 10.52s | reward  65894.7 | evac 425 | died  55 | eps  nan | lr 0.00012 | loss  4.301
EP  14 | time  9.32s | reward  51686.2 | evac 376 | died 104 | eps  nan | lr 0.00012 | loss  4.873
EP  15 | time 10.13s | reward  57286.8 | evac 421 | died  59 | eps  nan | lr 0.00011 | loss  5.600
EP  16 | time  9.21s | reward  54320.3 | evac 421 | died  59 | eps  nan | lr 0.00010 | loss  6.308
EP  17 | time  9.83s | reward  69962.1 | evac 444 | died  36 | eps  nan | lr 0.00009 | loss  7.260
EP  18 | time  8.45s | reward  52504.6 | evac 441 | died  39 | eps  nan | lr 0.00009 | loss  7.186
EP  19 | time 10.94s | reward  74441.9 | evac 454 | died  26 | eps  nan | lr 0.00008 | loss  7.970
EP  20 | time  9.59s | reward  67322.4 | evac 441 | died  39 | eps  nan | lr 0.00008 | loss  9.053
EP  21 | time 10.56s | reward  71790.5 | evac 442 | died  38 | eps  nan | lr 0.00007 | loss  9.793
EP  22 | time 10.09s | reward  67877.8 | evac 426 | died  54 | eps  nan | lr 0.00007 | loss 10.503
EP  23 | time  9.07s | reward  54845.9 | evac 426 | died  54 | eps  nan | lr 0.00006 | loss 11.482
EP  24 | time  9.65s | reward  65075.4 | evac 437 | died  43 | eps  nan | lr 0.00006 | loss 12.641
EP  25 | time  9.22s | reward  65802.1 | evac 441 | died  39 | eps  nan | lr 0.00005 | loss 12.791
EP  26 | time  8.61s | reward  53945.1 | evac 422 | died  58 | eps  nan | lr 0.00005 | loss 13.128
EP  27 | time  8.04s | reward  50034.3 | evac 441 | died  39 | eps  nan | lr 0.00005 | loss 13.762
EP  28 | time  9.45s | reward  61264.7 | evac 443 | died  37 | eps  nan | lr 0.00004 | loss 13.136
EP  29 | time 10.53s | reward  65521.3 | evac 426 | died  54 | eps  nan | lr 0.00004 | loss 13.906
