Using device: cuda
EP   1 | time 27.05s | reward -16147.8 | evac  80 | died 400 | eps 0.951 | lr 0.00028 | loss  0.032
EP   2 | time 13.18s | reward -14688.8 | evac  94 | died 386 | eps 0.904 | lr 0.00026 | loss  0.024
EP   3 | time 14.19s | reward -15670.6 | evac 109 | died 371 | eps 0.857 | lr 0.00024 | loss  0.029
EP   4 | time 15.17s | reward -12538.8 | evac 162 | died 318 | eps 0.808 | lr 0.00023 | loss  0.041
EP   5 | time 14.61s | reward  -8295.9 | evac 161 | died 319 | eps 0.766 | lr 0.00021 | loss  0.072
EP   6 | time 14.66s | reward  -6322.3 | evac 161 | died 319 | eps 0.725 | lr 0.00020 | loss  0.102
EP   7 | time 17.14s | reward  -7904.7 | evac 215 | died 265 | eps 0.679 | lr 0.00019 | loss  0.138
EP   8 | time 15.41s | reward  -6404.5 | evac 195 | died 285 | eps 0.641 | lr 0.00017 | loss  0.170
EP   9 | time 14.67s | reward   2629.9 | evac 249 | died 231 | eps 0.606 | lr 0.00016 | loss  0.191
EP  10 | time 15.67s | reward   3283.0 | evac 246 | died 234 | eps 0.573 | lr 0.00015 | loss  0.213
EP  11 | time 14.66s | reward   1627.8 | evac 248 | died 232 | eps 0.542 | lr 0.00014 | loss  0.259
EP  12 | time 14.53s | reward   9335.7 | evac 278 | died 202 | eps 0.513 | lr 0.00013 | loss  0.270
EP  13 | time 15.21s | reward   8361.4 | evac 266 | died 214 | eps 0.485 | lr 0.00012 | loss  0.317
EP  14 | time 15.83s | reward   9212.1 | evac 292 | died 188 | eps 0.457 | lr 0.00012 | loss  0.331
EP  15 | time 16.15s | reward  13158.4 | evac 320 | died 160 | eps 0.430 | lr 0.00011 | loss  0.351
EP  16 | time 14.66s | reward   8983.4 | evac 290 | died 190 | eps 0.407 | lr 0.00010 | loss  0.389
EP  17 | time 14.20s | reward  13205.9 | evac 306 | died 174 | eps 0.385 | lr 0.00009 | loss  0.385
EP  18 | time 14.40s | reward  20209.5 | evac 311 | died 169 | eps 0.364 | lr 0.00009 | loss  0.440
EP  19 | time 14.96s | reward  20695.0 | evac 334 | died 146 | eps 0.345 | lr 0.00008 | loss  0.430
EP  20 | time 14.78s | reward  17772.5 | evac 313 | died 167 | eps 0.326 | lr 0.00008 | loss  0.458
