Using device: cuda
EP   1 | time 26.75s | reward -15439.6 | evac  86 | died 394 | eps 0.952 | lr 0.00028 | loss  0.026
EP   2 | time 15.21s | reward -17622.5 | evac  94 | died 386 | eps 0.901 | lr 0.00026 | loss  0.022
EP   3 | time 15.32s | reward -15913.7 | evac 127 | died 353 | eps 0.853 | lr 0.00024 | loss  0.033
EP   4 | time 16.28s | reward -15756.9 | evac 115 | died 365 | eps 0.805 | lr 0.00023 | loss  0.051
EP   5 | time 16.03s | reward -11230.9 | evac 158 | died 322 | eps 0.762 | lr 0.00021 | loss  0.081
EP   6 | time 16.05s | reward  -5525.4 | evac 186 | died 294 | eps 0.720 | lr 0.00020 | loss  0.131
EP   7 | time 16.99s | reward  -1471.9 | evac 213 | died 267 | eps 0.680 | lr 0.00019 | loss  0.185
EP   8 | time 15.28s | reward   2387.2 | evac 249 | died 231 | eps 0.644 | lr 0.00017 | loss  0.232
EP   9 | time 15.89s | reward   6113.9 | evac 266 | died 214 | eps 0.610 | lr 0.00016 | loss  0.311
EP  10 | time 16.49s | reward   6876.0 | evac 266 | died 214 | eps 0.579 | lr 0.00015 | loss  0.347
EP  11 | time 14.40s | reward  13718.3 | evac 302 | died 178 | eps 0.551 | lr 0.00014 | loss  0.439
EP  12 | time 16.41s | reward  17029.9 | evac 314 | died 166 | eps 0.520 | lr 0.00013 | loss  0.509
EP  13 | time 15.63s | reward  18148.3 | evac 317 | died 163 | eps 0.492 | lr 0.00012 | loss  0.618
EP  14 | time 16.42s | reward  20119.0 | evac 325 | died 155 | eps 0.465 | lr 0.00012 | loss  0.662
EP  15 | time 15.92s | reward  21001.8 | evac 326 | died 154 | eps 0.440 | lr 0.00011 | loss  0.749
EP  16 | time 15.73s | reward  22658.3 | evac 316 | died 164 | eps 0.417 | lr 0.00010 | loss  0.847
EP  17 | time 18.26s | reward  27076.4 | evac 336 | died 144 | eps 0.393 | lr 0.00009 | loss  0.901
EP  18 | time 17.18s | reward  25742.2 | evac 338 | died 142 | eps 0.371 | lr 0.00009 | loss  0.905
EP  19 | time 16.60s | reward  31010.2 | evac 351 | died 129 | eps 0.349 | lr 0.00008 | loss  0.959
EP  20 | time 16.66s | reward  29595.9 | evac 333 | died 147 | eps 0.329 | lr 0.00008 | loss  0.972
EP  21 | time 16.19s | reward  33947.9 | evac 357 | died 123 | eps 0.311 | lr 0.00007 | loss  0.995
EP  22 | time 16.28s | reward  31421.0 | evac 365 | died 115 | eps 0.294 | lr 0.00007 | loss  0.996
EP  23 | time 15.01s | reward  31710.9 | evac 348 | died 132 | eps 0.279 | lr 0.00006 | loss  1.000
EP  24 | time 15.74s | reward  31961.4 | evac 347 | died 133 | eps 0.264 | lr 0.00006 | loss  1.072
