Using device: cuda
EP   1 | time 14.03s | reward -15559.3 | evac  66 | died 414 | eps  nan | lr 0.00028 | loss  1.113
EP   2 | time  9.78s | reward -11519.4 | evac 125 | died 355 | eps  nan | lr 0.00026 | loss  0.451
EP   3 | time 10.08s | reward   2621.6 | evac 137 | died 343 | eps  nan | lr 0.00024 | loss  0.571
EP   4 | time 10.77s | reward  22437.6 | evac 240 | died 240 | eps  nan | lr 0.00023 | loss  0.659
EP   5 | time  8.89s | reward  26868.9 | evac 279 | died 201 | eps  nan | lr 0.00021 | loss  0.592
EP   6 | time  9.83s | reward  38842.7 | evac 296 | died 184 | eps  nan | lr 0.00020 | loss  0.949
EP   7 | time  9.74s | reward  39024.9 | evac 337 | died 143 | eps  nan | lr 0.00019 | loss  1.240
EP   8 | time  9.58s | reward  45081.3 | evac 317 | died 163 | eps  nan | lr 0.00017 | loss  1.751
EP   9 | time  9.52s | reward  39926.5 | evac 298 | died 182 | eps  nan | lr 0.00016 | loss  1.750
EP  10 | time  9.55s | reward  44970.3 | evac 344 | died 136 | eps  nan | lr 0.00015 | loss  2.367
EP  11 | time  8.92s | reward  40313.2 | evac 303 | died 177 | eps  nan | lr 0.00014 | loss  2.780
EP  12 | time  8.72s | reward  36376.5 | evac 305 | died 175 | eps  nan | lr 0.00013 | loss  2.923
EP  13 | time  8.36s | reward  39686.0 | evac 350 | died 130 | eps  nan | lr 0.00012 | loss  2.869
EP  14 | time  9.40s | reward  46877.1 | evac 339 | died 141 | eps  nan | lr 0.00012 | loss  3.284
EP  15 | time  9.43s | reward  40011.7 | evac 311 | died 169 | eps  nan | lr 0.00011 | loss  3.536
EP  16 | time  9.17s | reward  37568.2 | evac 308 | died 172 | eps  nan | lr 0.00010 | loss  3.547
EP  17 | time 10.29s | reward  45680.3 | evac 325 | died 155 | eps  nan | lr 0.00009 | loss  3.514
EP  18 | time  9.65s | reward  39289.1 | evac 326 | died 154 | eps  nan | lr 0.00009 | loss  3.686
EP  19 | time  9.40s | reward  40213.1 | evac 330 | died 150 | eps  nan | lr 0.00008 | loss  3.832
EP  20 | time  9.93s | reward  38447.4 | evac 318 | died 162 | eps  nan | lr 0.00008 | loss  3.631
EP  21 | time  9.89s | reward  40890.9 | evac 332 | died 148 | eps  nan | lr 0.00007 | loss  3.545
EP  22 | time 10.07s | reward  38975.7 | evac 314 | died 166 | eps  nan | lr 0.00007 | loss  3.683
EP  23 | time  9.89s | reward  38199.6 | evac 321 | died 159 | eps  nan | lr 0.00006 | loss  3.674
EP  24 | time 10.79s | reward  43739.8 | evac 328 | died 152 | eps  nan | lr 0.00006 | loss  3.862
EP  25 | time 10.79s | reward  43601.0 | evac 332 | died 148 | eps  nan | lr 0.00005 | loss  3.617
EP  26 | time 10.59s | reward  43416.6 | evac 335 | died 145 | eps  nan | lr 0.00005 | loss  3.510
EP  27 | time 10.19s | reward  41867.1 | evac 329 | died 151 | eps  nan | lr 0.00005 | loss  3.537
EP  28 | time  9.59s | reward  35346.6 | evac 331 | died 149 | eps  nan | lr 0.00004 | loss  3.556
EP  29 | time 10.30s | reward  33783.6 | evac 331 | died 149 | eps  nan | lr 0.00004 | loss  3.573
EP  30 | time 10.54s | reward  38828.5 | evac 321 | died 159 | eps  nan | lr 0.00004 | loss  3.336
EP  31 | time 10.34s | reward  41225.8 | evac 325 | died 155 | eps  nan | lr 0.00004 | loss  3.579
EP  32 | time 10.59s | reward  39365.6 | evac 323 | died 157 | eps  nan | lr 0.00003 | loss  3.532
EP  33 | time 10.94s | reward  33249.3 | evac 308 | died 172 | eps  nan | lr 0.00003 | loss  3.680
