Using device: cuda
EP   1 | time 16.32s | reward -16136.7 | evac  45 | died 435 | eps  nan | lr 0.00028 | loss  0.787
EP   2 | time 11.23s | reward  -5914.5 | evac 111 | died 369 | eps  nan | lr 0.00026 | loss  0.383
EP   3 | time 11.63s | reward  -7668.7 | evac  85 | died 395 | eps  nan | lr 0.00024 | loss  0.259
EP   4 | time 11.68s | reward   8466.1 | evac 184 | died 296 | eps  nan | lr 0.00023 | loss  0.288
EP   5 | time 11.46s | reward  30577.8 | evac 346 | died 134 | eps  nan | lr 0.00021 | loss  0.490
EP   6 | time  9.23s | reward  41963.1 | evac 363 | died 117 | eps  nan | lr 0.00020 | loss  0.854
EP   7 | time 10.41s | reward  51676.3 | evac 390 | died  90 | eps  nan | lr 0.00019 | loss  1.006
EP   8 | time  8.82s | reward  49348.1 | evac 415 | died  65 | eps  nan | lr 0.00017 | loss  1.210
EP   9 | time  9.63s | reward  53255.1 | evac 408 | died  72 | eps  nan | lr 0.00016 | loss  1.623
EP  10 | time  9.72s | reward  50767.9 | evac 386 | died  94 | eps  nan | lr 0.00015 | loss  1.952
EP  11 | time  9.37s | reward  58529.8 | evac 429 | died  51 | eps  nan | lr 0.00014 | loss  1.965
EP  12 | time 10.41s | reward  55304.2 | evac 405 | died  75 | eps  nan | lr 0.00013 | loss  2.266
EP  13 | time  9.95s | reward  55843.3 | evac 411 | died  69 | eps  nan | lr 0.00012 | loss  2.679
EP  14 | time  9.30s | reward  55653.2 | evac 407 | died  73 | eps  nan | lr 0.00012 | loss  3.548
EP  15 | time  9.56s | reward  44274.5 | evac 395 | died  85 | eps  nan | lr 0.00011 | loss  4.259
EP  16 | time 10.05s | reward  57712.3 | evac 419 | died  61 | eps  nan | lr 0.00010 | loss  4.852
EP  17 | time  9.59s | reward  52381.5 | evac 432 | died  48 | eps  nan | lr 0.00009 | loss  5.116
EP  18 | time  9.86s | reward  55825.7 | evac 413 | died  67 | eps  nan | lr 0.00009 | loss  5.307
EP  19 | time 10.18s | reward  53806.3 | evac 409 | died  71 | eps  nan | lr 0.00008 | loss  5.578
EP  20 | time 10.67s | reward  53766.0 | evac 393 | died  87 | eps  nan | lr 0.00008 | loss  5.623
EP  21 | time  9.03s | reward  46899.5 | evac 384 | died  96 | eps  nan | lr 0.00007 | loss  5.673
EP  22 | time 10.72s | reward  56628.2 | evac 391 | died  89 | eps  nan | lr 0.00007 | loss  5.950
EP  23 | time 10.15s | reward  52005.6 | evac 381 | died  99 | eps  nan | lr 0.00006 | loss  6.157
EP  24 | time  9.68s | reward  51842.9 | evac 386 | died  94 | eps  nan | lr 0.00006 | loss  6.285
EP  25 | time  9.76s | reward  49664.7 | evac 399 | died  81 | eps  nan | lr 0.00005 | loss  6.474
EP  26 | time 10.89s | reward  56616.5 | evac 402 | died  78 | eps  nan | lr 0.00005 | loss  6.632
EP  27 | time  9.74s | reward  49626.0 | evac 380 | died 100 | eps  nan | lr 0.00005 | loss  6.673
EP  28 | time 10.26s | reward  50651.9 | evac 389 | died  91 | eps  nan | lr 0.00004 | loss  6.698
EP  29 | time  9.43s | reward  47927.1 | evac 390 | died  90 | eps  nan | lr 0.00004 | loss  6.871
EP  30 | time 11.09s | reward  57074.1 | evac 393 | died  87 | eps  nan | lr 0.00004 | loss  6.493
EP  31 | time 10.29s | reward  50820.1 | evac 387 | died  93 | eps  nan | lr 0.00004 | loss  6.092
EP  32 | time 10.06s | reward  52859.8 | evac 388 | died  92 | eps  nan | lr 0.00003 | loss  5.605
EP  33 | time 10.65s | reward  48916.9 | evac 390 | died  90 | eps  nan | lr 0.00003 | loss  5.331
EP  34 | time 10.52s | reward  49931.0 | evac 386 | died  94 | eps  nan | lr 0.00003 | loss  5.252
EP  35 | time 10.68s | reward  47655.1 | evac 382 | died  98 | eps  nan | lr 0.00003 | loss  5.112
EP  36 | time 11.23s | reward  56427.0 | evac 389 | died  91 | eps  nan | lr 0.00003 | loss  5.352
EP  37 | time 10.27s | reward  58509.0 | evac 405 | died  75 | eps  nan | lr 0.00002 | loss  5.300
