Using device: cuda
EP   1 | time 14.49s | reward -18220.4 | evac  79 | died 401 | eps 0.949 | lr 0.00028 | loss  0.022
EP   2 | time 14.22s | reward -18802.1 | evac  84 | died 396 | eps 0.899 | lr 0.00026 | loss  0.020
EP   3 | time 14.11s | reward -18048.0 | evac  92 | died 388 | eps 0.851 | lr 0.00024 | loss  0.025
EP   4 | time 13.83s | reward -12839.7 | evac 114 | died 366 | eps 0.807 | lr 0.00023 | loss  0.040
EP   5 | time 15.14s | reward -12149.0 | evac 140 | died 340 | eps 0.763 | lr 0.00021 | loss  0.063
EP   6 | time 15.81s | reward -10881.8 | evac 160 | died 320 | eps 0.719 | lr 0.00020 | loss  0.093
EP   7 | time 13.62s | reward  -4683.7 | evac 172 | died 308 | eps 0.684 | lr 0.00019 | loss  0.121
EP   8 | time 14.48s | reward  -1500.4 | evac 193 | died 287 | eps 0.647 | lr 0.00017 | loss  0.142
EP   9 | time 15.07s | reward    -97.1 | evac 214 | died 266 | eps 0.611 | lr 0.00016 | loss  0.173
EP  10 | time 14.32s | reward   4604.1 | evac 246 | died 234 | eps 0.579 | lr 0.00015 | loss  0.213
EP  11 | time 15.58s | reward   3507.2 | evac 247 | died 233 | eps 0.546 | lr 0.00014 | loss  0.238
EP  12 | time 14.11s | reward   5240.6 | evac 255 | died 225 | eps 0.518 | lr 0.00013 | loss  0.272
EP  13 | time 13.73s | reward  10336.8 | evac 261 | died 219 | eps 0.491 | lr 0.00012 | loss  0.315
EP  14 | time 15.64s | reward  15231.3 | evac 293 | died 187 | eps 0.461 | lr 0.00012 | loss  0.338
EP  15 | time 13.26s | reward  11855.9 | evac 272 | died 208 | eps 0.438 | lr 0.00011 | loss  0.346
EP  16 | time 13.65s | reward  13646.7 | evac 288 | died 192 | eps 0.416 | lr 0.00010 | loss  0.373
EP  17 | time 14.99s | reward  17512.7 | evac 279 | died 201 | eps 0.392 | lr 0.00009 | loss  0.403
EP  18 | time 14.43s | reward  18260.8 | evac 302 | died 178 | eps 0.371 | lr 0.00009 | loss  0.430
EP  19 | time 13.67s | reward  17899.4 | evac 284 | died 196 | eps 0.351 | lr 0.00008 | loss  0.459
EP  20 | time 14.04s | reward  17998.6 | evac 284 | died 196 | eps 0.332 | lr 0.00008 | loss  0.493
EP  21 | time 14.57s | reward  26665.6 | evac 319 | died 161 | eps 0.313 | lr 0.00007 | loss  0.504
EP  22 | time 14.06s | reward  20984.3 | evac 296 | died 184 | eps 0.296 | lr 0.00007 | loss  0.522
EP  23 | time 15.03s | reward  28137.9 | evac 319 | died 161 | eps 0.279 | lr 0.00006 | loss  0.556
EP  24 | time 14.49s | reward  27537.9 | evac 325 | died 155 | eps 0.264 | lr 0.00006 | loss  0.558
EP  25 | time 13.98s | reward  24711.4 | evac 312 | died 168 | eps 0.249 | lr 0.00005 | loss  0.592
EP  26 | time 13.91s | reward  28132.3 | evac 334 | died 146 | eps 0.235 | lr 0.00005 | loss  0.588
EP  27 | time 15.03s | reward  28774.1 | evac 332 | died 148 | eps 0.222 | lr 0.00005 | loss  0.599
EP  28 | time 14.46s | reward  27975.3 | evac 311 | died 169 | eps 0.209 | lr 0.00004 | loss  0.612
EP  29 | time 12.98s | reward  30165.4 | evac 334 | died 146 | eps 0.198 | lr 0.00004 | loss  0.609
EP  30 | time  9.16s | reward  29042.5 | evac 330 | died 150 | eps 0.188 | lr 0.00004 | loss  0.595
EP  31 | time  8.39s | reward  27187.0 | evac 315 | died 165 | eps 0.178 | lr 0.00004 | loss  0.585
EP  32 | time  8.71s | reward  28626.6 | evac 312 | died 168 | eps 0.168 | lr 0.00003 | loss  0.590
EP  33 | time  9.14s | reward  32231.2 | evac 338 | died 142 | eps 0.159 | lr 0.00003 | loss  0.624
EP  34 | time  9.07s | reward  30469.7 | evac 312 | died 168 | eps 0.150 | lr 0.00003 | loss  0.620
EP  35 | time  9.01s | reward  27103.9 | evac 306 | died 174 | eps 0.142 | lr 0.00003 | loss  0.631
EP  36 | time  8.64s | reward  32734.9 | evac 329 | died 151 | eps 0.135 | lr 0.00003 | loss  0.662
EP  37 | time  9.28s | reward  34230.1 | evac 335 | died 145 | eps 0.127 | lr 0.00002 | loss  0.665
EP  38 | time  9.52s | reward  33987.3 | evac 340 | died 140 | eps 0.120 | lr 0.00002 | loss  0.689
EP  39 | time  9.05s | reward  35372.8 | evac 336 | died 144 | eps 0.113 | lr 0.00002 | loss  0.715
EP  40 | time  9.20s | reward  37102.5 | evac 333 | died 147 | eps 0.107 | lr 0.00002 | loss  0.696
EP  41 | time  8.44s | reward  34756.6 | evac 339 | died 141 | eps 0.101 | lr 0.00002 | loss  0.700
EP  42 | time  9.24s | reward  37681.1 | evac 337 | died 143 | eps 0.095 | lr 0.00002 | loss  0.741
EP  43 | time  8.70s | reward  36378.8 | evac 341 | died 139 | eps 0.090 | lr 0.00002 | loss  0.745
EP  44 | time  7.97s | reward  33167.6 | evac 322 | died 158 | eps 0.086 | lr 0.00002 | loss  0.752
EP  45 | time  6.72s | reward  34299.0 | evac 338 | died 142 | eps 0.081 | lr 0.00001 | loss  0.784
EP  46 | time  6.23s | reward  35930.5 | evac 349 | died 131 | eps 0.077 | lr 0.00001 | loss  0.772
EP  47 | time  6.40s | reward  36233.3 | evac 355 | died 125 | eps 0.073 | lr 0.00001 | loss  0.783
