Using device: cuda
EP   1 | time 23.19s | reward -22297.1 | evac  69 | died 411 | eps 0.948 | lr 0.00028 | loss  0.708
EP   2 | time  8.43s | reward -19376.5 | evac  71 | died 409 | eps 0.902 | lr 0.00026 | loss  0.121
EP   3 | time  8.79s | reward -18703.0 | evac  94 | died 386 | eps 0.858 | lr 0.00024 | loss  0.184
EP   4 | time  8.67s | reward -21155.0 | evac 110 | died 370 | eps 0.814 | lr 0.00023 | loss  0.365
EP   5 | time  8.80s | reward -17438.1 | evac 150 | died 330 | eps 0.774 | lr 0.00021 | loss  0.667
EP   6 | time  8.53s | reward -17016.3 | evac 146 | died 334 | eps 0.737 | lr 0.00020 | loss  1.126
EP   7 | time  8.53s | reward -18856.2 | evac 185 | died 295 | eps 0.700 | lr 0.00019 | loss  1.541
EP   8 | time  9.16s | reward -17367.3 | evac 201 | died 279 | eps 0.665 | lr 0.00017 | loss  2.240
EP   9 | time  8.17s | reward -17277.4 | evac 217 | died 263 | eps 0.633 | lr 0.00016 | loss  2.607
EP  10 | time  8.11s | reward -14642.5 | evac 232 | died 248 | eps 0.603 | lr 0.00015 | loss  3.381
EP  11 | time  9.13s | reward -20136.5 | evac 257 | died 223 | eps 0.571 | lr 0.00014 | loss  3.952
EP  12 | time  8.27s | reward -18066.5 | evac 274 | died 206 | eps 0.542 | lr 0.00013 | loss  5.124
EP  13 | time  9.10s | reward -18939.1 | evac 286 | died 194 | eps 0.513 | lr 0.00012 | loss  6.083
EP  14 | time  8.55s | reward -17426.3 | evac 312 | died 168 | eps 0.487 | lr 0.00012 | loss  7.241
EP  15 | time  7.95s | reward -17474.2 | evac 302 | died 178 | eps 0.463 | lr 0.00011 | loss  8.454
EP  16 | time  8.72s | reward -18296.6 | evac 310 | died 170 | eps 0.439 | lr 0.00010 | loss 10.739
EP  17 | time  8.76s | reward -19669.8 | evac 314 | died 166 | eps 0.415 | lr 0.00009 | loss 12.297
EP  18 | time  8.84s | reward -19492.6 | evac 338 | died 142 | eps 0.393 | lr 0.00009 | loss 14.449
EP  19 | time  8.14s | reward -15124.9 | evac 329 | died 151 | eps 0.374 | lr 0.00008 | loss 18.028
EP  20 | time  7.95s | reward -16986.4 | evac 339 | died 141 | eps 0.355 | lr 0.00008 | loss 19.147
EP  21 | time  8.52s | reward -17577.4 | evac 360 | died 120 | eps 0.337 | lr 0.00007 | loss 22.369
EP  22 | time  8.19s | reward -17953.8 | evac 356 | died 124 | eps 0.319 | lr 0.00007 | loss 22.780
EP  23 | time  8.50s | reward -16358.1 | evac 357 | died 123 | eps 0.304 | lr 0.00006 | loss 25.701
EP  24 | time  8.59s | reward -16223.7 | evac 370 | died 110 | eps 0.289 | lr 0.00006 | loss 25.688
EP  25 | time  8.17s | reward -15659.7 | evac 364 | died 116 | eps 0.275 | lr 0.00005 | loss 28.364
EP  26 | time  8.47s | reward -19496.9 | evac 378 | died 102 | eps 0.260 | lr 0.00005 | loss 29.655
EP  27 | time  7.94s | reward -17936.2 | evac 379 | died 101 | eps 0.246 | lr 0.00005 | loss 31.270
EP  28 | time  7.82s | reward -16399.5 | evac 388 | died  92 | eps 0.234 | lr 0.00004 | loss 31.445
EP  29 | time  7.96s | reward -18317.4 | evac 374 | died 106 | eps 0.222 | lr 0.00004 | loss 32.571
EP  30 | time  8.06s | reward -17362.4 | evac 385 | died  95 | eps 0.211 | lr 0.00004 | loss 34.133
EP  31 | time  7.82s | reward -16597.2 | evac 378 | died 102 | eps 0.200 | lr 0.00004 | loss 33.312
EP  32 | time  8.17s | reward -17074.1 | evac 388 | died  92 | eps 0.190 | lr 0.00003 | loss 34.574
EP  33 | time  8.31s | reward -17581.7 | evac 383 | died  97 | eps 0.180 | lr 0.00003 | loss 37.966
EP  34 | time  8.08s | reward -17898.2 | evac 396 | died  84 | eps 0.171 | lr 0.00003 | loss 39.431
EP  35 | time  8.49s | reward -15677.9 | evac 398 | died  82 | eps 0.162 | lr 0.00003 | loss 38.818
EP  36 | time  8.89s | reward -20683.4 | evac 388 | died  92 | eps 0.154 | lr 0.00003 | loss 42.674
EP  37 | time  8.39s | reward -19715.9 | evac 392 | died  88 | eps 0.145 | lr 0.00002 | loss 44.432
EP  38 | time  7.93s | reward -18218.4 | evac 402 | died  78 | eps 0.138 | lr 0.00002 | loss 47.151
EP  39 | time  7.83s | reward -17931.7 | evac 406 | died  74 | eps 0.131 | lr 0.00002 | loss 46.128
EP  40 | time  8.03s | reward -17854.8 | evac 404 | died  76 | eps 0.124 | lr 0.00002 | loss 47.938
EP  41 | time  7.45s | reward -15913.2 | evac 415 | died  65 | eps 0.118 | lr 0.00002 | loss 48.341
EP  42 | time  8.46s | reward -16200.0 | evac 406 | died  74 | eps 0.112 | lr 0.00002 | loss 47.872
EP  43 | time  7.48s | reward -16440.1 | evac 402 | died  78 | eps 0.107 | lr 0.00002 | loss 48.443
EP  44 | time  7.72s | reward -16662.1 | evac 404 | died  76 | eps 0.101 | lr 0.00002 | loss 52.498
EP  45 | time  7.46s | reward -15888.0 | evac 417 | died  63 | eps 0.096 | lr 0.00001 | loss 51.111
EP  46 | time  8.55s | reward -15814.1 | evac 407 | died  73 | eps 0.092 | lr 0.00001 | loss 51.583
EP  47 | time  7.36s | reward -15110.7 | evac 411 | died  69 | eps 0.087 | lr 0.00001 | loss 54.225
EP  48 | time  8.18s | reward -17308.8 | evac 404 | died  76 | eps 0.083 | lr 0.00001 | loss 56.164
EP  49 | time  7.11s | reward -15644.7 | evac 403 | died  77 | eps 0.079 | lr 0.00001 | loss 58.268
EP  50 | time  7.69s | reward -14921.3 | evac 408 | died  72 | eps 0.075 | lr 0.00001 | loss 58.330
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_11_DuelingDDQN.csv
