Using device: cuda
EP   1 | time 26.86s | reward -18346.6 | evac  68 | died 412 | eps 0.951 | lr 0.00028 | loss  0.616
EP   2 | time  8.87s | reward -19353.2 | evac  70 | died 410 | eps 0.904 | lr 0.00026 | loss  0.119
EP   3 | time  8.65s | reward -17668.0 | evac  86 | died 394 | eps 0.860 | lr 0.00024 | loss  0.177
EP   4 | time  9.08s | reward -20714.3 | evac  90 | died 390 | eps 0.814 | lr 0.00023 | loss  0.326
EP   5 | time  8.43s | reward -17532.9 | evac 141 | died 339 | eps 0.774 | lr 0.00021 | loss  0.510
EP   6 | time  9.30s | reward -20787.9 | evac 146 | died 334 | eps 0.732 | lr 0.00020 | loss  0.652
EP   7 | time  9.25s | reward -18641.0 | evac 175 | died 305 | eps 0.694 | lr 0.00019 | loss  0.729
EP   8 | time  8.94s | reward -19931.1 | evac 195 | died 285 | eps 0.656 | lr 0.00017 | loss  1.091
EP   9 | time  9.51s | reward -19838.2 | evac 201 | died 279 | eps 0.621 | lr 0.00016 | loss  1.485
EP  10 | time  9.43s | reward -19725.7 | evac 241 | died 239 | eps 0.587 | lr 0.00015 | loss  1.799
EP  11 | time  8.77s | reward -18225.0 | evac 249 | died 231 | eps 0.556 | lr 0.00014 | loss  2.035
EP  12 | time  9.12s | reward -17401.4 | evac 257 | died 223 | eps 0.527 | lr 0.00013 | loss  2.488
EP  13 | time  8.47s | reward -15511.9 | evac 281 | died 199 | eps 0.501 | lr 0.00012 | loss  3.177
EP  14 | time  8.93s | reward -18859.9 | evac 296 | died 184 | eps 0.474 | lr 0.00012 | loss  3.779
EP  15 | time  9.08s | reward -17947.9 | evac 298 | died 182 | eps 0.449 | lr 0.00011 | loss  4.468
EP  16 | time  8.37s | reward -16455.9 | evac 290 | died 190 | eps 0.426 | lr 0.00010 | loss  5.209
EP  17 | time  8.48s | reward -17255.7 | evac 318 | died 162 | eps 0.404 | lr 0.00009 | loss  5.743
EP  18 | time  8.71s | reward -15888.7 | evac 312 | died 168 | eps 0.384 | lr 0.00009 | loss  6.239
EP  19 | time  8.28s | reward -16050.8 | evac 317 | died 163 | eps 0.364 | lr 0.00008 | loss  7.507
EP  20 | time  8.97s | reward -15073.4 | evac 332 | died 148 | eps 0.346 | lr 0.00008 | loss  8.338
EP  21 | time  8.35s | reward -16368.8 | evac 326 | died 154 | eps 0.328 | lr 0.00007 | loss  8.914
EP  22 | time  8.00s | reward -15278.1 | evac 345 | died 135 | eps 0.312 | lr 0.00007 | loss 10.391
EP  23 | time  9.03s | reward -18515.2 | evac 336 | died 144 | eps 0.295 | lr 0.00006 | loss 10.934
EP  24 | time  8.98s | reward -13909.7 | evac 350 | died 130 | eps 0.280 | lr 0.00006 | loss 10.748
EP  25 | time  9.15s | reward -16907.6 | evac 343 | died 137 | eps 0.265 | lr 0.00005 | loss 11.956
EP  26 | time  8.87s | reward -18749.1 | evac 346 | died 134 | eps 0.251 | lr 0.00005 | loss 12.609
EP  27 | time  7.97s | reward -16146.6 | evac 359 | died 121 | eps 0.238 | lr 0.00005 | loss 13.380
EP  28 | time  8.35s | reward -14814.4 | evac 363 | died 117 | eps 0.226 | lr 0.00004 | loss 14.165
EP  29 | time  8.57s | reward -16978.3 | evac 347 | died 133 | eps 0.214 | lr 0.00004 | loss 14.424
EP  30 | time  8.40s | reward -14366.1 | evac 371 | died 109 | eps 0.203 | lr 0.00004 | loss 15.020
EP  31 | time  8.58s | reward -16866.9 | evac 367 | died 113 | eps 0.193 | lr 0.00004 | loss 15.562
EP  32 | time  8.19s | reward -16167.9 | evac 373 | died 107 | eps 0.182 | lr 0.00003 | loss 16.380
EP  33 | time  8.11s | reward -16817.5 | evac 371 | died 109 | eps 0.173 | lr 0.00003 | loss 17.912
EP  34 | time  9.06s | reward -17191.5 | evac 375 | died 105 | eps 0.164 | lr 0.00003 | loss 17.678
EP  35 | time  8.09s | reward -16931.7 | evac 377 | died 103 | eps 0.155 | lr 0.00003 | loss 18.128
EP  36 | time  8.62s | reward -18027.1 | evac 367 | died 113 | eps 0.147 | lr 0.00003 | loss 19.545
EP  37 | time  8.07s | reward -15042.5 | evac 373 | died 107 | eps 0.139 | lr 0.00002 | loss 19.990
EP  38 | time  8.15s | reward -16015.2 | evac 375 | died 105 | eps 0.132 | lr 0.00002 | loss 20.378
EP  39 | time  8.35s | reward -15161.2 | evac 377 | died 103 | eps 0.125 | lr 0.00002 | loss 21.431
EP  40 | time  8.28s | reward -17697.0 | evac 366 | died 114 | eps 0.118 | lr 0.00002 | loss 21.555
EP  41 | time  7.91s | reward -14739.3 | evac 379 | died 101 | eps 0.113 | lr 0.00002 | loss 22.550
EP  42 | time  8.81s | reward -19208.2 | evac 372 | died 108 | eps 0.106 | lr 0.00002 | loss 24.051
EP  43 | time  8.44s | reward -16733.9 | evac 378 | died 102 | eps 0.101 | lr 0.00002 | loss 22.980
EP  44 | time  8.66s | reward -14714.1 | evac 382 | died  98 | eps 0.095 | lr 0.00002 | loss 24.284
EP  45 | time  8.24s | reward -15635.1 | evac 366 | died 114 | eps 0.091 | lr 0.00001 | loss 24.448
EP  46 | time  9.07s | reward -15261.5 | evac 379 | died 101 | eps 0.086 | lr 0.00001 | loss 25.325
EP  47 | time  8.95s | reward -15236.1 | evac 380 | died 100 | eps 0.082 | lr 0.00001 | loss 24.821
EP  48 | time  8.58s | reward -16758.0 | evac 384 | died  96 | eps 0.077 | lr 0.00001 | loss 24.908
EP  49 | time  8.72s | reward -14568.2 | evac 380 | died 100 | eps 0.073 | lr 0.00001 | loss 24.532
EP  50 | time  8.45s | reward -15866.2 | evac 382 | died  98 | eps 0.070 | lr 0.00001 | loss 25.078
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_15_DuelingDDQN.csv
