Using device: cuda
EP   1 | time 17.90s | reward -16999.2 | evac  62 | died 418 | eps 0.949 | lr 0.00028 | loss  0.022
EP   2 | time 15.26s | reward -19516.1 | evac  69 | died 411 | eps 0.896 | lr 0.00026 | loss  0.018
EP   3 | time 15.52s | reward -17440.2 | evac  93 | died 387 | eps 0.846 | lr 0.00024 | loss  0.024
EP   4 | time 16.03s | reward -15533.6 | evac 120 | died 360 | eps 0.798 | lr 0.00023 | loss  0.030
EP   5 | time 15.00s | reward  -9026.1 | evac 144 | died 336 | eps 0.755 | lr 0.00021 | loss  0.046
EP   6 | time 16.40s | reward  -7121.1 | evac 159 | died 321 | eps 0.711 | lr 0.00020 | loss  0.070
EP   7 | time 16.98s | reward  -1562.5 | evac 223 | died 257 | eps 0.668 | lr 0.00019 | loss  0.106
EP   8 | time 15.51s | reward    617.1 | evac 231 | died 249 | eps 0.629 | lr 0.00017 | loss  0.145
EP   9 | time 14.55s | reward   7612.2 | evac 242 | died 238 | eps 0.597 | lr 0.00016 | loss  0.196
EP  10 | time 14.76s | reward   8148.6 | evac 253 | died 227 | eps 0.564 | lr 0.00015 | loss  0.241
EP  11 | time 15.44s | reward   8909.0 | evac 269 | died 211 | eps 0.532 | lr 0.00014 | loss  0.283
EP  12 | time 15.70s | reward  13224.7 | evac 272 | died 208 | eps 0.502 | lr 0.00013 | loss  0.315
EP  13 | time 15.72s | reward  14868.9 | evac 300 | died 180 | eps 0.472 | lr 0.00012 | loss  0.337
EP  14 | time 14.46s | reward  18003.9 | evac 309 | died 171 | eps 0.445 | lr 0.00012 | loss  0.362
EP  15 | time 15.36s | reward  17550.1 | evac 280 | died 200 | eps 0.420 | lr 0.00011 | loss  0.402
EP  16 | time 15.08s | reward  25000.0 | evac 326 | died 154 | eps 0.395 | lr 0.00010 | loss  0.429
EP  17 | time 14.54s | reward  23162.6 | evac 312 | died 168 | eps 0.373 | lr 0.00009 | loss  0.456
EP  18 | time 16.13s | reward  24557.8 | evac 333 | died 147 | eps 0.351 | lr 0.00009 | loss  0.500
EP  19 | time 15.09s | reward  25888.5 | evac 335 | died 145 | eps 0.331 | lr 0.00008 | loss  0.517
EP  20 | time 15.55s | reward  28803.4 | evac 352 | died 128 | eps 0.311 | lr 0.00008 | loss  0.542
EP  21 | time 14.53s | reward  28708.1 | evac 338 | died 142 | eps 0.293 | lr 0.00007 | loss  0.547
EP  22 | time 14.84s | reward  32319.6 | evac 362 | died 118 | eps 0.276 | lr 0.00007 | loss  0.578
EP  23 | time 14.04s | reward  30140.7 | evac 352 | died 128 | eps 0.261 | lr 0.00006 | loss  0.597
EP  24 | time 14.71s | reward  33311.2 | evac 347 | died 133 | eps 0.246 | lr 0.00006 | loss  0.599
EP  25 | time 14.32s | reward  32785.6 | evac 353 | died 127 | eps 0.232 | lr 0.00005 | loss  0.634
EP  26 | time 14.95s | reward  33673.6 | evac 354 | died 126 | eps 0.218 | lr 0.00005 | loss  0.637
EP  27 | time 14.88s | reward  37699.2 | evac 366 | died 114 | eps 0.205 | lr 0.00005 | loss  0.665
EP  28 | time 14.29s | reward  34060.1 | evac 354 | died 126 | eps 0.194 | lr 0.00004 | loss  0.671
EP  29 | time 14.65s | reward  36355.9 | evac 367 | died 113 | eps 0.183 | lr 0.00004 | loss  0.696
EP  30 | time 14.11s | reward  39494.1 | evac 369 | died 111 | eps 0.173 | lr 0.00004 | loss  0.685
EP  31 | time 13.13s | reward  31815.6 | evac 350 | died 130 | eps 0.163 | lr 0.00004 | loss  0.691
EP  32 | time  9.54s | reward  39379.8 | evac 358 | died 122 | eps 0.154 | lr 0.00003 | loss  0.731
EP  33 | time  9.31s | reward  45154.8 | evac 375 | died 105 | eps 0.145 | lr 0.00003 | loss  0.745
EP  34 | time  9.60s | reward  47369.7 | evac 371 | died 109 | eps 0.136 | lr 0.00003 | loss  0.779
EP  35 | time  9.59s | reward  44714.5 | evac 363 | died 117 | eps 0.128 | lr 0.00003 | loss  0.775
EP  36 | time  9.63s | reward  52019.6 | evac 401 | died  79 | eps 0.120 | lr 0.00003 | loss  0.791
EP  37 | time  7.10s | reward  51631.8 | evac 388 | died  92 | eps 0.113 | lr 0.00002 | loss  0.815
EP  38 | time  7.09s | reward  50472.8 | evac 382 | died  98 | eps 0.106 | lr 0.00002 | loss  0.824
EP  39 | time  6.61s | reward  48248.6 | evac 389 | died  91 | eps 0.100 | lr 0.00002 | loss  0.839
EP  40 | time  6.67s | reward  49500.0 | evac 378 | died 102 | eps 0.095 | lr 0.00002 | loss  0.859
EP  41 | time  6.66s | reward  50210.8 | evac 383 | died  97 | eps 0.089 | lr 0.00002 | loss  0.861
EP  42 | time  6.85s | reward  53687.0 | evac 382 | died  98 | eps 0.084 | lr 0.00002 | loss  0.908
EP  43 | time  6.54s | reward  46878.7 | evac 362 | died 118 | eps 0.079 | lr 0.00002 | loss  0.931
EP  44 | time  6.43s | reward  49028.6 | evac 386 | died  94 | eps 0.074 | lr 0.00002 | loss  0.949
EP  45 | time  6.55s | reward  51710.8 | evac 392 | died  88 | eps 0.070 | lr 0.00001 | loss  1.023
EP  46 | time  6.67s | reward  55484.6 | evac 410 | died  70 | eps 0.066 | lr 0.00001 | loss  1.003
EP  47 | time  6.49s | reward  57779.3 | evac 422 | died  58 | eps 0.062 | lr 0.00001 | loss  1.025
EP  48 | time  6.48s | reward  52594.6 | evac 397 | died  83 | eps 0.059 | lr 0.00001 | loss  1.040
EP  49 | time  6.19s | reward  52908.8 | evac 400 | died  80 | eps 0.055 | lr 0.00001 | loss  1.076
EP  50 | time  6.32s | reward  56128.6 | evac 421 | died  59 | eps 0.052 | lr 0.00001 | loss  1.072
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_5_QRDQN.csv
