Using device: cuda
EP   1 | time 14.78s | reward -16563.0 | evac  70 | died 410 | eps 0.952 | lr 0.00028 | loss  0.024
EP   2 | time 12.68s | reward -16655.3 | evac  88 | died 392 | eps 0.905 | lr 0.00026 | loss  0.024
EP   3 | time 13.23s | reward -12842.7 | evac 108 | died 372 | eps 0.861 | lr 0.00024 | loss  0.027
EP   4 | time 13.17s | reward -14310.4 | evac 104 | died 376 | eps 0.817 | lr 0.00023 | loss  0.034
EP   5 | time 13.11s | reward  -7459.2 | evac 139 | died 341 | eps 0.778 | lr 0.00021 | loss  0.058
EP   6 | time 13.39s | reward  -6686.1 | evac 154 | died 326 | eps 0.739 | lr 0.00020 | loss  0.072
EP   7 | time 13.79s | reward  -5001.8 | evac 186 | died 294 | eps 0.701 | lr 0.00019 | loss  0.107
EP   8 | time 13.63s | reward  -1571.6 | evac 198 | died 282 | eps 0.666 | lr 0.00017 | loss  0.140
EP   9 | time 13.74s | reward  -2705.6 | evac 201 | died 279 | eps 0.632 | lr 0.00016 | loss  0.175
EP  10 | time 13.90s | reward   -612.5 | evac 215 | died 265 | eps 0.600 | lr 0.00015 | loss  0.220
EP  11 | time 14.20s | reward    555.9 | evac 235 | died 245 | eps 0.568 | lr 0.00014 | loss  0.243
EP  12 | time 15.25s | reward   5385.1 | evac 244 | died 236 | eps 0.539 | lr 0.00013 | loss  0.285
EP  13 | time 13.25s | reward   5972.0 | evac 231 | died 249 | eps 0.513 | lr 0.00012 | loss  0.319
EP  14 | time 14.69s | reward   8099.7 | evac 261 | died 219 | eps 0.488 | lr 0.00012 | loss  0.362
EP  15 | time 14.49s | reward   7258.8 | evac 248 | died 232 | eps 0.463 | lr 0.00011 | loss  0.394
EP  16 | time 13.24s | reward   9493.2 | evac 259 | died 221 | eps 0.441 | lr 0.00010 | loss  0.458
EP  17 | time 13.81s | reward  15157.0 | evac 268 | died 212 | eps 0.419 | lr 0.00009 | loss  0.484
EP  18 | time 14.43s | reward  20446.6 | evac 299 | died 181 | eps 0.397 | lr 0.00009 | loss  0.514
EP  19 | time 13.74s | reward  21891.2 | evac 307 | died 173 | eps 0.377 | lr 0.00008 | loss  0.564
EP  20 | time 15.57s | reward  24843.2 | evac 330 | died 150 | eps 0.355 | lr 0.00008 | loss  0.572
EP  21 | time 13.91s | reward  18868.8 | evac 296 | died 184 | eps 0.337 | lr 0.00007 | loss  0.602
EP  22 | time 13.46s | reward  21042.6 | evac 309 | died 171 | eps 0.321 | lr 0.00007 | loss  0.655
EP  23 | time 13.52s | reward  22064.6 | evac 306 | died 174 | eps 0.304 | lr 0.00006 | loss  0.664
EP  24 | time 12.62s | reward  25394.2 | evac 329 | died 151 | eps 0.289 | lr 0.00006 | loss  0.674
EP  25 | time 13.39s | reward  24640.6 | evac 315 | died 165 | eps 0.275 | lr 0.00005 | loss  0.680
EP  26 | time 13.45s | reward  25142.0 | evac 303 | died 177 | eps 0.260 | lr 0.00005 | loss  0.682
EP  27 | time 12.92s | reward  19818.5 | evac 290 | died 190 | eps 0.248 | lr 0.00005 | loss  0.757
EP  28 | time 13.45s | reward  21600.8 | evac 301 | died 179 | eps 0.235 | lr 0.00004 | loss  0.734
EP  29 | time 14.46s | reward  26249.1 | evac 315 | died 165 | eps 0.222 | lr 0.00004 | loss  0.743
EP  30 | time 14.01s | reward  19263.8 | evac 267 | died 213 | eps 0.211 | lr 0.00004 | loss  0.739
EP  31 | time 14.21s | reward  28481.2 | evac 324 | died 156 | eps 0.200 | lr 0.00004 | loss  0.772
EP  32 | time 12.14s | reward  25078.2 | evac 294 | died 186 | eps 0.189 | lr 0.00003 | loss  0.804
EP  33 | time 10.84s | reward  27880.7 | evac 325 | died 155 | eps 0.179 | lr 0.00003 | loss  0.832
EP  34 | time 11.16s | reward  27715.0 | evac 317 | died 163 | eps 0.170 | lr 0.00003 | loss  0.845
EP  35 | time 10.43s | reward  24665.0 | evac 292 | died 188 | eps 0.161 | lr 0.00003 | loss  0.872
EP  36 | time  9.00s | reward  26400.5 | evac 304 | died 176 | eps 0.153 | lr 0.00003 | loss  0.883
EP  37 | time  9.33s | reward  30542.6 | evac 324 | died 156 | eps 0.145 | lr 0.00002 | loss  0.891
EP  38 | time  8.92s | reward  25307.1 | evac 292 | died 188 | eps 0.137 | lr 0.00002 | loss  0.871
EP  39 | time  8.46s | reward  26750.8 | evac 312 | died 168 | eps 0.130 | lr 0.00002 | loss  0.902
EP  40 | time  9.00s | reward  26536.2 | evac 272 | died 208 | eps 0.123 | lr 0.00002 | loss  0.929
EP  41 | time  8.62s | reward  30874.9 | evac 322 | died 158 | eps 0.116 | lr 0.00002 | loss  0.939
EP  42 | time  8.46s | reward  27289.7 | evac 286 | died 194 | eps 0.110 | lr 0.00002 | loss  0.950
EP  43 | time  8.73s | reward  35398.8 | evac 333 | died 147 | eps 0.104 | lr 0.00002 | loss  0.947
EP  44 | time  7.23s | reward  31320.9 | evac 320 | died 160 | eps 0.099 | lr 0.00002 | loss  0.981
EP  45 | time  6.04s | reward  28000.6 | evac 277 | died 203 | eps 0.093 | lr 0.00001 | loss  0.986
EP  46 | time  7.35s | reward  33021.0 | evac 312 | died 168 | eps 0.088 | lr 0.00001 | loss  0.971
EP  47 | time  8.04s | reward  30519.6 | evac 287 | died 193 | eps 0.084 | lr 0.00001 | loss  0.984
