Using device: cuda
EP   1 | time 24.14s | reward -19735.4 | evac  71 | died 409 | eps 0.946 | lr 0.00028 | loss  0.213
EP   2 | time  8.76s | reward  -9584.1 | evac  74 | died 406 | eps 0.896 | lr 0.00026 | loss  0.072
EP   3 | time  9.06s | reward  -6812.0 | evac 116 | died 364 | eps 0.848 | lr 0.00024 | loss  0.124
EP   4 | time  9.84s | reward  -1523.1 | evac 141 | died 339 | eps 0.799 | lr 0.00023 | loss  0.216
EP   5 | time  9.75s | reward   3192.0 | evac 165 | died 315 | eps 0.756 | lr 0.00021 | loss  0.300
EP   6 | time  9.46s | reward   6016.2 | evac 178 | died 302 | eps 0.716 | lr 0.00020 | loss  0.390
EP   7 | time  9.64s | reward  11184.2 | evac 239 | died 241 | eps 0.678 | lr 0.00019 | loss  0.523
EP   8 | time  9.59s | reward  11890.8 | evac 220 | died 260 | eps 0.642 | lr 0.00017 | loss  0.641
EP   9 | time 10.18s | reward  17106.5 | evac 249 | died 231 | eps 0.606 | lr 0.00016 | loss  0.729
EP  10 | time  9.90s | reward  26030.3 | evac 341 | died 139 | eps 0.574 | lr 0.00015 | loss  0.783
EP  11 | time 10.38s | reward  21921.9 | evac 283 | died 197 | eps 0.542 | lr 0.00014 | loss  0.896
EP  12 | time  9.49s | reward  23771.2 | evac 292 | died 188 | eps 0.514 | lr 0.00013 | loss  0.955
EP  13 | time 10.79s | reward  36473.4 | evac 368 | died 112 | eps 0.484 | lr 0.00012 | loss  1.091
EP  14 | time  9.98s | reward  32720.7 | evac 355 | died 125 | eps 0.459 | lr 0.00012 | loss  1.287
EP  15 | time  9.96s | reward  29933.3 | evac 310 | died 170 | eps 0.433 | lr 0.00011 | loss  1.427
EP  16 | time 10.83s | reward  34005.7 | evac 317 | died 163 | eps 0.409 | lr 0.00010 | loss  1.532
EP  17 | time 10.56s | reward  34441.3 | evac 329 | died 151 | eps 0.386 | lr 0.00009 | loss  1.786
EP  18 | time 10.35s | reward  33455.5 | evac 329 | died 151 | eps 0.365 | lr 0.00009 | loss  1.949
EP  19 | time 10.99s | reward  43662.3 | evac 364 | died 116 | eps 0.343 | lr 0.00008 | loss  2.045
EP  20 | time 11.33s | reward  42077.7 | evac 356 | died 124 | eps 0.323 | lr 0.00008 | loss  2.003
EP  21 | time 11.00s | reward  40015.0 | evac 372 | died 108 | eps 0.306 | lr 0.00007 | loss  2.298
EP  22 | time 10.15s | reward  39884.0 | evac 392 | died  88 | eps 0.290 | lr 0.00007 | loss  2.420
EP  23 | time 11.54s | reward  49625.2 | evac 403 | died  77 | eps 0.273 | lr 0.00006 | loss  2.364
EP  24 | time 10.22s | reward  35255.3 | evac 360 | died 120 | eps 0.259 | lr 0.00006 | loss  2.542
EP  25 | time 10.77s | reward  37651.4 | evac 380 | died 100 | eps 0.246 | lr 0.00005 | loss  2.603
EP  26 | time 11.91s | reward  41774.9 | evac 378 | died 102 | eps 0.231 | lr 0.00005 | loss  2.387
EP  27 | time 11.83s | reward  45050.9 | evac 391 | died  89 | eps 0.218 | lr 0.00005 | loss  2.374
EP  28 | time 11.79s | reward  41938.1 | evac 399 | died  81 | eps 0.205 | lr 0.00004 | loss  2.512
EP  29 | time 11.96s | reward  39966.3 | evac 376 | died 104 | eps 0.195 | lr 0.00004 | loss  2.485
EP  30 | time 11.39s | reward  39883.5 | evac 376 | died 104 | eps 0.185 | lr 0.00004 | loss  2.348
EP  31 | time 12.10s | reward  43493.4 | evac 383 | died  97 | eps 0.175 | lr 0.00004 | loss  2.376
EP  32 | time 10.77s | reward  33059.7 | evac 375 | died 105 | eps 0.166 | lr 0.00003 | loss  2.400
