Using device: cuda
EP   1 | time 24.64s | reward -20222.0 | evac  57 | died 423 | eps 0.949 | lr 0.00028 | loss  0.904
EP   2 | time  7.43s | reward -22369.3 | evac  61 | died 419 | eps 0.898 | lr 0.00026 | loss  0.193
EP   3 | time  8.57s | reward -23119.8 | evac  79 | died 401 | eps 0.848 | lr 0.00024 | loss  0.251
EP   4 | time  8.10s | reward -19800.1 | evac  95 | died 385 | eps 0.805 | lr 0.00023 | loss  0.379
EP   5 | time  8.51s | reward -19230.5 | evac 133 | died 347 | eps 0.762 | lr 0.00021 | loss  0.521
EP   6 | time  8.87s | reward -19715.2 | evac 144 | died 336 | eps 0.721 | lr 0.00020 | loss  0.725
EP   7 | time  8.05s | reward -17782.4 | evac 169 | died 311 | eps 0.684 | lr 0.00019 | loss  1.138
EP   8 | time  8.33s | reward -18667.6 | evac 194 | died 286 | eps 0.647 | lr 0.00017 | loss  1.443
EP   9 | time  8.98s | reward -20327.5 | evac 196 | died 284 | eps 0.612 | lr 0.00016 | loss  2.073
EP  10 | time  8.31s | reward -18724.8 | evac 223 | died 257 | eps 0.579 | lr 0.00015 | loss  2.941
EP  11 | time  8.51s | reward -18063.3 | evac 240 | died 240 | eps 0.548 | lr 0.00014 | loss  3.704
EP  12 | time  9.23s | reward -20218.0 | evac 267 | died 213 | eps 0.517 | lr 0.00013 | loss  4.671
EP  13 | time  8.37s | reward -18045.6 | evac 274 | died 206 | eps 0.488 | lr 0.00012 | loss  6.409
EP  14 | time  8.31s | reward -15415.6 | evac 273 | died 207 | eps 0.464 | lr 0.00012 | loss  8.310
EP  15 | time  9.33s | reward -23134.1 | evac 298 | died 182 | eps 0.436 | lr 0.00011 | loss 11.140
EP  16 | time  8.64s | reward -19672.3 | evac 302 | died 178 | eps 0.411 | lr 0.00010 | loss 13.742
EP  17 | time  8.58s | reward -18461.4 | evac 307 | died 173 | eps 0.388 | lr 0.00009 | loss 14.429
EP  18 | time  8.29s | reward -18255.6 | evac 313 | died 167 | eps 0.367 | lr 0.00009 | loss 16.912
EP  19 | time  9.27s | reward -17681.0 | evac 325 | died 155 | eps 0.347 | lr 0.00008 | loss 16.907
EP  20 | time  8.59s | reward -16613.4 | evac 340 | died 140 | eps 0.328 | lr 0.00008 | loss 20.591
EP  21 | time  8.52s | reward -19889.3 | evac 358 | died 122 | eps 0.309 | lr 0.00007 | loss 20.669
EP  22 | time  7.96s | reward -14824.6 | evac 352 | died 128 | eps 0.293 | lr 0.00007 | loss 22.540
EP  23 | time  8.87s | reward -17311.8 | evac 359 | died 121 | eps 0.277 | lr 0.00006 | loss 25.463
