Using device: cuda
EP   1 | time 28.69s | reward -16505.4 | evac  77 | died 403 | eps 0.951 | lr 0.00028 | loss  0.027
EP   2 | time 13.20s | reward -15756.8 | evac 104 | died 376 | eps 0.902 | lr 0.00026 | loss  0.024
EP   3 | time 13.01s | reward -11921.7 | evac 109 | died 371 | eps 0.859 | lr 0.00024 | loss  0.033
EP   4 | time 12.73s | reward -10806.1 | evac 112 | died 368 | eps 0.818 | lr 0.00023 | loss  0.047
EP   5 | time 13.35s | reward  -9203.9 | evac 156 | died 324 | eps 0.778 | lr 0.00021 | loss  0.073
EP   6 | time 14.11s | reward  -8474.8 | evac 169 | died 311 | eps 0.737 | lr 0.00020 | loss  0.113
EP   7 | time 13.04s | reward  -2450.3 | evac 171 | died 309 | eps 0.702 | lr 0.00019 | loss  0.147
EP   8 | time 14.45s | reward  -1894.6 | evac 213 | died 267 | eps 0.665 | lr 0.00017 | loss  0.186
EP   9 | time 14.35s | reward   3124.6 | evac 231 | died 249 | eps 0.629 | lr 0.00016 | loss  0.252
EP  10 | time 14.35s | reward   5060.4 | evac 233 | died 247 | eps 0.597 | lr 0.00015 | loss  0.303
EP  11 | time 12.84s | reward   8554.1 | evac 271 | died 209 | eps 0.569 | lr 0.00014 | loss  0.369
EP  12 | time 14.61s | reward   8588.6 | evac 255 | died 225 | eps 0.539 | lr 0.00013 | loss  0.438
EP  13 | time 13.80s | reward  11149.6 | evac 289 | died 191 | eps 0.512 | lr 0.00012 | loss  0.487
EP  14 | time 13.51s | reward  13099.0 | evac 284 | died 196 | eps 0.486 | lr 0.00012 | loss  0.516
EP  15 | time 13.24s | reward  15848.2 | evac 318 | died 162 | eps 0.462 | lr 0.00011 | loss  0.570
EP  16 | time 13.89s | reward  16289.9 | evac 297 | died 183 | eps 0.439 | lr 0.00010 | loss  0.606
EP  17 | time 14.73s | reward  18732.8 | evac 298 | died 182 | eps 0.416 | lr 0.00009 | loss  0.709
EP  18 | time 13.52s | reward  17963.5 | evac 310 | died 170 | eps 0.395 | lr 0.00009 | loss  0.707
