Using device: cuda
EP   1 | time 25.05s | reward -16233.6 | evac  78 | died 402 | eps 0.952 | lr 0.00028 | loss  0.027
EP   2 | time 15.08s | reward -18493.3 | evac 100 | died 380 | eps 0.900 | lr 0.00026 | loss  0.024
EP   3 | time 15.27s | reward -15891.7 | evac 132 | died 348 | eps 0.852 | lr 0.00024 | loss  0.031
EP   4 | time 14.51s | reward  -9930.4 | evac 140 | died 340 | eps 0.811 | lr 0.00023 | loss  0.060
EP   5 | time 14.27s | reward  -8354.2 | evac 148 | died 332 | eps 0.771 | lr 0.00021 | loss  0.091
EP   6 | time 15.73s | reward  -7249.0 | evac 162 | died 318 | eps 0.732 | lr 0.00020 | loss  0.136
EP   7 | time 16.35s | reward  -2756.8 | evac 210 | died 270 | eps 0.693 | lr 0.00019 | loss  0.219
EP   8 | time 16.80s | reward   -602.5 | evac 226 | died 254 | eps 0.654 | lr 0.00017 | loss  0.256
EP   9 | time 15.56s | reward   1328.6 | evac 221 | died 259 | eps 0.620 | lr 0.00016 | loss  0.315
EP  10 | time 14.74s | reward   8462.7 | evac 255 | died 225 | eps 0.589 | lr 0.00015 | loss  0.391
EP  11 | time 16.31s | reward  10489.3 | evac 271 | died 209 | eps 0.557 | lr 0.00014 | loss  0.480
EP  12 | time 16.70s | reward  10962.8 | evac 271 | died 209 | eps 0.526 | lr 0.00013 | loss  0.569
EP  13 | time 16.08s | reward  14324.6 | evac 271 | died 209 | eps 0.497 | lr 0.00012 | loss  0.617
EP  14 | time 15.29s | reward  14252.6 | evac 276 | died 204 | eps 0.472 | lr 0.00012 | loss  0.658
EP  15 | time 15.93s | reward  19920.6 | evac 301 | died 179 | eps 0.448 | lr 0.00011 | loss  0.716
EP  16 | time 15.21s | reward  22136.2 | evac 305 | died 175 | eps 0.425 | lr 0.00010 | loss  0.778
EP  17 | time 16.17s | reward  21421.4 | evac 310 | died 170 | eps 0.403 | lr 0.00009 | loss  0.851
EP  18 | time 14.93s | reward  23652.6 | evac 317 | died 163 | eps 0.382 | lr 0.00009 | loss  0.847
EP  19 | time 15.08s | reward  25092.8 | evac 309 | died 171 | eps 0.361 | lr 0.00008 | loss  0.887
EP  20 | time 14.66s | reward  24725.8 | evac 334 | died 146 | eps 0.343 | lr 0.00008 | loss  0.929
EP  21 | time 15.33s | reward  27857.5 | evac 328 | died 152 | eps 0.324 | lr 0.00007 | loss  0.921
EP  22 | time 15.20s | reward  28354.2 | evac 318 | died 162 | eps 0.307 | lr 0.00007 | loss  1.004
EP  23 | time 14.30s | reward  25162.0 | evac 324 | died 156 | eps 0.291 | lr 0.00006 | loss  1.000
EP  24 | time 15.53s | reward  29399.9 | evac 323 | died 157 | eps 0.275 | lr 0.00006 | loss  1.032
EP  25 | time 14.41s | reward  25891.6 | evac 326 | died 154 | eps 0.261 | lr 0.00005 | loss  0.997
EP  26 | time 16.08s | reward  33240.9 | evac 343 | died 137 | eps 0.247 | lr 0.00005 | loss  1.048
EP  27 | time 15.50s | reward  33776.1 | evac 351 | died 129 | eps 0.234 | lr 0.00005 | loss  1.030
EP  28 | time 15.19s | reward  31507.8 | evac 340 | died 140 | eps 0.221 | lr 0.00004 | loss  1.045
EP  29 | time 14.90s | reward  31650.8 | evac 335 | died 145 | eps 0.210 | lr 0.00004 | loss  1.115
EP  30 | time 15.27s | reward  34907.5 | evac 349 | died 131 | eps 0.198 | lr 0.00004 | loss  1.112
EP  31 | time 14.54s | reward  34595.2 | evac 352 | died 128 | eps 0.188 | lr 0.00004 | loss  1.116
EP  32 | time 14.24s | reward  33073.7 | evac 352 | died 128 | eps 0.179 | lr 0.00003 | loss  1.202
EP  33 | time 15.59s | reward  36229.2 | evac 352 | died 128 | eps 0.169 | lr 0.00003 | loss  1.119
EP  34 | time 14.17s | reward  35442.1 | evac 364 | died 116 | eps 0.160 | lr 0.00003 | loss  1.148
EP  35 | time 11.07s | reward  35523.3 | evac 358 | died 122 | eps 0.151 | lr 0.00003 | loss  1.257
EP  36 | time  9.28s | reward  35860.7 | evac 349 | died 131 | eps 0.143 | lr 0.00003 | loss  1.226
EP  37 | time  9.06s | reward  36895.1 | evac 353 | died 127 | eps 0.136 | lr 0.00002 | loss  1.297
EP  38 | time  9.89s | reward  39915.1 | evac 334 | died 146 | eps 0.128 | lr 0.00002 | loss  1.243
EP  39 | time  9.01s | reward  39533.6 | evac 357 | died 123 | eps 0.121 | lr 0.00002 | loss  1.339
EP  40 | time  9.43s | reward  35925.4 | evac 353 | died 127 | eps 0.114 | lr 0.00002 | loss  1.386
EP  41 | time  8.92s | reward  35673.0 | evac 336 | died 144 | eps 0.108 | lr 0.00002 | loss  1.414
EP  42 | time  8.71s | reward  38877.3 | evac 357 | died 123 | eps 0.103 | lr 0.00002 | loss  1.469
EP  43 | time  9.68s | reward  40581.5 | evac 345 | died 135 | eps 0.097 | lr 0.00002 | loss  1.404
EP  44 | time  8.99s | reward  40640.2 | evac 358 | died 122 | eps 0.092 | lr 0.00002 | loss  1.499
EP  45 | time  8.68s | reward  39062.8 | evac 364 | died 116 | eps 0.087 | lr 0.00001 | loss  1.490
EP  46 | time  9.00s | reward  40258.1 | evac 358 | died 122 | eps 0.082 | lr 0.00001 | loss  1.493
EP  47 | time  8.67s | reward  39104.8 | evac 358 | died 122 | eps 0.078 | lr 0.00001 | loss  1.572
EP  48 | time  9.46s | reward  41737.8 | evac 343 | died 137 | eps 0.074 | lr 0.00001 | loss  1.520
EP  49 | time  8.65s | reward  42019.3 | evac 345 | died 135 | eps 0.070 | lr 0.00001 | loss  1.580
