Using device: cuda
EP   1 | time 27.41s | reward  -5558.2 | evac  92 | died 388 | eps 0.950 | lr 0.00028 | loss  0.286
EP   2 | time  9.09s | reward  -2447.7 | evac 138 | died 342 | eps 0.901 | lr 0.00026 | loss  0.088
EP   3 | time  9.23s | reward   3662.7 | evac 185 | died 295 | eps 0.853 | lr 0.00024 | loss  0.126
EP   4 | time  9.49s | reward   7643.4 | evac 252 | died 228 | eps 0.808 | lr 0.00023 | loss  0.250
EP   5 | time  9.55s | reward  12948.2 | evac 258 | died 222 | eps 0.766 | lr 0.00021 | loss  0.301
EP   6 | time  9.54s | reward  19084.1 | evac 283 | died 197 | eps 0.722 | lr 0.00020 | loss  0.326
EP   7 | time  9.46s | reward  17561.6 | evac 293 | died 187 | eps 0.687 | lr 0.00019 | loss  0.442
EP   8 | time 10.23s | reward  18545.8 | evac 265 | died 215 | eps 0.649 | lr 0.00017 | loss  0.626
EP   9 | time  9.64s | reward  20862.3 | evac 312 | died 168 | eps 0.615 | lr 0.00016 | loss  0.813
EP  10 | time 10.18s | reward  24925.5 | evac 296 | died 184 | eps 0.581 | lr 0.00015 | loss  1.092
EP  11 | time 10.05s | reward  27170.5 | evac 341 | died 139 | eps 0.552 | lr 0.00014 | loss  1.532
EP  12 | time  9.25s | reward  26955.2 | evac 320 | died 160 | eps 0.525 | lr 0.00013 | loss  1.924
EP  13 | time 10.02s | reward  29613.1 | evac 327 | died 153 | eps 0.498 | lr 0.00012 | loss  1.923
EP  14 | time 10.31s | reward  31805.9 | evac 358 | died 122 | eps 0.472 | lr 0.00012 | loss  2.457
EP  15 | time  9.96s | reward  36054.2 | evac 377 | died 103 | eps 0.448 | lr 0.00011 | loss  2.569
EP  16 | time 10.08s | reward  36153.4 | evac 348 | died 132 | eps 0.425 | lr 0.00010 | loss  2.838
EP  17 | time 10.12s | reward  39585.0 | evac 383 | died  97 | eps 0.403 | lr 0.00009 | loss  3.083
EP  18 | time 10.55s | reward  33414.8 | evac 334 | died 146 | eps 0.382 | lr 0.00009 | loss  3.119
EP  19 | time 10.46s | reward  36275.6 | evac 367 | died 113 | eps 0.362 | lr 0.00008 | loss  3.486
EP  20 | time 10.22s | reward  32763.3 | evac 359 | died 121 | eps 0.343 | lr 0.00008 | loss  3.363
EP  21 | time 10.83s | reward  38763.1 | evac 373 | died 107 | eps 0.324 | lr 0.00007 | loss  3.595
EP  22 | time 11.90s | reward  35881.2 | evac 357 | died 123 | eps 0.308 | lr 0.00007 | loss  3.806
EP  23 | time 10.76s | reward  37121.2 | evac 361 | died 119 | eps 0.292 | lr 0.00006 | loss  3.863
EP  24 | time 10.06s | reward  31266.5 | evac 345 | died 135 | eps 0.279 | lr 0.00006 | loss  3.781
EP  25 | time 11.05s | reward  31309.6 | evac 326 | died 154 | eps 0.264 | lr 0.00005 | loss  3.499
EP  26 | time 11.11s | reward  33168.5 | evac 353 | died 127 | eps 0.251 | lr 0.00005 | loss  3.584
EP  27 | time 11.06s | reward  31132.2 | evac 333 | died 147 | eps 0.238 | lr 0.00005 | loss  3.689
EP  28 | time 11.59s | reward  35487.3 | evac 356 | died 124 | eps 0.226 | lr 0.00004 | loss  3.700
EP  29 | time 11.40s | reward  41567.5 | evac 404 | died  76 | eps 0.215 | lr 0.00004 | loss  3.408
EP  30 | time 11.67s | reward  35941.3 | evac 371 | died 109 | eps 0.204 | lr 0.00004 | loss  3.411
EP  31 | time 11.51s | reward  35027.0 | evac 355 | died 125 | eps 0.193 | lr 0.00004 | loss  3.084
EP  32 | time 12.16s | reward  30476.2 | evac 337 | died 143 | eps 0.183 | lr 0.00003 | loss  3.107
EP  33 | time 13.09s | reward  31015.0 | evac 388 | died  92 | eps 0.172 | lr 0.00003 | loss  2.959
EP  34 | time 12.87s | reward  35454.3 | evac 367 | died 113 | eps 0.163 | lr 0.00003 | loss  2.668
EP  35 | time 13.05s | reward  25455.6 | evac 351 | died 129 | eps 0.154 | lr 0.00003 | loss  2.661
EP  36 | time 14.04s | reward  27922.9 | evac 373 | died 107 | eps 0.146 | lr 0.00003 | loss  2.345
EP  37 | time 14.12s | reward  26375.3 | evac 332 | died 148 | eps 0.138 | lr 0.00002 | loss  2.261
EP  38 | time 14.95s | reward  26035.1 | evac 343 | died 137 | eps 0.130 | lr 0.00002 | loss  2.174
EP  39 | time 15.42s | reward  27765.0 | evac 337 | died 143 | eps 0.123 | lr 0.00002 | loss  2.110
EP  40 | time 12.63s | reward  28063.7 | evac 339 | died 141 | eps 0.117 | lr 0.00002 | loss  2.060
EP  41 | time 11.92s | reward  28334.6 | evac 323 | died 157 | eps 0.110 | lr 0.00002 | loss  1.819
EP  42 | time 11.75s | reward  27882.8 | evac 335 | died 145 | eps 0.104 | lr 0.00002 | loss  1.821
EP  43 | time 10.71s | reward  27391.7 | evac 339 | died 141 | eps 0.098 | lr 0.00002 | loss  1.766
EP  44 | time 11.08s | reward  27855.0 | evac 353 | died 127 | eps 0.093 | lr 0.00002 | loss  1.580
EP  45 | time 11.36s | reward  20368.3 | evac 355 | died 125 | eps 0.088 | lr 0.00001 | loss  1.590
EP  46 | time 10.32s | reward  26519.3 | evac 353 | died 127 | eps 0.083 | lr 0.00001 | loss  1.558
EP  47 | time  9.37s | reward  21604.2 | evac 328 | died 152 | eps 0.078 | lr 0.00001 | loss  1.611
EP  48 | time  9.90s | reward  21130.3 | evac 329 | died 151 | eps 0.074 | lr 0.00001 | loss  1.528
EP  49 | time  8.98s | reward  17708.1 | evac 314 | died 166 | eps 0.071 | lr 0.00001 | loss  1.550
EP  50 | time 11.37s | reward  26339.6 | evac 364 | died 116 | eps 0.066 | lr 0.00001 | loss  1.362
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_15_DuelingDDQNPrioritized.csv
