Using device: cuda
ALGORITHM: QRDQN
EP 1/100 | time  8.07s | reward -24912.4 | evac  74 | died 406 | eps 0.970 | lr 0.00029 | loss  0.032
EP 2/100 | time  7.07s | reward -20276.0 | evac  72 | died 408 | eps 0.943 | lr 0.00028 | loss  0.025
EP 3/100 | time  6.65s | reward -16328.0 | evac  84 | died 396 | eps 0.918 | lr 0.00027 | loss  0.029
EP 4/100 | time  7.30s | reward -19265.3 | evac  98 | died 382 | eps 0.892 | lr 0.00026 | loss  0.042
EP 5/100 | time  7.01s | reward -15710.7 | evac 120 | died 360 | eps 0.867 | lr 0.00025 | loss  0.063
EP 6/100 | time  6.77s | reward -13520.1 | evac 108 | died 372 | eps 0.844 | lr 0.00024 | loss  0.086
EP 7/100 | time  7.15s | reward -14390.0 | evac 131 | died 349 | eps 0.820 | lr 0.00024 | loss  0.109
EP 8/100 | time  7.31s | reward -13867.9 | evac 114 | died 366 | eps 0.798 | lr 0.00023 | loss  0.136
EP 9/100 | time  6.66s | reward -10111.2 | evac 159 | died 321 | eps 0.777 | lr 0.00022 | loss  0.172
EP 10/100 | time  7.00s | reward  -9467.9 | evac 168 | died 312 | eps 0.755 | lr 0.00021 | loss  0.207
EP 11/100 | time  6.97s | reward  -9511.1 | evac 167 | died 313 | eps 0.735 | lr 0.00021 | loss  0.254
EP 12/100 | time  7.50s | reward  -7461.3 | evac 174 | died 306 | eps 0.713 | lr 0.00020 | loss  0.277
EP 13/100 | time  7.30s | reward  -1005.7 | evac 236 | died 244 | eps 0.693 | lr 0.00019 | loss  0.313
EP 14/100 | time  7.10s | reward  -1074.4 | evac 214 | died 266 | eps 0.674 | lr 0.00019 | loss  0.348
EP 15/100 | time  7.20s | reward   1862.2 | evac 229 | died 251 | eps 0.655 | lr 0.00018 | loss  0.376
EP 16/100 | time  7.23s | reward   1740.6 | evac 242 | died 238 | eps 0.636 | lr 0.00017 | loss  0.443
EP 17/100 | time  7.49s | reward   4231.9 | evac 251 | died 229 | eps 0.618 | lr 0.00017 | loss  0.446
EP 18/100 | time  8.08s | reward   5670.4 | evac 272 | died 208 | eps 0.598 | lr 0.00016 | loss  0.442
EP 19/100 | time  7.94s | reward   7359.0 | evac 268 | died 212 | eps 0.580 | lr 0.00016 | loss  0.491
EP 20/100 | time  7.40s | reward   9338.0 | evac 268 | died 212 | eps 0.563 | lr 0.00015 | loss  0.547
EP 21/100 | time  7.26s | reward  10825.8 | evac 278 | died 202 | eps 0.547 | lr 0.00015 | loss  0.556
EP 22/100 | time  7.71s | reward   9135.7 | evac 293 | died 187 | eps 0.531 | lr 0.00014 | loss  0.574
EP 23/100 | time  7.17s | reward  12358.3 | evac 274 | died 206 | eps 0.516 | lr 0.00014 | loss  0.581
EP 24/100 | time  7.53s | reward  11304.4 | evac 276 | died 204 | eps 0.500 | lr 0.00013 | loss  0.658
EP 25/100 | time  7.45s | reward   8847.9 | evac 275 | died 205 | eps 0.486 | lr 0.00013 | loss  0.673
EP 26/100 | time  6.95s | reward  14725.2 | evac 280 | died 200 | eps 0.473 | lr 0.00012 | loss  0.686
EP 27/100 | time  7.17s | reward  13762.2 | evac 279 | died 201 | eps 0.460 | lr 0.00012 | loss  0.747
EP 28/100 | time  7.77s | reward  15465.3 | evac 294 | died 186 | eps 0.446 | lr 0.00012 | loss  0.736
EP 29/100 | time  7.25s | reward  15039.6 | evac 270 | died 210 | eps 0.434 | lr 0.00011 | loss  0.740
EP 30/100 | time  7.97s | reward  17415.8 | evac 295 | died 185 | eps 0.421 | lr 0.00011 | loss  0.752
EP 31/100 | time  8.10s | reward  22289.8 | evac 323 | died 157 | eps 0.407 | lr 0.00010 | loss  0.774
EP 32/100 | time  7.21s | reward  11383.3 | evac 253 | died 227 | eps 0.396 | lr 0.00010 | loss  0.833
EP 33/100 | time  7.08s | reward  16605.0 | evac 267 | died 213 | eps 0.385 | lr 0.00010 | loss  0.842
EP 34/100 | time  7.14s | reward  20244.9 | evac 304 | died 176 | eps 0.374 | lr 0.00009 | loss  0.862
EP 35/100 | time  7.20s | reward  17283.8 | evac 284 | died 196 | eps 0.364 | lr 0.00009 | loss  0.872
EP 36/100 | time  7.52s | reward  20934.0 | evac 306 | died 174 | eps 0.353 | lr 0.00009 | loss  0.864
EP 37/100 | time  7.50s | reward  24546.9 | evac 312 | died 168 | eps 0.343 | lr 0.00009 | loss  0.905
EP 38/100 | time  6.99s | reward  21365.9 | evac 316 | died 164 | eps 0.333 | lr 0.00008 | loss  0.924
EP 39/100 | time  7.60s | reward  27335.1 | evac 354 | died 126 | eps 0.323 | lr 0.00008 | loss  0.894
EP 40/100 | time  7.33s | reward  27853.4 | evac 344 | died 136 | eps 0.314 | lr 0.00008 | loss  0.904
EP 41/100 | time  6.48s | reward  20539.1 | evac 291 | died 189 | eps 0.306 | lr 0.00007 | loss  0.963
EP 42/100 | time  7.25s | reward  20439.7 | evac 288 | died 192 | eps 0.298 | lr 0.00007 | loss  0.998
EP 43/100 | time  7.47s | reward  22656.9 | evac 314 | died 166 | eps 0.289 | lr 0.00007 | loss  1.013
EP 44/100 | time  7.70s | reward  23823.3 | evac 312 | died 168 | eps 0.280 | lr 0.00007 | loss  1.021
EP 45/100 | time  7.11s | reward  24949.2 | evac 316 | died 164 | eps 0.273 | lr 0.00006 | loss  1.032
EP 46/100 | time  7.02s | reward  20870.9 | evac 283 | died 197 | eps 0.265 | lr 0.00006 | loss  1.067
EP 47/100 | time  7.35s | reward  22852.7 | evac 322 | died 158 | eps 0.257 | lr 0.00006 | loss  1.080
EP 48/100 | time  7.19s | reward  23705.2 | evac 315 | died 165 | eps 0.250 | lr 0.00006 | loss  1.027
EP 49/100 | time  7.34s | reward  25978.2 | evac 322 | died 158 | eps 0.243 | lr 0.00006 | loss  1.039
EP 50/100 | time  7.03s | reward  27121.7 | evac 317 | died 163 | eps 0.236 | lr 0.00005 | loss  1.082
EP 51/100 | time  7.50s | reward  23603.4 | evac 322 | died 158 | eps 0.230 | lr 0.00005 | loss  1.085
EP 52/100 | time  7.52s | reward  30540.9 | evac 346 | died 134 | eps 0.223 | lr 0.00005 | loss  1.091
EP 53/100 | time  7.39s | reward  24541.7 | evac 315 | died 165 | eps 0.216 | lr 0.00005 | loss  1.099
EP 54/100 | time  7.24s | reward  24240.9 | evac 316 | died 164 | eps 0.210 | lr 0.00005 | loss  1.130
EP 55/100 | time  7.87s | reward  26339.1 | evac 326 | died 154 | eps 0.204 | lr 0.00005 | loss  1.161
EP 56/100 | time  7.52s | reward  19996.8 | evac 276 | died 204 | eps 0.198 | lr 0.00004 | loss  1.202
EP 57/100 | time  7.69s | reward  24641.1 | evac 310 | died 170 | eps 0.192 | lr 0.00004 | loss  1.230
EP 58/100 | time  7.21s | reward  22995.7 | evac 307 | died 173 | eps 0.187 | lr 0.00004 | loss  1.223
EP 59/100 | time  7.35s | reward  27102.7 | evac 335 | died 145 | eps 0.181 | lr 0.00004 | loss  1.237
EP 60/100 | time  8.00s | reward  21849.8 | evac 284 | died 196 | eps 0.176 | lr 0.00004 | loss  1.256
EP 61/100 | time  7.26s | reward  24391.6 | evac 327 | died 153 | eps 0.171 | lr 0.00004 | loss  1.281
EP 62/100 | time  7.85s | reward  25935.2 | evac 297 | died 183 | eps 0.166 | lr 0.00004 | loss  1.257
EP 63/100 | time  6.92s | reward  20514.3 | evac 293 | died 187 | eps 0.161 | lr 0.00004 | loss  1.300
EP 64/100 | time  7.94s | reward  22388.4 | evac 280 | died 200 | eps 0.156 | lr 0.00003 | loss  1.288
EP 65/100 | time  7.29s | reward  25745.3 | evac 330 | died 150 | eps 0.152 | lr 0.00003 | loss  1.322
EP 66/100 | time  7.11s | reward  23522.3 | evac 304 | died 176 | eps 0.148 | lr 0.00003 | loss  1.327
EP 67/100 | time  7.35s | reward  27722.3 | evac 315 | died 165 | eps 0.143 | lr 0.00003 | loss  1.381
EP 68/100 | time  7.54s | reward  31004.3 | evac 326 | died 154 | eps 0.139 | lr 0.00003 | loss  1.410
EP 69/100 | time  7.91s | reward  26641.6 | evac 291 | died 189 | eps 0.135 | lr 0.00003 | loss  1.386
EP 70/100 | time  7.13s | reward  23430.2 | evac 288 | died 192 | eps 0.131 | lr 0.00003 | loss  1.348
EP 71/100 | time  8.23s | reward  32956.1 | evac 316 | died 164 | eps 0.127 | lr 0.00003 | loss  1.418
EP 72/100 | time  7.56s | reward  27976.8 | evac 304 | died 176 | eps 0.123 | lr 0.00003 | loss  1.394
EP 73/100 | time  6.77s | reward  25830.9 | evac 293 | died 187 | eps 0.120 | lr 0.00003 | loss  1.399
EP 74/100 | time  8.07s | reward  35175.7 | evac 336 | died 144 | eps 0.117 | lr 0.00002 | loss  1.428
EP 75/100 | time  7.03s | reward  30156.8 | evac 313 | died 167 | eps 0.113 | lr 0.00002 | loss  1.415
EP 76/100 | time  7.14s | reward  28923.2 | evac 311 | died 169 | eps 0.110 | lr 0.00002 | loss  1.418
EP 77/100 | time  7.52s | reward  30830.7 | evac 299 | died 181 | eps 0.107 | lr 0.00002 | loss  1.477
EP 78/100 | time  7.40s | reward  29780.3 | evac 307 | died 173 | eps 0.104 | lr 0.00002 | loss  1.453
EP 79/100 | time  7.07s | reward  25137.3 | evac 303 | died 177 | eps 0.101 | lr 0.00002 | loss  1.512
EP 80/100 | time  7.40s | reward  31585.8 | evac 318 | died 162 | eps 0.098 | lr 0.00002 | loss  1.501
EP 81/100 | time  7.08s | reward  20979.6 | evac 258 | died 222 | eps 0.095 | lr 0.00002 | loss  1.488
EP 82/100 | time  7.39s | reward  28039.7 | evac 288 | died 192 | eps 0.093 | lr 0.00002 | loss  1.512
EP 83/100 | time  7.44s | reward  32725.2 | evac 336 | died 144 | eps 0.090 | lr 0.00002 | loss  1.479
EP 84/100 | time  7.49s | reward  30213.3 | evac 304 | died 176 | eps 0.087 | lr 0.00002 | loss  1.556
EP 85/100 | time  6.96s | reward  29635.5 | evac 320 | died 160 | eps 0.085 | lr 0.00002 | loss  1.556
EP 86/100 | time  6.80s | reward  26649.8 | evac 288 | died 192 | eps 0.083 | lr 0.00002 | loss  1.530
EP 87/100 | time  7.13s | reward  28974.4 | evac 298 | died 182 | eps 0.081 | lr 0.00002 | loss  1.588
EP 88/100 | time  7.25s | reward  31012.8 | evac 303 | died 177 | eps 0.078 | lr 0.00002 | loss  1.582
EP 89/100 | time  7.83s | reward  28547.7 | evac 315 | died 165 | eps 0.076 | lr 0.00001 | loss  1.558
EP 90/100 | time  7.36s | reward  26258.3 | evac 301 | died 179 | eps 0.074 | lr 0.00001 | loss  1.530
EP 91/100 | time  7.40s | reward  30396.0 | evac 332 | died 148 | eps 0.072 | lr 0.00001 | loss  1.515
EP 92/100 | time  8.04s | reward  29329.9 | evac 335 | died 145 | eps 0.069 | lr 0.00001 | loss  1.524
