Using device: cuda
ALGORITHM: DuelingDDQNPrioritized
EP 1/100 | time  5.09s | reward -18546.0 | evac  73 | died 407 | eps 0.973 | lr 0.00029 | loss  0.087
EP 2/100 | time  5.09s | reward -29168.9 | evac  66 | died 414 | eps 0.942 | lr 0.00028 | loss  0.126
EP 3/100 | time  6.79s | reward -18696.7 | evac  91 | died 389 | eps 0.911 | lr 0.00027 | loss  0.186
EP 4/100 | time  4.74s | reward -11451.3 | evac  82 | died 398 | eps 0.885 | lr 0.00026 | loss  0.301
EP 5/100 | time  4.57s | reward -11496.4 | evac  89 | died 391 | eps 0.861 | lr 0.00025 | loss  0.403
EP 6/100 | time  4.70s | reward  -7994.5 | evac 140 | died 340 | eps 0.836 | lr 0.00024 | loss  0.524
EP 7/100 | time  4.60s | reward   -772.4 | evac 155 | died 325 | eps 0.812 | lr 0.00024 | loss  0.511
EP 8/100 | time  4.77s | reward  -9821.7 | evac  86 | died 394 | eps 0.789 | lr 0.00023 | loss  0.523
EP 9/100 | time  4.92s | reward  -3249.6 | evac 149 | died 331 | eps 0.765 | lr 0.00022 | loss  0.602
EP 10/100 | time  4.71s | reward  -3487.6 | evac 119 | died 361 | eps 0.743 | lr 0.00021 | loss  0.673
EP 11/100 | time  4.70s | reward  -5473.2 | evac 123 | died 357 | eps 0.722 | lr 0.00021 | loss  0.695
EP 12/100 | time  7.64s | reward  -2932.7 | evac 142 | died 338 | eps 0.700 | lr 0.00020 | loss  0.735
EP 13/100 | time  9.41s | reward     36.1 | evac 147 | died 333 | eps 0.679 | lr 0.00019 | loss  0.756
EP 14/100 | time  9.34s | reward  -1279.8 | evac 139 | died 341 | eps 0.658 | lr 0.00019 | loss  0.825
EP 15/100 | time  9.65s | reward   -247.0 | evac 151 | died 329 | eps 0.639 | lr 0.00018 | loss  0.802
EP 16/100 | time  9.57s | reward    106.2 | evac 148 | died 332 | eps 0.619 | lr 0.00017 | loss  0.786
EP 17/100 | time  8.81s | reward   5725.6 | evac 193 | died 287 | eps 0.602 | lr 0.00017 | loss  0.767
EP 18/100 | time  8.22s | reward  24148.9 | evac 324 | died 156 | eps 0.584 | lr 0.00016 | loss  0.868
EP 19/100 | time  8.20s | reward  12846.1 | evac 309 | died 171 | eps 0.567 | lr 0.00016 | loss  0.800
EP 20/100 | time  9.65s | reward   -299.4 | evac 153 | died 327 | eps 0.549 | lr 0.00015 | loss  0.793
EP 21/100 | time  8.48s | reward   6665.0 | evac 173 | died 307 | eps 0.533 | lr 0.00015 | loss  0.824
EP 22/100 | time  8.50s | reward    563.1 | evac 147 | died 333 | eps 0.519 | lr 0.00014 | loss  0.850
