Using device: cuda
ALGORITHM: QRDQN
EP 1/100 | time  5.09s | reward -18607.1 | evac  82 | died 398 | eps 0.974 | lr 0.00029 | loss  0.037
EP 2/100 | time  4.48s | reward -17452.8 | evac  77 | died 403 | eps 0.948 | lr 0.00028 | loss  0.055
EP 3/100 | time  4.94s | reward -20508.9 | evac  84 | died 396 | eps 0.921 | lr 0.00027 | loss  0.046
EP 4/100 | time  4.88s | reward -18478.4 | evac 108 | died 372 | eps 0.895 | lr 0.00026 | loss  0.055
EP 5/100 | time  4.90s | reward -17193.2 | evac 105 | died 375 | eps 0.869 | lr 0.00025 | loss  0.071
EP 6/100 | time  4.50s | reward -15794.0 | evac 109 | died 371 | eps 0.846 | lr 0.00024 | loss  0.092
EP 7/100 | time  5.13s | reward -18215.0 | evac 104 | died 376 | eps 0.821 | lr 0.00024 | loss  0.101
EP 8/100 | time  4.75s | reward -15771.6 | evac  99 | died 381 | eps 0.798 | lr 0.00023 | loss  0.121
EP 9/100 | time  5.48s | reward -13494.9 | evac 102 | died 378 | eps 0.777 | lr 0.00022 | loss  0.139
EP 10/100 | time  5.80s | reward  -9661.5 | evac 137 | died 343 | eps 0.756 | lr 0.00021 | loss  0.162
EP 11/100 | time  5.24s | reward -10745.7 | evac 119 | died 361 | eps 0.736 | lr 0.00021 | loss  0.187
EP 12/100 | time  5.35s | reward -10967.1 | evac 142 | died 338 | eps 0.716 | lr 0.00020 | loss  0.231
EP 13/100 | time  5.58s | reward -12453.7 | evac 137 | died 343 | eps 0.696 | lr 0.00019 | loss  0.256
EP 14/100 | time  5.06s | reward  -5645.5 | evac 159 | died 321 | eps 0.676 | lr 0.00019 | loss  0.272
EP 15/100 | time  5.36s | reward  -9928.2 | evac 126 | died 354 | eps 0.658 | lr 0.00018 | loss  0.287
EP 16/100 | time  4.63s | reward  -5736.4 | evac 173 | died 307 | eps 0.640 | lr 0.00017 | loss  0.354
EP 17/100 | time  6.89s | reward  -8832.4 | evac 148 | died 332 | eps 0.622 | lr 0.00017 | loss  0.346
EP 18/100 | time  5.22s | reward  -3129.4 | evac 180 | died 300 | eps 0.605 | lr 0.00016 | loss  0.379
EP 19/100 | time  5.34s | reward  -2822.2 | evac 239 | died 241 | eps 0.587 | lr 0.00016 | loss  0.416
EP 20/100 | time  6.79s | reward  -4334.1 | evac 146 | died 334 | eps 0.572 | lr 0.00015 | loss  0.420
EP 21/100 | time  4.75s | reward   -418.8 | evac 228 | died 252 | eps 0.556 | lr 0.00015 | loss  0.483
EP 22/100 | time  5.59s | reward  -5269.9 | evac 179 | died 301 | eps 0.541 | lr 0.00014 | loss  0.507
EP 23/100 | time  5.06s | reward   2760.9 | evac 243 | died 237 | eps 0.525 | lr 0.00014 | loss  0.522
EP 24/100 | time  7.46s | reward  -3935.4 | evac 195 | died 285 | eps 0.509 | lr 0.00013 | loss  0.576
EP 25/100 | time  4.68s | reward   2777.0 | evac 235 | died 245 | eps 0.495 | lr 0.00013 | loss  0.590
EP 26/100 | time  4.93s | reward   1309.2 | evac 228 | died 252 | eps 0.481 | lr 0.00012 | loss  0.649
EP 27/100 | time  5.50s | reward    614.9 | evac 206 | died 274 | eps 0.467 | lr 0.00012 | loss  0.600
EP 28/100 | time  5.26s | reward -10507.3 | evac 150 | died 330 | eps 0.455 | lr 0.00012 | loss  0.654
EP 29/100 | time  5.06s | reward  -1621.2 | evac 206 | died 274 | eps 0.442 | lr 0.00011 | loss  0.715
EP 30/100 | time  5.38s | reward   2642.4 | evac 240 | died 240 | eps 0.429 | lr 0.00011 | loss  0.733
EP 31/100 | time  6.11s | reward  -1676.7 | evac 254 | died 226 | eps 0.416 | lr 0.00010 | loss  0.736
EP 32/100 | time  7.03s | reward   -987.6 | evac 262 | died 218 | eps 0.404 | lr 0.00010 | loss  0.750
EP 33/100 | time  5.86s | reward   -216.7 | evac 213 | died 267 | eps 0.393 | lr 0.00010 | loss  0.797
EP 34/100 | time  4.65s | reward   3616.2 | evac 244 | died 236 | eps 0.382 | lr 0.00009 | loss  0.815
EP 35/100 | time  5.39s | reward  -4852.3 | evac 253 | died 227 | eps 0.372 | lr 0.00009 | loss  0.858
EP 36/100 | time  7.00s | reward   -747.3 | evac 266 | died 214 | eps 0.359 | lr 0.00009 | loss  0.939
EP 37/100 | time  4.73s | reward   5412.6 | evac 272 | died 208 | eps 0.349 | lr 0.00009 | loss  0.900
EP 38/100 | time  6.07s | reward   1689.0 | evac 261 | died 219 | eps 0.339 | lr 0.00008 | loss  0.930
EP 39/100 | time  5.40s | reward   -457.8 | evac 234 | died 246 | eps 0.329 | lr 0.00008 | loss  1.003
EP 40/100 | time  5.96s | reward   9677.6 | evac 245 | died 235 | eps 0.319 | lr 0.00008 | loss  1.020
EP 41/100 | time  5.15s | reward   6251.6 | evac 304 | died 176 | eps 0.310 | lr 0.00007 | loss  1.060
EP 42/100 | time  6.37s | reward  -3154.3 | evac 259 | died 221 | eps 0.300 | lr 0.00007 | loss  1.075
EP 43/100 | time  5.12s | reward   5791.3 | evac 260 | died 220 | eps 0.292 | lr 0.00007 | loss  1.144
EP 44/100 | time  5.19s | reward   5242.2 | evac 248 | died 232 | eps 0.284 | lr 0.00007 | loss  1.146
EP 45/100 | time  6.26s | reward  -3338.5 | evac 221 | died 259 | eps 0.276 | lr 0.00006 | loss  1.085
EP 46/100 | time  5.15s | reward  13572.2 | evac 332 | died 148 | eps 0.267 | lr 0.00006 | loss  1.140
EP 47/100 | time  5.91s | reward   -134.5 | evac 287 | died 193 | eps 0.259 | lr 0.00006 | loss  1.146
EP 48/100 | time  6.26s | reward  12194.9 | evac 284 | died 196 | eps 0.251 | lr 0.00006 | loss  1.130
EP 49/100 | time  5.09s | reward  12827.5 | evac 311 | died 169 | eps 0.245 | lr 0.00006 | loss  1.174
EP 50/100 | time  6.16s | reward   4083.2 | evac 319 | died 161 | eps 0.237 | lr 0.00005 | loss  1.176
EP 51/100 | time  5.88s | reward   1937.3 | evac 291 | died 189 | eps 0.230 | lr 0.00005 | loss  1.192
EP 52/100 | time  5.48s | reward  17785.1 | evac 308 | died 172 | eps 0.224 | lr 0.00005 | loss  1.265
EP 53/100 | time  5.50s | reward  10406.4 | evac 307 | died 173 | eps 0.217 | lr 0.00005 | loss  1.238
EP 54/100 | time  6.42s | reward  14719.3 | evac 311 | died 169 | eps 0.211 | lr 0.00005 | loss  1.256
EP 55/100 | time  6.31s | reward   9583.7 | evac 311 | died 169 | eps 0.204 | lr 0.00005 | loss  1.226
EP 56/100 | time  4.82s | reward  18943.3 | evac 310 | died 170 | eps 0.199 | lr 0.00004 | loss  1.216
EP 57/100 | time  5.40s | reward  17236.5 | evac 311 | died 169 | eps 0.193 | lr 0.00004 | loss  1.194
EP 58/100 | time  5.05s | reward  18489.5 | evac 324 | died 156 | eps 0.188 | lr 0.00004 | loss  1.258
EP 59/100 | time  6.27s | reward  13340.4 | evac 290 | died 190 | eps 0.182 | lr 0.00004 | loss  1.255
EP 60/100 | time  6.20s | reward  13248.0 | evac 262 | died 218 | eps 0.177 | lr 0.00004 | loss  1.351
EP 61/100 | time  6.09s | reward  12477.3 | evac 263 | died 217 | eps 0.172 | lr 0.00004 | loss  1.316
EP 62/100 | time  6.66s | reward  24884.8 | evac 337 | died 143 | eps 0.167 | lr 0.00004 | loss  1.369
EP 63/100 | time  5.46s | reward  22222.4 | evac 318 | died 162 | eps 0.162 | lr 0.00004 | loss  1.402
EP 64/100 | time  5.55s | reward  23305.5 | evac 329 | died 151 | eps 0.158 | lr 0.00003 | loss  1.406
EP 65/100 | time  5.28s | reward  19034.1 | evac 299 | died 181 | eps 0.153 | lr 0.00003 | loss  1.328
