Using device: cuda
ALGORITHM: NoisyDuelingDDQN
EP 1/100 | time  4.57s | reward -18406.1 | evac  31 | died 449 | eps  nan | lr 0.00029 | loss  0.550
EP 2/100 | time  4.18s | reward -13470.0 | evac  49 | died 431 | eps  nan | lr 0.00028 | loss  0.527
EP 3/100 | time  4.38s | reward -19662.6 | evac  26 | died 454 | eps  nan | lr 0.00027 | loss  0.453
EP 4/100 | time  4.35s | reward -15092.5 | evac  33 | died 447 | eps  nan | lr 0.00026 | loss  0.388
EP 5/100 | time  4.19s | reward -10715.9 | evac  48 | died 432 | eps  nan | lr 0.00025 | loss  0.366
EP 6/100 | time  4.10s | reward -11574.8 | evac  38 | died 442 | eps  nan | lr 0.00024 | loss  0.443
EP 7/100 | time  4.41s | reward    676.9 | evac 113 | died 367 | eps  nan | lr 0.00024 | loss  0.438
EP 8/100 | time  4.24s | reward  -6623.7 | evac 111 | died 369 | eps  nan | lr 0.00023 | loss  0.494
EP 9/100 | time  4.22s | reward   -528.4 | evac 221 | died 259 | eps  nan | lr 0.00022 | loss  0.620
EP 10/100 | time  4.55s | reward   1476.9 | evac 150 | died 330 | eps  nan | lr 0.00021 | loss  0.746
EP 11/100 | time  6.11s | reward  -5469.6 | evac 144 | died 336 | eps  nan | lr 0.00021 | loss  0.968
EP 12/100 | time  4.42s | reward  -1644.9 | evac 204 | died 276 | eps  nan | lr 0.00020 | loss  1.104
EP 13/100 | time  5.07s | reward  10358.1 | evac 336 | died 144 | eps  nan | lr 0.00019 | loss  1.250
EP 14/100 | time  4.81s | reward   3473.1 | evac 301 | died 179 | eps  nan | lr 0.00019 | loss  1.246
EP 15/100 | time  4.36s | reward  -2017.2 | evac 228 | died 252 | eps  nan | lr 0.00018 | loss  1.534
EP 16/100 | time  4.53s | reward   -976.1 | evac 281 | died 199 | eps  nan | lr 0.00017 | loss  1.826
EP 17/100 | time  4.46s | reward   1251.8 | evac 288 | died 192 | eps  nan | lr 0.00017 | loss  1.951
EP 18/100 | time  4.24s | reward  -1443.4 | evac 272 | died 208 | eps  nan | lr 0.00016 | loss  2.094
EP 19/100 | time  5.78s | reward   2832.9 | evac 307 | died 173 | eps  nan | lr 0.00016 | loss  2.224
EP 20/100 | time  5.27s | reward  17114.4 | evac 374 | died 106 | eps  nan | lr 0.00015 | loss  2.514
EP 21/100 | time  4.81s | reward   2574.0 | evac 303 | died 177 | eps  nan | lr 0.00015 | loss  3.074
EP 22/100 | time  6.02s | reward  -1673.6 | evac 286 | died 194 | eps  nan | lr 0.00014 | loss  3.290
EP 23/100 | time  5.10s | reward  -1886.5 | evac 307 | died 173 | eps  nan | lr 0.00014 | loss  3.639
