Using device: cuda
ALGORITHM: DuelingDDQN
EP 1/100 | time  3.92s | reward -22540.3 | evac  58 | died 422 | eps 0.973 | lr 0.00029 | loss  0.347
EP 2/100 | time  3.50s | reward -23059.4 | evac  57 | died 423 | eps 0.947 | lr 0.00028 | loss  0.204
EP 3/100 | time  3.62s | reward -21935.7 | evac  47 | died 433 | eps 0.921 | lr 0.00027 | loss  0.243
EP 4/100 | time  5.11s | reward -23089.8 | evac  55 | died 425 | eps 0.896 | lr 0.00026 | loss  0.305
EP 5/100 | time  3.56s | reward -23151.3 | evac  54 | died 426 | eps 0.871 | lr 0.00025 | loss  0.396
EP 6/100 | time  3.84s | reward -26085.1 | evac  44 | died 436 | eps 0.845 | lr 0.00024 | loss  0.438
EP 7/100 | time  3.66s | reward -23421.3 | evac  37 | died 443 | eps 0.822 | lr 0.00024 | loss  0.481
EP 8/100 | time  3.48s | reward -21845.9 | evac  48 | died 432 | eps 0.799 | lr 0.00023 | loss  0.508
EP 9/100 | time  3.49s | reward -22951.9 | evac  41 | died 439 | eps 0.777 | lr 0.00022 | loss  0.534
EP 10/100 | time  4.09s | reward -29580.2 | evac  44 | died 436 | eps 0.753 | lr 0.00021 | loss  0.629
EP 11/100 | time  3.88s | reward -26586.4 | evac  34 | died 446 | eps 0.730 | lr 0.00021 | loss  0.715
EP 12/100 | time  3.40s | reward -21296.8 | evac  42 | died 438 | eps 0.711 | lr 0.00020 | loss  0.727
EP 13/100 | time  3.92s | reward -26286.1 | evac  43 | died 437 | eps 0.690 | lr 0.00019 | loss  0.736
EP 14/100 | time  3.45s | reward -21792.0 | evac  44 | died 436 | eps 0.671 | lr 0.00019 | loss  0.759
EP 15/100 | time  3.44s | reward -22077.4 | evac  31 | died 449 | eps 0.653 | lr 0.00018 | loss  0.891
EP 16/100 | time  7.53s | reward -23532.6 | evac  40 | died 440 | eps 0.634 | lr 0.00017 | loss  0.866
EP 17/100 | time  8.12s | reward -22818.8 | evac  48 | died 432 | eps 0.616 | lr 0.00017 | loss  0.867
EP 18/100 | time  8.34s | reward -24367.5 | evac  37 | died 443 | eps 0.598 | lr 0.00016 | loss  0.946
EP 19/100 | time  8.39s | reward -24265.7 | evac  32 | died 448 | eps 0.581 | lr 0.00016 | loss  1.040
EP 20/100 | time  8.03s | reward -22968.8 | evac  38 | died 442 | eps 0.565 | lr 0.00015 | loss  1.016
EP 21/100 | time  8.25s | reward -23759.9 | evac  49 | died 431 | eps 0.548 | lr 0.00015 | loss  1.023
EP 22/100 | time  6.90s | reward -24454.4 | evac  39 | died 441 | eps 0.532 | lr 0.00014 | loss  1.124
EP 23/100 | time  8.00s | reward -21530.1 | evac  40 | died 440 | eps 0.518 | lr 0.00014 | loss  1.268
EP 24/100 | time  6.73s | reward -22649.3 | evac  52 | died 428 | eps 0.503 | lr 0.00013 | loss  1.112
EP 25/100 | time  8.27s | reward -22516.1 | evac  47 | died 433 | eps 0.489 | lr 0.00013 | loss  1.146
EP 26/100 | time  7.26s | reward -23156.0 | evac  47 | died 433 | eps 0.475 | lr 0.00012 | loss  1.074
EP 27/100 | time  8.02s | reward -22953.6 | evac  58 | died 422 | eps 0.461 | lr 0.00012 | loss  1.097
EP 28/100 | time  8.24s | reward -23729.8 | evac  46 | died 434 | eps 0.448 | lr 0.00012 | loss  1.301
EP 29/100 | time  6.64s | reward -21056.0 | evac  43 | died 437 | eps 0.436 | lr 0.00011 | loss  1.181
EP 30/100 | time  5.43s | reward -21477.3 | evac  46 | died 434 | eps 0.423 | lr 0.00011 | loss  1.235
EP 31/100 | time  3.73s | reward -24364.5 | evac  43 | died 437 | eps 0.411 | lr 0.00010 | loss  1.224
EP 32/100 | time  3.71s | reward -25266.1 | evac  62 | died 418 | eps 0.399 | lr 0.00010 | loss  1.061
EP 33/100 | time  3.91s | reward -22304.7 | evac  48 | died 432 | eps 0.387 | lr 0.00010 | loss  0.937
EP 34/100 | time  4.09s | reward -26889.2 | evac  41 | died 439 | eps 0.375 | lr 0.00009 | loss  0.938
EP 35/100 | time  3.41s | reward -20173.8 | evac  49 | died 431 | eps 0.365 | lr 0.00009 | loss  0.888
EP 36/100 | time  3.57s | reward -22544.6 | evac  56 | died 424 | eps 0.354 | lr 0.00009 | loss  0.871
EP 37/100 | time  3.54s | reward -21674.3 | evac  50 | died 430 | eps 0.345 | lr 0.00009 | loss  0.748
EP 38/100 | time  3.92s | reward -24983.9 | evac  39 | died 441 | eps 0.334 | lr 0.00008 | loss  0.769
EP 39/100 | time  3.40s | reward -19480.2 | evac  50 | died 430 | eps 0.325 | lr 0.00008 | loss  0.872
EP 40/100 | time  3.79s | reward -23901.7 | evac  53 | died 427 | eps 0.315 | lr 0.00008 | loss  0.700
EP 41/100 | time  3.29s | reward -17221.0 | evac  25 | died 455 | eps 0.307 | lr 0.00007 | loss  0.736
EP 42/100 | time  3.44s | reward -19011.4 | evac  25 | died 455 | eps 0.299 | lr 0.00007 | loss  0.799
EP 43/100 | time  4.10s | reward -27440.2 | evac  50 | died 430 | eps 0.289 | lr 0.00007 | loss  0.773
EP 44/100 | time  3.61s | reward -21625.3 | evac  57 | died 423 | eps 0.281 | lr 0.00007 | loss  0.739
EP 45/100 | time  3.59s | reward -21395.8 | evac  28 | died 452 | eps 0.273 | lr 0.00006 | loss  0.730
EP 46/100 | time  3.42s | reward -19371.4 | evac  22 | died 458 | eps 0.266 | lr 0.00006 | loss  0.686
EP 47/100 | time  3.56s | reward -21178.0 | evac  50 | died 430 | eps 0.258 | lr 0.00006 | loss  0.688
EP 48/100 | time  3.76s | reward -23761.5 | evac  65 | died 415 | eps 0.251 | lr 0.00006 | loss  0.682
EP 49/100 | time  3.65s | reward -21586.4 | evac  27 | died 453 | eps 0.243 | lr 0.00006 | loss  0.764
EP 50/100 | time  3.84s | reward -24249.2 | evac  73 | died 407 | eps 0.236 | lr 0.00005 | loss  0.719
EP 51/100 | time  3.53s | reward -19743.0 | evac  75 | died 405 | eps 0.230 | lr 0.00005 | loss  0.690
EP 52/100 | time  3.65s | reward -18357.9 | evac  64 | died 416 | eps 0.223 | lr 0.00005 | loss  0.746
EP 53/100 | time  3.96s | reward -24543.8 | evac  60 | died 420 | eps 0.217 | lr 0.00005 | loss  0.708
EP 54/100 | time  3.62s | reward -20854.2 | evac  56 | died 424 | eps 0.210 | lr 0.00005 | loss  0.709
