Using device: cuda
ALGORITHM: DuelingDDQN
EP 1/100 | time  2.34s | reward -21613.6 | evac  57 | died 423 | eps 0.975 | lr 0.00029 | loss  0.551
EP 2/100 | time  1.81s | reward -21495.0 | evac  61 | died 419 | eps 0.951 | lr 0.00028 | loss  0.130
EP 3/100 | time  1.76s | reward -21202.2 | evac  71 | died 409 | eps 0.927 | lr 0.00027 | loss  0.192
EP 4/100 | time  1.80s | reward -19575.8 | evac  86 | died 394 | eps 0.904 | lr 0.00026 | loss  0.280
EP 5/100 | time  2.02s | reward -18091.6 | evac  89 | died 391 | eps 0.883 | lr 0.00025 | loss  0.545
EP 6/100 | time  2.35s | reward -21982.8 | evac 103 | died 377 | eps 0.860 | lr 0.00024 | loss  0.903
EP 7/100 | time  2.11s | reward -16640.7 | evac 110 | died 370 | eps 0.841 | lr 0.00024 | loss  1.037
EP 8/100 | time  2.06s | reward -16527.7 | evac 114 | died 366 | eps 0.821 | lr 0.00023 | loss  1.099
EP 9/100 | time  1.88s | reward -18362.0 | evac 107 | died 373 | eps 0.802 | lr 0.00022 | loss  1.387
EP 10/100 | time  1.97s | reward -22885.0 | evac 143 | died 337 | eps 0.780 | lr 0.00021 | loss  2.084
EP 11/100 | time  1.86s | reward -19994.6 | evac 143 | died 337 | eps 0.760 | lr 0.00021 | loss  2.550
EP 12/100 | time  1.85s | reward -19973.7 | evac 152 | died 328 | eps 0.741 | lr 0.00020 | loss  3.441
EP 13/100 | time  1.83s | reward -19348.1 | evac 166 | died 314 | eps 0.722 | lr 0.00019 | loss  3.961
EP 14/100 | time  1.85s | reward -18591.9 | evac 184 | died 296 | eps 0.703 | lr 0.00019 | loss  4.744
EP 15/100 | time  1.76s | reward -17155.7 | evac 177 | died 303 | eps 0.686 | lr 0.00018 | loss  6.581
EP 16/100 | time  1.84s | reward -18479.3 | evac 210 | died 270 | eps 0.669 | lr 0.00017 | loss  8.330
EP 17/100 | time  1.82s | reward -17110.5 | evac 190 | died 290 | eps 0.653 | lr 0.00017 | loss  9.813
EP 18/100 | time  1.70s | reward -15591.7 | evac 201 | died 279 | eps 0.638 | lr 0.00016 | loss 11.451
EP 19/100 | time  1.79s | reward -18393.4 | evac 212 | died 268 | eps 0.622 | lr 0.00016 | loss 13.520
EP 20/100 | time  1.73s | reward -14964.4 | evac 213 | died 267 | eps 0.607 | lr 0.00015 | loss 15.039
EP 21/100 | time  1.95s | reward -20218.6 | evac 226 | died 254 | eps 0.591 | lr 0.00015 | loss 16.369
EP 22/100 | time  1.86s | reward -19225.0 | evac 229 | died 251 | eps 0.576 | lr 0.00014 | loss 17.026
EP 23/100 | time  1.68s | reward -14204.1 | evac 230 | died 250 | eps 0.563 | lr 0.00014 | loss 17.199
EP 24/100 | time  1.77s | reward -15284.3 | evac 256 | died 224 | eps 0.549 | lr 0.00013 | loss 16.846
EP 25/100 | time  1.85s | reward -17735.0 | evac 247 | died 233 | eps 0.535 | lr 0.00013 | loss 16.774
EP 26/100 | time  1.78s | reward -16927.7 | evac 262 | died 218 | eps 0.522 | lr 0.00012 | loss 18.185
EP 27/100 | time  1.83s | reward -17818.8 | evac 265 | died 215 | eps 0.509 | lr 0.00012 | loss 17.246
EP 28/100 | time  1.83s | reward -17218.9 | evac 242 | died 238 | eps 0.496 | lr 0.00012 | loss 17.935
EP 29/100 | time  1.70s | reward -14225.4 | evac 271 | died 209 | eps 0.484 | lr 0.00011 | loss 18.770
EP 30/100 | time  1.81s | reward -16312.6 | evac 285 | died 195 | eps 0.472 | lr 0.00011 | loss 17.909
EP 31/100 | time  1.75s | reward -15590.7 | evac 265 | died 215 | eps 0.461 | lr 0.00010 | loss 19.360
EP 32/100 | time  1.75s | reward -15361.2 | evac 277 | died 203 | eps 0.450 | lr 0.00010 | loss 20.065
EP 33/100 | time  1.71s | reward -14541.6 | evac 278 | died 202 | eps 0.439 | lr 0.00010 | loss 22.425
EP 34/100 | time  1.86s | reward -17553.4 | evac 298 | died 182 | eps 0.428 | lr 0.00009 | loss 24.825
EP 35/100 | time  1.73s | reward -13392.0 | evac 287 | died 193 | eps 0.418 | lr 0.00009 | loss 25.369
EP 36/100 | time  1.87s | reward -17541.5 | evac 293 | died 187 | eps 0.408 | lr 0.00009 | loss 26.124
EP 37/100 | time  1.79s | reward -15213.9 | evac 310 | died 170 | eps 0.398 | lr 0.00009 | loss 28.324
EP 38/100 | time  1.71s | reward -14273.0 | evac 304 | died 176 | eps 0.388 | lr 0.00008 | loss 29.663
EP 39/100 | time  1.95s | reward -20044.9 | evac 297 | died 183 | eps 0.378 | lr 0.00008 | loss 31.701
EP 40/100 | time  1.80s | reward -15358.2 | evac 298 | died 182 | eps 0.368 | lr 0.00008 | loss 34.078
EP 41/100 | time  1.89s | reward -17924.0 | evac 316 | died 164 | eps 0.359 | lr 0.00007 | loss 33.244
EP 42/100 | time  1.77s | reward -15635.6 | evac 300 | died 180 | eps 0.350 | lr 0.00007 | loss 37.248
EP 43/100 | time  1.85s | reward -16908.4 | evac 317 | died 163 | eps 0.341 | lr 0.00007 | loss 36.861
EP 44/100 | time  1.73s | reward -14154.6 | evac 299 | died 181 | eps 0.333 | lr 0.00007 | loss 40.249
EP 45/100 | time  1.67s | reward -14001.5 | evac 319 | died 161 | eps 0.326 | lr 0.00006 | loss 39.218
EP 46/100 | time  1.76s | reward -14759.8 | evac 318 | died 162 | eps 0.318 | lr 0.00006 | loss 39.162
EP 47/100 | time  1.86s | reward -16851.2 | evac 324 | died 156 | eps 0.310 | lr 0.00006 | loss 41.653
EP 48/100 | time  1.75s | reward -14314.0 | evac 322 | died 158 | eps 0.302 | lr 0.00006 | loss 42.740
EP 49/100 | time  1.77s | reward -14774.2 | evac 327 | died 153 | eps 0.295 | lr 0.00006 | loss 43.535
EP 50/100 | time  1.80s | reward -16164.2 | evac 333 | died 147 | eps 0.288 | lr 0.00005 | loss 45.888
EP 51/100 | time  1.73s | reward -14293.0 | evac 324 | died 156 | eps 0.281 | lr 0.00005 | loss 48.801
EP 52/100 | time  1.91s | reward -17405.1 | evac 345 | died 135 | eps 0.274 | lr 0.00005 | loss 50.730
EP 53/100 | time  1.77s | reward -14834.9 | evac 323 | died 157 | eps 0.267 | lr 0.00005 | loss 50.726
EP 54/100 | time  1.79s | reward -15561.2 | evac 325 | died 155 | eps 0.261 | lr 0.00005 | loss 51.132
EP 55/100 | time  1.91s | reward -18722.8 | evac 324 | died 156 | eps 0.254 | lr 0.00005 | loss 52.671
EP 56/100 | time  1.87s | reward -17444.4 | evac 333 | died 147 | eps 0.247 | lr 0.00004 | loss 54.845
EP 57/100 | time  1.83s | reward -15441.2 | evac 350 | died 130 | eps 0.241 | lr 0.00004 | loss 55.727
EP 58/100 | time  1.74s | reward -14624.5 | evac 349 | died 131 | eps 0.235 | lr 0.00004 | loss 55.240
EP 59/100 | time  1.71s | reward -13773.5 | evac 342 | died 138 | eps 0.230 | lr 0.00004 | loss 58.001
EP 60/100 | time  1.92s | reward -17493.9 | evac 342 | died 138 | eps 0.224 | lr 0.00004 | loss 58.524
EP 61/100 | time  1.76s | reward -15274.3 | evac 338 | died 142 | eps 0.218 | lr 0.00004 | loss 60.901
EP 62/100 | time  1.85s | reward -16839.5 | evac 357 | died 123 | eps 0.213 | lr 0.00004 | loss 65.024
EP 63/100 | time  1.77s | reward -15147.9 | evac 350 | died 130 | eps 0.208 | lr 0.00004 | loss 65.294
EP 64/100 | time  1.78s | reward -15223.3 | evac 353 | died 127 | eps 0.202 | lr 0.00003 | loss 68.124
EP 65/100 | time  1.71s | reward -14949.9 | evac 352 | died 128 | eps 0.198 | lr 0.00003 | loss 66.616
EP 66/100 | time  1.68s | reward -13872.8 | evac 348 | died 132 | eps 0.193 | lr 0.00003 | loss 67.661
EP 67/100 | time  1.77s | reward -14812.2 | evac 343 | died 137 | eps 0.188 | lr 0.00003 | loss 67.372
EP 68/100 | time  1.74s | reward -13916.6 | evac 346 | died 134 | eps 0.184 | lr 0.00003 | loss 68.880
EP 69/100 | time  1.97s | reward -18646.5 | evac 341 | died 139 | eps 0.179 | lr 0.00003 | loss 69.997
EP 70/100 | time  2.00s | reward -17495.4 | evac 343 | died 137 | eps 0.174 | lr 0.00003 | loss 66.519
EP 71/100 | time  1.90s | reward -18328.1 | evac 353 | died 127 | eps 0.170 | lr 0.00003 | loss 67.090
EP 72/100 | time  1.85s | reward -16718.0 | evac 336 | died 144 | eps 0.166 | lr 0.00003 | loss 66.398
EP 73/100 | time  1.73s | reward -13779.5 | evac 366 | died 114 | eps 0.162 | lr 0.00003 | loss 66.269
EP 74/100 | time  1.70s | reward -14065.9 | evac 368 | died 112 | eps 0.158 | lr 0.00002 | loss 66.585
EP 75/100 | time  1.74s | reward -14177.3 | evac 363 | died 117 | eps 0.154 | lr 0.00002 | loss 66.396
EP 76/100 | time  1.79s | reward -14836.4 | evac 363 | died 117 | eps 0.150 | lr 0.00002 | loss 65.604
EP 77/100 | time  1.75s | reward -14715.9 | evac 365 | died 115 | eps 0.147 | lr 0.00002 | loss 68.180
EP 78/100 | time  1.77s | reward -14374.2 | evac 365 | died 115 | eps 0.143 | lr 0.00002 | loss 66.237
EP 79/100 | time  1.77s | reward -14522.5 | evac 357 | died 123 | eps 0.140 | lr 0.00002 | loss 66.131
EP 80/100 | time  1.76s | reward -15059.7 | evac 357 | died 123 | eps 0.136 | lr 0.00002 | loss 65.547
EP 81/100 | time  1.77s | reward -15143.4 | evac 367 | died 113 | eps 0.133 | lr 0.00002 | loss 67.329
EP 82/100 | time  1.81s | reward -16519.6 | evac 367 | died 113 | eps 0.130 | lr 0.00002 | loss 64.850
EP 83/100 | time  1.73s | reward -14103.9 | evac 362 | died 118 | eps 0.127 | lr 0.00002 | loss 67.194
EP 84/100 | time  1.81s | reward -15910.7 | evac 361 | died 119 | eps 0.123 | lr 0.00002 | loss 68.385
EP 85/100 | time  1.77s | reward -14441.5 | evac 364 | died 116 | eps 0.121 | lr 0.00002 | loss 67.168
EP 86/100 | time  1.79s | reward -15725.3 | evac 382 | died  98 | eps 0.118 | lr 0.00002 | loss 71.278
EP 87/100 | time  1.89s | reward -17747.4 | evac 346 | died 134 | eps 0.114 | lr 0.00002 | loss 70.217
EP 88/100 | time  2.02s | reward -18149.8 | evac 385 | died  95 | eps 0.111 | lr 0.00002 | loss 72.891
EP 89/100 | time  1.81s | reward -16398.1 | evac 371 | died 109 | eps 0.109 | lr 0.00001 | loss 73.313
EP 90/100 | time  1.81s | reward -16410.2 | evac 358 | died 122 | eps 0.106 | lr 0.00001 | loss 73.258
EP 91/100 | time  1.82s | reward -17583.8 | evac 363 | died 117 | eps 0.103 | lr 0.00001 | loss 73.969
EP 92/100 | time  1.75s | reward -15442.2 | evac 372 | died 108 | eps 0.101 | lr 0.00001 | loss 76.129
EP 93/100 | time  1.68s | reward -13925.3 | evac 369 | died 111 | eps 0.098 | lr 0.00001 | loss 75.292
EP 94/100 | time  1.81s | reward -16026.6 | evac 368 | died 112 | eps 0.096 | lr 0.00001 | loss 74.797
EP 95/100 | time  1.74s | reward -14415.0 | evac 360 | died 120 | eps 0.094 | lr 0.00001 | loss 76.065
EP 96/100 | time  1.69s | reward -13910.0 | evac 375 | died 105 | eps 0.091 | lr 0.00001 | loss 74.034
EP 97/100 | time  1.90s | reward -16508.1 | evac 377 | died 103 | eps 0.089 | lr 0.00001 | loss 77.150
EP 98/100 | time  1.74s | reward -13880.4 | evac 372 | died 108 | eps 0.087 | lr 0.00001 | loss 76.221
EP 99/100 | time  1.84s | reward -16406.0 | evac 383 | died  97 | eps 0.085 | lr 0.00001 | loss 81.136
EP 100/100 | time  1.77s | reward -14585.7 | evac 360 | died 120 | eps 0.083 | lr 0.00001 | loss 81.656
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_9_DuelingDDQN.csv
